,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600089.SH,X002241.SZ,X600741.SH,X000100.SZ,X600118.SH,X600703.SH,X601877.SH,X000568.SZ,X600271.SH,X000581.SZ,X000623.SZ,X600066.SH,X002236.SZ,X000550.SZ,X000800.SZ,X000869.SZ,X000559.SZ,X300124.SZ,X002475.SZ,X002294.SZ,X600177.SH,X600839.SH,X002129.SZ,X000050.SZ,X000400.SZ,X002456.SZ,X002465.SZ,X600809.SH,X000977.SZ,X002007.SZ,X600252.SH,X300003.SZ,X002292.SZ,X600435.SH,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0.0118941019507686,0,0,0,0.213248108489401,0.19371532262373,0,0,0,0,0,0,0,0,0.385831023244207,0,0,0,0,0,-0.101646358407602,0,0.033270438313188,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252734544394276,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299963912389115,-0.0147639807954252,0,0,0,0,0,0
X600519.SH,0,0,0,0.0473740653330066,0,0.0820881452816241,0.339068661364339,0,0,0,0.1669781682376,0,0,0,0,0,0,0,0,0,0.0486850346421975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159988573614827,-0.0522972755963304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00101910972223362,-0.0714787726237597,0,0,-0.0825035570615703,0,0
X000725.SZ,0,0,0,0.0586558546464535,0,0,0,0.0297883492273854,0,0,0,0,0,0,0,0,0,0,0.361837206365082,0.0998886318232702,0,0,0,0,0,0.00480096411465154,0,0,0,0,0,0,0,0,0,0.0482135116860623,0,0,0,0,0,0.0445523123888332,0,0,0.0920651416241478,0,0,0,0,0,0,0,-0.00911999018144967,0,0,0,0,0,0
X000651.SZ,0,0,0.0571300919680095,0,0,0,0,0,0,0,0.144613624924627,0,0,0.0154858223972819,0,0,0,0,0,0,0,0.0352525536851048,0,0,0,0.0963952026830098,0,0,0,0,0,0,0,0,0,0.205284949623603,0.0764445087315894,0.0652346164766922,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0614060448270991,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.104515267553257,0,0,0,0.0230223137728789,0,0,0.0165351015756428,0,0,0,0,0,0,0,0,0.0234405554604765,0,0,0,0,0,0,0,0.051070856529895,0,0,0.354146053308966,0,0,0,0,0,0,0,0.112305784569678,0,0,0,0,0,0,0,0,0,0,0,0,-0.00438214338882729,-0.0190063755702292,-0.0689987494934072,0,0,0,0,0
X002304.SZ,0,0.0666972007830942,0,0,0,0,0,0,0.013610003526059,-0.0398731257547918,0,0,0,0,0,0,0,0,0.156634396787857,0,0,0,0,0,0,-0.0225744116976939,0,0,0,-0.00946444005770916,0,0,0,0,0,0,0,0,0,0,0,0,0.336823066408868,0,0,0,0,0,0.0301876109216806,0,0,-0.0182387759829228,0.0246459730699474,0,0,0,0,0,0
X000858.SZ,0,0.0812145404519369,0,0.098145204456212,0,0.0357757812311,0,0,0,0,0,0,0,0,0,0,0,0.113266515490576,0.0481086542554834,0,0,0,0.0831641288862322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194097324157336,0,0,0,0,0,-0.0594316383710138,0,0,0,-0.00937713368216574,0,0,0,0,0,0
X000625.SZ,0.36015628244573,0,0,0,0,0,0,0,0,0.104812586713931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105843219564279,0,0.140196410192628,0.0257017771092465,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0948788686530661,0,0,0,0,0,0,-0.0297593043103595,-0.00481880847577615,0,0,0,0,0,0
X600031.SH,0.111159420765713,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340331151332576,0.899091480719982,0,0,0,0.0514399669375819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132692913138907,-0.000330777262643461,0,0,0,-0.0181840945913888,0,0
X000063.SZ,0.115531366583878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931641711123118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102821064301063,0.0207969214496546,0,0,0,0.0493268647255913,0,0,0,0.0745404276449758,0,0.0321640578400592,0,0,0,0,0.0149956918823858,-0.000790207330790941,0,0,0,0,0,0
