,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X000338.SZ,X600031.SH,X601877.SH,X002008.SZ,X300124.SZ,X600809.SH,X600867.SH,X002456.SZ,X000625.SZ,X600271.SH,X600066.SH,X000596.SZ,X600487.SH,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X300142.SZ,X002180.SZ,X002241.SZ,X000661.SZ,X300136.SZ,X002007.SZ,X000050.SZ,X002508.SZ,X000157.SZ,X002038.SZ,X002179.SZ,X000869.SZ,X600522.SH,X002049.SZ,X600177.SH,X600498.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0.496221364944919,0,0,0.056891930088626,0.157577781690357,0.0784566517540003,1.73472347597681e-18,0,0,0,0,0,0,0.047561387863762,0,0,0,0,0,0.0418726758386178,0,0.0878998436182062,0.0111309386220829,0,0,0,0,0,0,0,0,0,0,-0.00986622782573084,0.0467667594159897,0,0,0,0,0,0,0,0,0,0,0,-0.0625339250779612,0,0,0,0,0.00251420664184962,0,0,0,0,0,0,0
X600703.SH,0,0,0.0999169913997306,0,0,0,0,0.120767327383863,0,0,0,0,0,-0.0771681401958522,0,-0.116463417953461,0,0,0,0,0,0,0,0.435122120710817,0,0,0,0,0.168737850558917,0,0,0,-0.313752018314121,0,0,0,0,0,0,0.0157618735301717,0,0,0,0.320467674902044,0,0.0275768756493048,0,0,0,0,0,-0.00316249473068407,-8.67361737988404e-19,0,0,0,0,0,0
X600741.SH,0,0.403429094366083,0,0.22709639930666,0,0.0867734092015381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00521326290555813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00568410487929706,-0.0348137021758733,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0.111702115009025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389446921715732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079183052788878,0.0903854183753262,0,0,0,0,0,0,0,0,0,0,0,0,-0.00161869483188417,-1.73472347597681e-18,0,0,0,0,0,0
X002236.SZ,0,0,0.559399608490047,0,0,0,0.0771786429149327,0,0,0,0,0,0,0,0,0,0,0,0.0534927614273517,0.0606360066512031,0,0,0,0.375244306385727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0730739232947865,0,0,0,0.0236626685236648,0,0,0,0,0,0,0,0,0,0,0,0
X300003.SZ,0.142656888355043,0,0,0,0.0531543229216548,0.0111319218289964,0,0,0,0,0.0406050625247237,0,0,0,0,0,0,0,0,0,0,0,0.240477937362317,0,0,0,0,0,0,0.0633339297385712,0,0.073462823454106,0,0,-0.11073464410106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699157572068451,-0.017898859591814,0,0,0,0,0,0
X000338.SZ,0,0,0.103232592779872,0,0,0,0,0.0133447118783898,0,0,0,0,-0.135088561974183,0,0,0,0,0.245332876057076,0,0,0,0.00904137270200113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714619268657709,0,0,0.0709962751737054,0,-0.0347388891062639,0,0,0,-0.036971252444055,0,0,0,0,-0.00614170350676416,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.13104137499143,0,0,0,0,0,0.121109879459346,0,0,0,0,0,0,0,0,-0.0165265911772321,0,0,0,0,0,0,0,0,0,0,0,0.0801208847353951,0,0,0,0,0,0,-0.0132395219906273,0,-0.0117189750854073,0,0,0,0,0.0189597081754234,0.00947857448367838,0,0,0,0,0,0
X601877.SH,0,0,0,0,-0.0375629937240754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114796373448001,0,0,0,0.0910359032293035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585795284240016,0.032860682744879,0,0.125022342347293,0,0,0,0.0234612987360289,0,0.130205504200646,0,-0.15244240186943,0,0,0,0.0215096129436063,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0.211707076099628,0,0,0,0,0,0,0.0370077905403638,0.235145498955891,0,0,0,0,0,0,0,0,0,0,0.140878869521848,0,0,0,0,0,0,0,0,0,0.140156249042219,0,0,0,0,0,0,0,0.382474818015056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
