,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600276.SH,X600690.SH,X600031.SH,X000338.SZ,X600372.SH,X000157.SZ,X002241.SZ,X600741.SH,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X000100.SZ,X600118.SH,X601877.SH,X000550.SZ,X002236.SZ,X000581.SZ,X600582.SH,X002475.SZ,X000623.SZ,X000800.SZ,X300124.SZ,X000568.SZ,X600177.SH,X000050.SZ,X000559.SZ,X002294.SZ,X600839.SH,X002129.SZ,X000400.SZ,X000869.SZ,X002292.SZ,X002456.SZ,X000977.SZ,X002465.SZ,X300003.SZ,X600060.SH,X600312.SH,X002007.SZ,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,5.42101086242752e-20,0,0,0.101988653131857,0,0,0,0,0,0.155928514830585,0,0,0,0,0.486086106415768,0,0,0,0,0,0,0,0.0235606845023288,0,0,0,0,0.00786549666847693,0.0806668473180054,0,0,0,0,0,0,0.0697206113025093,-0.168826931136946,0,0,0,0,0,0,0,0,0.100609918956537,0,0,0,0,-0.0025102603547835,0,0,0,0,0,0
X600519.SH,0,0,0.0111461107799859,0,0,0,0.109436124393619,0.117323405908556,0,0,0.202832315540829,0,0,0,0,0,0,0,0,0,0,0,0,0.0518652324187495,0,0,0,0,-0.0430742497057301,0,0,0,0.0862373358523432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00212648663096611,-0.00111501925430018,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.230224497001655,0.224389063714896,0,0,0,0,0.00514991340904008,0,0.11918858401593,0,0,0,0,0,0,0,0.0144953484339291,0,0,0,0,0,0,0.0178925728491809,0,0,0,0,0,0,0,0,0,0,0.0768895718209607,0,0,0,0,0,0,0,0,0,0.209311958785777,0,0,-0.0202479970265177,-0.0194610141737405,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.156481147399244,0.116003213353196,0,0,0,0.0802454730508494,0,0,0,0,0,0,0,0.0162789596750205,0,0,0,0,0,0.0935153422245056,0.248456125726238,0,0,0.0736364231179402,0,0,0,0,0,0,0,0.0232135322432301,0,0,0.029947655807464,0,0,0,0,0,0,0,0,0,0,0,-0.000242133141992311,-0.00194701676213929,0,0,0,0,0,0
X000725.SZ,0.0546625591337183,0,0.208852075474582,0,0,0,0,0.0272443844449146,0,0,0,0,0,0,0.182282423407533,0,0,0,0,0,0,0,0.0641637333953322,0,0,0,0,0,0,0,0,0,0.0996687096347723,0.177962979974528,0,0,0,0,0,0,0,0,0,0,0.0930013030882794,0,0,0,0,0.042156912102044,0,0,0.00383389081299465,0,0,0,0,0,0
X000625.SZ,0.347466902828302,0,0,0.0950645192597919,0,0,0.0744486684841204,0,0,0,0,0,0,0,0,0,0.106112358414842,0,0,0,0,0,0,0,0.0389232851869707,0,0,0,0,0.0984431546653371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344716613156486,0,0,0.0106809978567416,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.340061365323384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268201582130483,0,0.0817837040794568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00011915557936568,0,0,0,0,0,0
X000858.SZ,0.022622829331447,0,0.0559839115398341,0,0,0,0,0,0.0946312234907346,0,0,0.0559400756411985,0.283500854589506,0,0.00315860314538933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00533361978240537,-0.0184586952953261,0,0,0,0,0,0
X000063.SZ,0.0985525882714412,0,0,0,0,0,0,0,0,0,0,0,0.1917824121658,0,0,0,0,0.0134453028056901,0,0,0,0,0,0,0,0,0,0,0,0.0208617339753996,0,0,0,0.135990000665793,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0246153765366249,0,0,0,0,0.0106811084986152,0,0,-0.00369851375638125,0,0,0,0,0,0
X600276.SH,0,0,0,0.0834753950337416,0,0,0.0316344393952146,0,-0.0103637025743453,0,0,0,0,0,0,0,0,0.191037877247877,0.195294039075633,0,0,0,0,0,0,0,0,0.0250223555555372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219069379658248,0.00864699265340091,0,0,0,0,0,0
X600690.SH,0.0459946518216502,0,0.0811166536912125,0,0,0,0,0.25960164395083,0,0,0,0,0.151113726075346,0,0,0,0.0515903705632118,0,0.0235078124116493,0,0,0,0,0,0.111009208604734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000780482515157095,0,0,0,0,0,0
X600031.SH,0.112065250560599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916352691717762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0338954328289767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291024298317164,-0.0136675710919093,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0430514696925437,0,0.0519820951451195,0,0,-0.0105501630371969,0.61142691417181,0,0,0.0989522646519707,0,0,0.0418307062415173,0,0,0,0,0,0,0,0,0.0649786375459181,0,0,0,0,0,0,0,0,0,0,0,0,0.0446834262819257,0,0,0,-5.42101086242752e-20,0,0,0,0,-0.0131105965700951,0.00377964488434202,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258331767080505,0.154896059107932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489389087152902,0,-0.0564327731175514,-0.0107756617529195,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0.472671200515468,0.188342431013635,0,0,0,0,0,0,0,0,0,0,0,-0.111556685932125,0,0,0.114191461790563,0,0,0,0,0,0.149812410668947,0,0.0608251848609099,0,0,0,0,0,0,0.071670129185253,0,0,0,0,0,0,0,0,-0.0183199670957168,-0.00228222808198572,0,0,0,0,0,0
X002241.SZ,0.0524982124162584,0,0.0656298701995041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648935939770942,0,0,-0.0824832101545434,0,0,0,0,0.0667122753936613,0,0.011156636084862,0.024690241224262,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.149301508476479,0.143001416254402,0,0.075598922563824,0,0,0,0,0,0,0,4.16137417960658e-05,0,0,0,0,0,0
