,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002456.SZ,X002008.SZ,X002241.SZ,X600487.SH,X000100.SZ,X600066.SH,X300136.SZ,X601877.SH,X600809.SH,X300124.SZ,X002508.SZ,X600522.SH,X002294.SZ,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X000981.SZ,X600089.SH,X002129.SZ,X600498.SH,X000596.SZ,X600177.SH,X000157.SZ,X600699.SH,X600118.SH,X300142.SZ,X600566.SH,X002179.SZ,X000661.SZ,X002049.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600699.SH,0.0812206179256531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0701589536034097,0,0,0,0,0.0718434474465543,0,0,0,0,0.0220977358912575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822826012805732,0,0,0,0,0.0628068759300709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,-0.0699290109053129,0,0,0,0,-0.0297777579484731,0,0,0,0,0,0,0,0,0,0.0969122624190968,0,0,0,0,0,0,0.0471092110783568,0,0,0.102896771425007,0,0,0,0,0,0.126323085211733,0,0,0,0.00884537332210338,0,0,0,0,0,0.017878176283694,0,-0.145792444156157,-0.0188560186847704,0.0246266423070909,0,0,0,0,0,0
X300142.SZ,0,0,0,0.0601241388103732,0,0,0,2.71050543121376e-20,0,0,0,0,0.0329231279590733,0,0,0,0,0,0,0,0,0,0.315088827684561,0,0,0.101369847981181,0.136073217121957,0,0,0,0,0,0,0.119126266355596,0,0,0,0,0,0,0,0,0.286815715338622,0,0,0,0,0,0,0,0,0.0213225986939162,0,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0,0,0,0,0.134060231653927,0,0,-0.00929785625815747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401150376515721,0,0,0,0,0,0.0206262123284745,0,0,0,0,0.081747018053773,0,-0.00571045813718905,0.0297194111212894,0,0,0,0,0,0
X002179.SZ,0.0655311505318205,0,0,0,-0.15167728048879,0,0,0,0.00841532286355268,0,0.0430153800968737,0,0,0.129178796241007,0,-0.163782827071706,0,0,0,0.000994476127950825,0,0,0.0293944161676265,0,0.082361913566731,0,0.0190041803753064,0,0,0,0,0,0,0.0895753539458876,0,0,0,-0.00860888950576164,0.266897353447666,0,0,0,0,0,0,0,0,0,0,-0.0535526450458661,0,-0.0228539986220253,0.0171517169679591,0,0,0,0,0,0
X000661.SZ,0,0,3.46944695195361e-18,0,0,1.73472347597681e-18,0,0,0,0,0.0559033339779501,0,0,0,0,0,0,0,0,0,0,0,0.304019140732249,0,0,0,0,0,0,0,0,0,0,0.10795298029115,0,0,0,0,0.0450371538002164,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.00998795440812408,0,0,0,0,0,0
X002049.SZ,0,-0.431123957930824,0.069985025860041,-0.0390797918106778,0,0,0,0,0.0687071038184863,0,0.361412829289017,0,0,0,-0.687104425313628,0,0,0,0.34654306248949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357796622863184,0.119800831317825,0,0,0,0.047949981398915,0,0,0,0,0,0,0,0,0,0,0,0.359972622517867,0,0.0133556569804951,-0.0493727747317628,0,0,0,0,0,0
X600584.SH,0,0,0.0195392440103261,0,0,0.22357551994372,0,0,0.0133884670816836,0,0,0,0,0,0,0,0,0,0,0.11251368342313,0,0.268845836870999,0,0,0,0.0207579404293821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259001336035374,0,0,0,0.00284689544720991,0,0,0,0,0,0
Change_TY3M,0,-0.0178077075285594,0,0,0,-0.0592549670708916,0,0,0.0807666588612165,-0.0176516754544822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365560977687258,0,-0.0127935426718266,0,-0.00997852598231472,0.0123609477705938,0,0.00377238299166676,-0.0188598749166192,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200331966745823,0,0,0.0531813221771528,0.146173425912117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103393582305384,0,0,-0.21362895405819,0,0.0219553928298457,0,0,0,0.829860691622559,0,0,0,2.9930596348308,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248084291187741,0,0,0,0,0,0,0
RealEstate_excess,0.113153771043511,0,0,0.0208319562209247,0,0,0,0,0,0,0,0.0395898329931685,-0.0393994813805717,0,0,0,0,0,-0.0553438195183168,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116702143124466,0,0,0,0,0,0.0101468128216855,0.0767457648015547,0,0,0,0,0,0,0,0,0,-0.10124113506035,0,0,-0.0229718831680803,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,-0.0459229338089945,0,0,0,0,-0.0167588037923646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305364753557213,-0.00697655524198922,0,0,0,0,0,0,0,0,0,0,0,0.00686898040440558,0.000886470434779349,0,0,0,0,0,0
MKvol,0.00279998874958099,0,0,0,0,-0.000390588353013128,0,0,0,0,0,0,0,-3.13703852629659e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126510054542803,0,0,-0.000513990397649616,0,0,-0.00226075709702274,0.00434091453306192,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0.0274442760660878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575598400614029,0,0,0,0,0,0,0,0,0,0,0,0,0.0474091154322007,0.0858555870304867,0,0,0,0,0,0
CarbonVol_Guangdong,0.0219343629455712,0,0,0,0,0.00954081480541058,0,-0.0134108649303405,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.0140329903466653,0,0,0,0.000317937609775895,0,0,0,0,0.0158685619531021,0,0,0,0,0,0.0124125836355256,0,0,0,0,0.00951472831795713,0,-0.00531866373220852,0,0,0,-0.0155841066633138,0,0,-0.00523508436034639,0.024572609198442,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00142251525101176,-0.00988948328811128,0,0,0,0,0,0.00113480459908184,0,0,0,-0.00311899578892535,0,0,0,-0.0065809777149772,0,0,0,0,-0.00236302933439034,0,0,0,0.00562402489218935,-0.0153966286470736,0,0,0,0,0,0
