,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X003816.SZ,X600690.SH,X000651.SZ,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X600031.SH,X000063.SZ,X002304.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600089.SH,X002463.SZ,X600372.SH,X600703.SH,X000157.SZ,X600584.SH,X002028.SZ,X000977.SZ,X600066.SH,X002236.SZ,X600741.SH,X600522.SH,X600183.SH,X600418.SH,X002049.SZ,X601877.SH,X000800.SZ,X000661.SZ,X002223.SZ,X600177.SH,X000921.SZ,X600460.SH,X600487.SH,X002180.SZ,X002129.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.323916694882431,0,0,0,0,0,0,0.116360495677244,0,0,0,0,0,0,0,0,0,0.0206670705261097,0.130035834883756,0,0,0,0,0,0,0,-0.0270343308234912,0,0,0,0,0,0,0,0,0.0301699519346426,-0.0168166707956669,-0.0518289147433587,0,0,0,0,0,0,0,-0.0429831550301067,0,0,0,-0.0217043486342658,0,-0.0569141009643226,0,0,0,0.0131038659909711,0,0
X000858.SZ,0.195406964636093,0,0.0234152677607681,0,0,0,0,0,0.0367195899548307,0.254437632748993,0,0,0,0,0,0,0,0,0,0.114219701932744,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294692626734436,0,0.0646658606406985,0,0,0,0,0,0,0.0574419423113292,0,0,0,0,0,0.00127860701894699,0.0256009627667063,0,0,-0.0202759927848867,0,0,0,0,0.0215875659259429,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162644865981557,0,0,0.151870553771173,0,0,0.0270342685295006,0,0,0.0326587903969208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510194962314808,0.133106650052217,0,0,0,0,0,-0.0276473807323495,0,0,0,0,-0.00921188526069113,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0621360155722137,0,0,-0.03320151829879,0,0,0.490620856290896,0,1.73472347597681e-18,0,0,0,0.238793630134035,0.0484196811028565,0,0.0824682865986462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000837382124982498,0,0,0,-0.0355054018414638,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0179256444402602,0,0,0,0,0,0,0,0.0764693630886015,0,0,0,0.221931793314012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048323265476393,0.148499379314933,0,0,0,0,0,0,0,0.0326927453916002,0,0,0,0,0,-0.0161978559577592,0,0,0,0.00335216376205597,0,0
X003816.SZ,0,0,0,0,0,0,-0.0882465467971255,0,-0.00988175856924125,0,0,0,0,0,0,0,0,-0.0911533465444707,0,0,0,0,0,0,0,-0.012494527787242,0,0,0,0,0,0,0.0497577420238267,-0.0990644142865492,-0.0891549490304186,0,0,0,0,0,0,0,0,0,0,0,0,-0.127051241110235,-0.155474123972405,0,0,0.129243639782168,-0.151123905424441,0,0,0,-0.0328706749752281,0,0
X600690.SH,0,0,0.102159080578256,0,0,0,0,0.16078912084348,0,-0.0187400184508045,0,0,0.155299446795015,0,0,0,0,0,0.230236493833744,0,0,0,3.46944695195361e-18,0,0,0,-0.160858885717466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281844705755357,0,0,0,0,0,0,0,0,-0.0190857919684669,0,0,-0.00433777792909957,0,0
X000651.SZ,0.059906823905779,0,0,0,0,0,0.0533890534041759,0,0,0,0,0,0,0,0,0,0,0,0.0259726180154615,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0232410602395156,-0.0103735717407201,0,0,0.055423194222658,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.119439509316479,0,0,0,0,0,0,0,0,0,0,0,-0.00672510609315782,0,0
X600809.SH,0,0,0,0,0,0.0400116447470009,0.0969789530044299,0,0,0,0.0550143173144873,0,0,0,0,0,0,0,0.0675591507330019,0.431676582154577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021518995149533,0,0,0,0,0,0.0372583548564214,0,0,8.67361737988404e-19,0,0.0137107336381985,0,0,0,0,0
X000568.SZ,0.510297893550939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246205282002349,0,0,0,0,0,0,0,0,0,0,0,0,0.0412199168470494,0,0,0,-0.0330004140480354,0,0,0,0,0.0825268129603641,0,0,0,-0.0564952437238558,0,0,-0.0293498712810062,0,0,0,-0.016841971647141,0,0,0,-0.00979060984755651,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379741980493228,0,0,0.129318950377809,0,0,0,0,0.0654516314135502,0.0302492883522649,0,0,0,0,0,0,0,0,0.0496875054169764,0,0,0,0,0.0519905175673747,0.123928493606747,0,0,0.000115451040927045,0,0
X600104.SH,0,0,0,0,0,0,0.0379798877005426,0,0,0,0,0,0,0,0.247351645428738,0,0,0,0,0,0,0,0,0,0,-0.0113374014967611,0,0,0,0,0,0,0,0,0,0,0,0.0446227202563238,0,0,0,0,0,0,0,0.114859502893763,0,0,0,0.0517415415096716,0,0,0.0212002445284189,0,0,0,-0.0308180438986418,0,0
