,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X000725.SZ,X300014.SZ,X002371.SZ,X600031.SH,X300124.SZ,X002129.SZ,X003816.SZ,X002049.SZ,X002241.SZ,X000338.SZ,X000063.SZ,X600703.SH,X000596.SZ,X002179.SZ,X601877.SH,X000625.SZ,X300142.SZ,X600089.SH,X600460.SH,X000100.SZ,X000661.SZ,X600741.SH,X600884.SH,X002180.SZ,X600522.SH,X000733.SZ,X002074.SZ,X000157.SZ,X600702.SH,X002236.SZ,X000799.SZ,X600563.SH,X600584.SH,X002008.SZ,X600779.SH,X002414.SZ,X000977.SZ,X600372.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.351937066555525,0,0,0,0,0,0.149817831842079,0.0984481142390137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114711411470298,0,0,0,0,0,0,0,-0.0500270518556484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182661888824947,0,0.0160210262732827,0,0,0,0,-0.0152141983449609,0,0,0,-0.0177952627612844,0,0
X000858.SZ,0,0,0,0,0.206080150002632,0,0,0.186935890178528,0,0,0,0,0,0,0.00540990243279572,0,0,0,0,0,0,0.0214679406082303,0,0.0476765511926356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983324061017205,0,0.0614348962050252,0,0,0,0,0,0,0,0,0,0,0,-0.00934918661125659,0.0133770286156307,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0554871609676776,0,0,0.0708876475712115,0,0.0778758163531868,0,0,0,0,0,0,0.0298282604576377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367183900431384,0,0,0,0,0,0,0,0,0,0,0,0,0.209962664134642,0,0,0,0,0.00886465637975358,0,0,0,0.00645990644671554,0,0
X600809.SH,0,0,0,0,0.587333713637674,0,0,0,0,0,0,0,0,0.0301943839689079,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112344180259886,0,0,0,0,0,0,0,0,0,0,0,0.0673126952597136,0,0.116458956808397,0,0,0,0,0,0,0,0,0,0,-0.010822001655936,0,0,0,8.67361737988404e-19,0,0
X000568.SZ,0.119671715338405,0.221161912256662,0,0.0933169297132274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194876366170233,0,0,0,0,0,0,0,0,0,0,0.1229358373345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443262744656275,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.324604616199689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224035917821228,0,0,0,0,0,0.0551138391620254,0,0,0,0.0705534504335902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019724305487166,0,0,0,-0.0491255247485353,0,0
X002475.SZ,0,0,0,0,0.0364579575109398,0,0,0,0,0,0,0,0.0317164693530313,0.199502529129855,0,0,0,0,0,0.438646576469367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333024124194083,0,0,0,0,0,0,0
X600690.SH,0,0.161859187736283,0,0,0,0.0689842561037166,0,0,0,0,0,0,0,0,0.0370246851833678,0,0,0,0,0,0,0,0,0.219802289055125,0,0,0,0,0,0,0,0,0,0.0478003591730207,0,0.0596694865788902,0,0.0606514610589235,0,0,0,0,0,0,0.123951413720673,0,0,0,0,0,0,-4.33680868994202e-19,-0.0173865294001748,0,0,0,0,0,0
X002304.SZ,0.100527712142975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081382343416677,0,0,0,0,0.0342197725239154,0,0,0.318027462877631,0,0,0,0,0,0,0,0,0.0555013455841935,0,0,0,0,0,0,0,0,0,0,0,0,0.164424434028604,0,0,0,0,0,0,0.000998874265297075,0,0,0,0.0292415069414473,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0285985288945562,0.10865404116767,0,0,0.0121660780942069,0,0,0.14751835972515,0,0,0.00505480946199549,0.0420311094373765,0,0,0,0,0.181467752824725,0,0,0,0,0,0,0,0,0,0,0,0.000833829103787782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716829446986984,0,0
