,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X000559.SZ,X600118.SH,X600066.SH,X000157.SZ,X002236.SZ,X600372.SH,X600089.SH,X002475.SZ,X600741.SH,X000338.SZ,X002241.SZ,X002292.SZ,X000568.SZ,X600839.SH,X300124.SZ,X600177.SH,X002465.SZ,X002294.SZ,X600867.SH,X002074.SZ,X000977.SZ,X002129.SZ,X000869.SZ,X000800.SZ,X600582.SH,X300003.SZ,X600498.SH,X600525.SH,X000581.SZ,X000550.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0534912812173259,0,0,0,0,0.121734351110702,0,0.0599689923839818,0.114347053702297,0,0,0,0,0,0,0,0,0,0,0,0,0.0752496020449034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00457256932025427,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.222603437465508,0,0.206784521615872,0,0,0,0,0,0,0,0,0,0,0,0,0.147234402214314,0,0,0,0,0,0,0,0,0,0.118804621838243,0,-0.00112450938215886,0,0,0,0,0,0,0,-0.0386907672523699,0.0505608152513497,0,0,0,0,0,-0.0289744720034693,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143635362578671,0,0,0,0,0,0,0,0,0,0.0468990807796364,0,0.117576997587156,0.0389685341285924,0,0,0,0,0,0.0877488596918179,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183362192352979,0.018291610170654,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.216896693833593,0,0,0.125295977450778,0,0,0,0.0514552709262193,0,0,0,0,0.211045020330591,0,0,0,0,0,0,0,0,0,0,0.045116516969613,0,0,0,0,0,0,0,0.0799422407330887,0,0,0,-0.014065032507731,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131516848811006,0,0.0198225122034107,0,0,0.169899887626994,0,0,0,0,0,0,0,0,0.327168315269215,0.0646753810112199,0,0,0,0,0,0,0,0,0,0,0,0,0.0486179100971894,0,0,0,0,0,-0.0197104029835641,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.193724299645405,0.224989322489073,0,0,0,0,0,0,-0.0880090649536693,0,0,0,0,-0.0814154892140006,0,0,0,6.93889390390723e-18,0,0,0,0.384326053185157,0.0441034028260983,0,0,0,0,0,-0.0480812885102702,0,0,0,0,0,0,0,0,0,0,0,0,-0.0277379064511631,-0.0305743688828223,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917567591601069,0,0,0,0,0,0,0,0.311322273846783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511016874263048,0,0,0,0,0,0.102733265614207,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0731235744768659,0,0,0,0,0.376586857112904,0.00854098523803232,0,0,0,0,0,0,0,0,0,0,0,0.370983145130522,0,0,0,0,0,0,0,0,0,0.0180495807780229,0,0,0,0.0270755132162617,0,0,0,0,0,0,0,0,0,-0.00956941140920573,0.0313966989978028,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108090221295012,0.243781788506579,0.0362349685947646,0,0,0,0,0.324882576074087,0,0,0,0,0.0277849959696052,0,0,0,0,0.0366911931328362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678616165266088,0,0,0.295923757367993,0.233186419034723,0,0,0.062029994250603,0,0,0,0,0,0,0,0,0,0.0144096250023446,0,0,0,0,0,0,0,0.159299979255075,0,0.00236399679508638,0,0,0,0,0,0,0
