,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X000625.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X002129.SZ,X000100.SZ,X600703.SH,X600089.SH,X002236.SZ,X600372.SH,X002049.SZ,X002241.SZ,X000661.SZ,X600584.SH,X000157.SZ,X600741.SH,X000977.SZ,X601877.SH,X600522.SH,X600418.SH,X000800.SZ,X002074.SZ,X002007.SZ,X600183.SH,X002463.SZ,X601799.SH,X300142.SZ,X600702.SH,X002028.SZ,X002180.SZ,X000733.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.327232256865885,0,0,0.0217507878040471,0,0,0,0.103214981925826,0,0,0,0,0,0,0,0,0,0.052193978083736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206611688712392,0,0,0,0,0.00664993317138376,0,0,0,0,0,0.0321682559446459,0.0864813200185805,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.105586459982724,0,0,0.155306511894832,0,0,0,0,0,0,0,0,0.0794226694929856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179355703211283,0,0,0,0,0,0,0,0.228077590183754,0.0961408705437499,0,0,0,0,-0.0108200052896486,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101939520947743,0,0,0,0,0,0.0591896183272183,0,0,0,0.215672779098539,0,0,0,0,0,0,0,0.0476772327280758,0,0,0.0400388982483822,0,0,0,0.0321668818578118,0.00497614579244241,0,0,0.0261167203799119,0,0,0,0,0.0369941026111473,0,-0.00444238913664271,0.0664817861972821,0,0,0,0,0
X000568.SZ,0.425666867310218,0,0,0,0,0.194438290058913,0,0,0,0,0,0.162490838096405,0.000548197106960959,0,0,0.215181985752653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331536718092281,0,0,0,0,0,0,0,0,0,-0.0112664489625107,-8.67361737988404e-19,0,0,0.121570201500895,0,0,0,0,0,0,0.00678718345385734,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839101698209407,0.0175749171799004,0,0,0,0,0,0,0,0,0,0,0,0.147708909918721,0,0,0,-0.0677947010806192,0,0,0,0,0,0,0,0,0,0.0311633833472628,0,0,0,-0.0687637303058719,0.278962545832172,0,0,-0.00982494873915048,0,0,0,0,0,0
X600809.SH,0.211435987277283,0,0,0.403302677034414,0,0,0.0161996342441555,0,0,0,0,0,0,0,0,0.103975263889368,0,0,0,0,0,0,0,0,0,0,0.101238130380652,0,0,0,0,0,0,0,0,0,0,0,0,-0.047505004840691,0,0,0,0,0,0.000975815564840133,0,0,0,0,0,0.00315121476924986,-0.0059626327253799,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498467013023849,0,0,0,0.0458758841767966,0,0,0,0,0,0.07149553949165,0,0,0,0,0.135040079795378,0,0,0,0,0,0.067976171314801,0,0,0,0,0.150394708760332,0,0,0,0,0,0,0.145096306089391,0,-0.0408628369676979,0.0632348850656427,0,0,0,-0.100409690897685,0,0
X600690.SH,0.155366804433833,0,0,0.0114400518784245,0,0,0,0,0,0,0,0.0445803595016244,0,0,0,0,0,0,0.0895451514892095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415335236741977,0.00890095679618352,0,0,0.0746619911389184,0,0,0.0252043685368506,0,0,0,0,0,-0.00323115269045323,0,0,0,0,0,0,0
X000651.SZ,0.102692690268173,0,0,0,0,0,0.00695761272708987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488055261093398,0,0,0,0,0,-0.0379841748166772,0,0,0,0.0811442226925001,0,0,0,0,0,0,0,0,0,0,0.0508340974106089,0.0536919543924674,0,0,0,0,0,0,0,-0.0142245630727062,0,0,0,0,0,0
X002304.SZ,0,0.187562783921311,0,0,0,0.126203556030236,0,0,0,0,0,0,0.0593440594514398,0,0,0,0,0,0,0.0720339037168673,0.07445212469733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105380886015477,0,0,0,0,0,0,-0.0151542314852247,0,0,0,0,0,0
