,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X002371.SZ,X300014.SZ,X003816.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002129.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X601877.SH,X000661.SZ,X300142.SZ,X002179.SZ,X000100.SZ,X600089.SH,X000799.SZ,X600460.SH,X600741.SH,X000157.SZ,X002236.SZ,X600702.SH,X600779.SH,X002074.SZ,X600584.SH,X600884.SH,X002414.SZ,X601799.SH,X002007.SZ,X000733.SZ,X000800.SZ,X600183.SH,X300003.SZ,X300146.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0.0198987189947161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043006290627888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00675732527493755,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0.358451068364278,0,0,0,0,0,0,0,0,0,-0.0586943206741618,0,0,0,-0.0705435899977305,0,-0.0400420537194166,0,0,0.195966403198922,0,0,0,0,0,0.0444920460552384,0.0413718328745418,0,0,0,0,0,0,0,-0.0635221821141982,0,0,0,0,0,0,0,0,0,0,0,0.0094725932135302,0,0,0,-0.00823041592998753,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139644706718583,0,0,0,0,0,0,0,0.284899395979422,0,0,0,0,0.0377878818436459,0,0,0,0,0.0226850141476387,0.191620860633781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509523107762696,0.267287769237678,0,0,0,0,0,0.0985673074813404,0,0,0,0,0.204466967639902,0,0,0,0,0,0,0,0,0,0,0,0,0.197764196141193,0,0,0,0,0,0,0,-0.113185065002447,0,0,0,0,0,-0.00460717505346404,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0.0605139471972086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104405087923407,0,0,0,0,0.220476580040479,0,0,0,0,0.0123274082973614,0.0797122914003027,0,0,0.0746531289061728,0,0,0.107992399020413,0,0,0,0,0,0,0,-0.0274274078883973,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329717791593561,0,0,0,0,0,0,0,0.00327739411525903,0,0,0.0241786026135035,0,0,0,0.0946968322359463,0,0,0,0.0564753515876826,0,0,0,0,0.0505068040488228,0,0,0.192510613042894,0,0,0,0,0,0,0,0,0,-0.0299829083431709,0,0,0,0,0,0,0
X002049.SZ,0,0,0,-0.102568822080186,0,0,0,0,0,0,0,0,0,0.329117099518762,0,0,0,-0.0483339878203829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05210492327856,0,0,0,0,0,0,0,0,0,0,0,0.200465394165671,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,-0.0454402506011249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437888112448924,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.345254506999425,-0.0514594024474575,0,0,0,0,0,0.163401084619385,0,0,0,0.0536390318458583,0,0,0,0,0,0,0,0.0443964032936273,0,0,0,-0.0564547076226072,0,0
X000661.SZ,0,0,0,0,0.14555526195743,0.444539330038369,0,0,0,0,0,0,0,0,0.149758998459544,0,0,0,0,0,0,0,0.0285780526420495,0,0,-0.03870532976344,0,0,0,0,0,0,0,0,0,0.2649262592538,0,0,-0.0318147072159972,0,0,0,0,0,0,0,0,0,0.0803044452845028,0,0,0,-0.0100263121054362,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669740403379153,0,0,0.268382469778472,0,0,0,0,0,0,0,0,-0.100195753297717,0,0,0,0,-0.246824987279143,0,0.203464731128127,0,0,0,0,-0.146564257277013,0.115710833118894,-0.0221838253892204,-0.0446093490385102,0,0,0,0,0,0,0,0,0,0,0.032880336236323,0,0,0,0,0,0,0
