,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000661.SZ,X000338.SZ,X000063.SZ,X003816.SZ,X002241.SZ,X000625.SZ,X600703.SH,X000596.SZ,X000100.SZ,X300142.SZ,X002371.SZ,X000157.SZ,X002129.SZ,X002179.SZ,X002049.SZ,X000799.SZ,X600741.SH,X002007.SZ,X002236.SZ,X601877.SH,X600702.SH,X002414.SZ,X600779.SH,X300146.SZ,X600584.SH,X300003.SZ,X601799.SH,X600183.SH,X600460.SH,X000800.SZ,X002074.SZ,X000066.SZ,X600089.SH,X000977.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.0785677295040546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529078978489694,0,0,0,0.0455424879830203,0,0,0,0,0,0,0.0639959427255001,0,0,0,0,0,0.014543098836599,0,0.154932946071475,0,0,0,0,0,0,-0.0166465374481483,0,0,0,-0.0118031958556819,0,0
X000858.SZ,0,0,0,0,0.144407700659426,0.36909188384719,0,0,0,0.0645819574679581,0,0,0,0.0124023391032039,0,0,0,0,0,0,0,0,0,0,0,0,0.0749743624875485,0,0.0101789145791136,0,0.081910002418416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00630643487538357,0,0
X002415.SZ,0,0,0,0,0.0563634549374348,0,0,0,0,0,0,0,0,0,0.052174854904054,0,0,0,0,0,0.0719092052802252,0,0,0,0,0,0,0,0,0.0132087350578357,0,0,0,0,0,0,0.00240001518708902,0,0,0,0,0,0,0.150649716099841,0,0,0,0,0,0,0,-0.0191323553212805,0,0,0,0,0,0,0
X600276.SH,0,0.22444630163996,0,0,0,0,0,0.0534587095757308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190448786106143,0.00234195448947202,0,0,0,0,0,0,0,0,0,0,0,0,-0.142391013472314,0,0.0607898093984399,0.0970063805838909,0,0,0,0,0,0,-0.0589717754194963,0,0,0.112629147779553,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120702523388119,0.0187586407758049,0,0,0,0,0,0,0,0.0400374256277157,0,0,0,0,0,0,0,0.298409377578437,0,0,0,0,0.0293043723071083,0,0,0,0,0,0.114900508022053,0,0,0,0,0,0,0,0,0,0,-0.068744696437736,0,0,0,-0.0746373853012199,0,0
X000568.SZ,0,0.444407191918098,0,0,0.179731094317738,0,0,0.021580463104273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140052477617054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091532846859425,0,0,0,0.200401168965179,0,0,0,0,0,0,-0.0244941086401431,0,0,0,-0.00174178450286979,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0193227380305521,0.0152927293000463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706592151573519,0,0.0391320116536134,0.0772368778276793,0,0,0,0,0.100172868362823,0,0,0,0.0388888961299448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015092661310645,0,0,0,0,0.0109823154112314,0,0
X002304.SZ,0,0,0,0,0.277249484025254,0,0,0,0.0728770259494766,0.110655509062089,0,0,0,0,0.00316509862750603,0,0,0,0,0,-0.0208285730996202,0,0.18094889343256,0,0,0,0.0522613105117538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651547648343072,0,0,0,0,0,0,0,0,0,0,-0.0599782480868473,0,0,0,0,0,0,0
X600690.SH,0,0,0.165740055295607,0,0,0,0,0,0,0.00273954969256918,0,0,0.052769316728364,0,0.0199701436062899,0,0,0,0,0,0,0,0,0.0347401643475442,0,0.0149661864497354,0,0,0,0,0.0644858667606764,0,0,0.0552158390650536,0.23547364860771,0,0,0.1035095414433,0,0,0,0,0,0,0,0.0501197552255004,0,0,0,0,0,0,-0.0305523536419853,0,0,0,0.0252547449177434,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.151394005672295,0,0,0,0.0115822483143388,0,0,0.174121109829424,0,0.237800791524561,-0.0481501002580998,0.167623242711165,-0.0618865226126669,0.0220374924307337,-0.0100911720179828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739967361315453,0,0,0,-0.01750535997393,0,0
X600031.SH,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.235611625589342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826661092193126,0.17402491368659,0,0,0,0,0,0,0.0819934114065403,0,0,0,0,0,0,0,0,0,0.0112269827873735,0,0,0,0,0,0,0,0,0,-0.00920130185586172,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0542797207582275,0,0,0,0.017889011156763,0,0,0,0,0,0.054344958440892,0,-0.0276553791808026,0.00934121256980134,0,0.0305623467083834,0,0,0,0,0,0,0,0,0,0.00771517550803353,0,0,0,0,0,0,0,0,0,0,0,0.0131613844495119,0.117848392834155,0,0,0.000945433471466897,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196306973291974,0,0,0,0,0,0,0,0.290115680054088,0.048610903212218,0,0,0,0,0,0,0,0,0,0,0,0,0.0112032296156305,0,0,0.073509517729782,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0114637455256182,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0.130712822364904,0,0,0,0,0,0,0,0,0,0.0585509184289912,0,0.171602187761343,0,0,0.271259757859583,0,0,0,0,0.0596974789339724,0,0,0,0,0,0,0,0,0,0,0.330672638536323,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.0964499530310129,0,0.184012043426854,0,0,0,0,0,0,0,0,-0.0213009725620241,0,0
X300124.SZ,0,0,0,0,0.111723654016979,0,0,0,0,0,0.0822845902415004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102173413923262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160455101624411,0,0.0111607698566406,0,0.310726400721324,0.254979175483824,0,0,0,0,0,0,0,0,0,0,0,0
