,X600519.SH,X000858.SZ,X002475.SZ,X002415.SZ,X600276.SH,X600690.SH,X003816.SZ,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000625.SZ,X000725.SZ,X600031.SH,X300124.SZ,X000063.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X002463.SZ,X600584.SH,X000157.SZ,X600703.SH,X600372.SH,X000977.SZ,X600183.SH,X600066.SH,X600522.SH,X002236.SZ,X600741.SH,X002028.SZ,X002049.SZ,X600418.SH,X002180.SZ,X601877.SH,X600487.SH,X002223.SZ,X000661.SZ,X000921.SZ,X000800.SZ,X601799.SH,X002156.SZ,X600460.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.155219494656179,0,0,0,0,0,0.168273708786398,0,0.16717758615952,0,0,0,0,0,0,0,0,0,0.0148135257823673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128397779884758,-0.000993865008616864,-0.0254881171882794,0,-0.113565710960241,-0.0191451866239675,0,0,0,0,0,0,0,0,-0.0267616137294537,-0.0602618346175235,0,0,0,0.00488966159511856,0,0
X000858.SZ,0.20040281051011,0,0,0,0,0,0,0,0,0.336051704913208,0,0,0,0,0,0,0,0.0500866515466417,0,0.0613962123417947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058838893395653,0,0,0,0,0,0,0,0,0,0,0,0.0129281002484207,0,0.0317437704013045,0,1.0842021724855e-19,0,0,0,0,0.0375199043444704,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263194968387479,0,0,0,0,0,0,0,0,0.10444808395433,0.432006984579821,0,0,0,0.0065403441705811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897521752504839,0,0,0,-0.0364254303366213,0,0
X002415.SZ,0,0,0,0,0.0375707735268648,0,0,0,0,0,0,0,-0.186857806482839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00981636138918092,0,0,0,0,0,0,0.0530565032503662,0.0329336798797252,0,0,0.0241220893891836,0,0,0,0,0,0,0,0.160876549060652,0,0,0,-0.139089345213108,0,0,0.0570732606324893,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330852005461267,0,0.174819717471546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700477434794924,0,0,0,0,-0.0421218478238795,0,0,0.0462237944268413,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0909907967175759,0.129744933165986,0,0,0,0,0.14128727807327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241233381034822,0,0,0,0,0,0.233320236758616,0,0,1.0842021724855e-19,0,0.0272817017082656,0,0,0,-0.131899713075012,0,0,0.0156291059582906,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.205983441891638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127110483050098,0,0,0,0,0,0,0.105749324825757,0,0,0,0,0,-0.0934872852013032,0,0,0,0,0,0,0,0.150067675385378,0,0,-0.0891249518310162,0,0.0144806073576704,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.0653670767876409,0,0,0,0,0,0,0,0,0,0.320420051332081,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0218750425108,0,0,0,0,0.00389705835024661,0,-0.0375935849183412,0,0,0,0.00687502238549144,0.16243322778963,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0330336915235608,0.0699544538623239,0,0,0,0,0,-0.032196771400157,0,0.0757745449821459,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157304212031445,0,0,-0.00370588403599064,0,0,0,0,0,0,0,0,0,0,0,0,0.122890960557106,0,0,0,-0.0140032745612665,0,0,0.0131319267631054,0,0,0,0,0,0,0
X000568.SZ,0.349953618667969,0.455809658272803,0,0,0,0,0,0,0,0,0.0938766184768371,0,0.0419052995203791,0,0,0,0,0,0,0.190227305534407,0,0,-0.0197987149068865,-0.0139196642010169,0,0,0,0,0,0,0,-0.0247224544287534,0.0746688203451563,0,0,0,0,0,0,0,0,0,0,0.0476390869146803,0,0,0,0,0,0,0,-0.0385217617481396,0,0,0,0,-8.67361737988404e-19,0,0
