,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000725.SZ,X002304.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X002007.SZ,X600741.SH,X300003.SZ,X600183.SH,X000100.SZ,X002371.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X000977.SZ,X601877.SH,X002236.SZ,X000625.SZ,X300142.SZ,X300124.SZ,X000157.SZ,X002129.SZ,X002463.SZ,X600498.SH,X002456.SZ,X002179.SZ,X600271.SH,X002223.SZ,X600118.SH,X000066.SZ,X300136.SZ,X600584.SH,X600177.SH,X600487.SH,X002414.SZ,X002008.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.353786458746888,0,0,0,0,0,0,0,0,0,0,0.0432518502133208,0,0,0,0,0.202869502265851,0,0,0.0337788943424714,-0.0721554247449007,0,0,0,0.0661618961939956,0,0,0,0,0,0,0,0,0,0,0.0722694856706017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962948631156653,-0.00221848788886723,-0.00843621727349391,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0192935280160285,0,0,0.1090648739597,0,0,0,0.48405492832582,0,0,0,0,0,0,0,0,0,0,0,0.142815880134478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190709419412782,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129516956375649,0.0477264118444202,0,0,0,0,0,0,0.0193231645508141,0,0.0328278918130062,0,0,0.0033977774844095,0,0,0,0,0,0,0.0255966902640146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112568690474676,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0498044364735808,0.159797006749442,0,0,0,0,0,0.239093576748086,0,0.0299152361921429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781048331319331,0.030899891944923,0.0193283181322832,0.00352623680807269,0.0273742904983483,0,0,0,0.177040639016707,0,0,0,0,0,0,0,0,0,0,0,0.00395788570452107,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0406797541458043,0,0,0,0,0,0
X600104.SH,0,0.0298150636023818,0,0,0,0,0.0325875056073912,0,0,0,0,0,0,0,0.0946075629757033,0.0275980983249045,0,0.117867376368996,0,0,0,0,2.16840434497101e-19,0,0.0596877780758207,0,0,1.73472347597681e-18,0,0,0.32205091122916,0.00468640938507748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192714585640981,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.39943465614521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13442557212911,0,0,0,0,0.310037322022611,0,0,-0.0329879387332357,0.021042156619978,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0884642743135748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652109015647872,0,0,0,0.12326706533865,0,0,0,0,0.1845840087123,0,0,0,0,0,0.142150443816501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051716979390659,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.106643078756893,0,0,0,0,0,0,0,0,0.0977156038166089,0,0,0,0,0,0,0,0.0142455157100057,0,0.0904967633793283,0,0,0,0,0,0.0715358312862527,0,0,0.39626942820995,0,0,0,0,0,0,0,0.0010477623922247,0,0,0,0,0,0,0,0,0,0.0264415564369942,0.00134897061962855,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0288886818828122,0,0,0,0,0,0,0,0,0,0,0,0.0366437845994601,0.0421953598874285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17034983192022,0,0,0,0.0319250772412908,0,0,0,0,0,-0.0101593075739878,0,0,0,0,0,0
