,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X002304.SZ,X000063.SZ,X000651.SZ,X300124.SZ,X600104.SH,X002371.SZ,X000725.SZ,X003816.SZ,X600031.SH,X000596.SZ,X002129.SZ,X000625.SZ,X300014.SZ,X000338.SZ,X000977.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X002236.SZ,X000100.SZ,X600372.SH,X002241.SZ,X600584.SH,X601877.SH,X000157.SZ,X600741.SH,X000661.SZ,X600522.SH,X002180.SZ,X002074.SZ,X000733.SZ,X000066.SZ,X600702.SH,X600460.SH,X300003.SZ,X002463.SZ,X300142.SZ,X000988.SZ,X300146.SZ,X002007.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.217519412947012,0,0.0317985063737685,0.0682380088819061,0,0,0,0,0,0,0,0,0.0432364098945602,0,0,0,0.0608595094164259,0,0,0,0,0,0,0,-0.0508088573858111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453082709318303,0,0,0,0,0,0,0,0,0,-0.0043909879434309,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.30136615867515,0,0.0600596293664234,0,0,0,0,0,0,0,0,0,0,0.0566756151059189,0,0,0,0,0,-0.00654314119394004,0,0,0,0.036840913304882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119462506730714,0,0,0,0,0,0,0,0,0,-0.0446586710118272,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0367642919887915,0,0,0,0,0,0,-0.0707017551733737,0,-0.0788396705204436,0,0,0,0,0.173435353845496,0,0,0,0,0.230466881837205,-0.0206309397672457,0.237413271263667,0,0,0,0,0,0,0,0,0,0,0,0,0.0751239647824714,0,0,0,-0.124916886916001,0,-0.066988362833784,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.245006401940299,0,0,0,0.0519485416156907,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0189474179703364,0,0,-0.090752724810291,0,0,-0.0430697456896773,0,0.0948525080006619,0,0,0,0,0,0,0,0,-0.0366966796629572,0,0,0,0,0.105932513438157,-0.0572133899152117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0.267258241169984,0,0,0,-0.035882753263491,0,0,0,0,0,0,0.0119744331965676,0,0,0.0296343595332929,0,0,0,0,0,0,0,0.00348876797495466,-0.126467062674009,0.10780923237152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257624586248052,0,0.0873122217802358,0,0,0,0,0,0.00807227148975846,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.262297805429081,0,0.152961071742364,0,0,0,0,0,0,0,-0.240559285639993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036181660148534,0.0342284244834428,0,0.0201564775036696,0,0,0,0,0,0,0,0,0,-0.252954000173544,0,0,-0.0145132388272425,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0344500330876708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634703782302273,0,0,0,0,0.0682288295868338,0,0,0.354102102682371,0.0711179389711009,0,0,0,0,0,0,0,0,0,0.0161192660549641,0,0,0,0,0.0423795044123642,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.159119864171552,0,0,0,0,0,0.245987815463471,0,0,0,0.146565837902532,0,0.100348713277622,0,0.0703414905614796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0167675918866312,0,-0.136856733335708,0,0,0,0,0,-0.0565623164979927,0,0,0,0,0.038382559479333,0,0,0,0,0,0,0
X002304.SZ,0,0.210893125433076,0,0.150648224434861,0,0,0,0.069145580212856,0,0,0.0301644931840005,0,0,0,0,0,0.0350988899496706,0,0,0,0,0,0,0,0,-0.0192133113251859,0,-0.119791534764873,0,0,0,0.0382441096262457,0,0,0,0,0,0,0,-0.0238399371369411,0,0.201924769745315,0,0,0.0360086889002444,0,0,0,0,0,0,0,-0.0189776997067479,0,0,0,0,0,0
X000063.SZ,0,0,0.170042354135874,0,0,0,0,0,0,0,0,0,0,0.156988023342029,0,0,0,0,0,0,0,0,0.176284708513147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735767522566982,0,0,0,0,0,0,0,0,0,0,0.202710264214034,-0.198383113371481,0,0,0,0,0,0
X000651.SZ,0,0,0,0.187461953117081,0,0,0,0.00113435951242859,0,0.0805221362881218,0,0,0,0.0586358577898368,0,0,0,0,0,0,0,-0.0573418380886686,0,0,0,0,0.0407452365811251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261954022557545,0.116525992679805,0,0,0,0,0,0,0,0,0,0.00691043453198257,0,0,0,0,0,0,0
