,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600276.SH,X600690.SH,X000063.SZ,X600703.SH,X000100.SZ,X600271.SH,X600031.SH,X600118.SH,X600372.SH,X000157.SZ,X600089.SH,X000338.SZ,X002241.SZ,X002292.SZ,X600741.SH,X002236.SZ,X600066.SH,X002475.SZ,X000559.SZ,X300124.SZ,X600177.SH,X601877.SH,X300003.SZ,X002129.SZ,X600582.SH,X600839.SH,X000016.SZ,X000568.SZ,X002456.SZ,X600435.SH,X002294.SZ,X002276.SZ,X000550.SZ,X000869.SZ,X002008.SZ,X000623.SZ,X000581.SZ,X002223.SZ,X000066.SZ,X600498.SH,X600060.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0663010722983901,0,0,0.0527417786739685,0.0887077252568568,0,0,0,0.112300205745153,0.127886677535317,0,0,0,0,0,0,0,0.00318161847784926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0368795695352322,0,0,0,0,0,0.00838786307890671,0,0,-0.0135422254021571,0,0,0,0
X600104.SH,0.0626951908631356,0,0,0,0.0734242703540912,0.258798098943992,0,0.0269315364456862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173150796235909,0.00495199968198004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102514047215828,0,0,0,0,0,0,0.00165685401970727,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.172753774785419,0,0,0,0.242964954195231,0,0,0,0.0386548905422409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712746449589475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126922238190057,0,0,0,-0.000630153473696331,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0264112767382013,0,0,0,0,0,0,0,0.0046678833662233,0.0891411545494575,0,0,0,0,0,0,0,0,0.0452750612459059,0,0.0447816614235016,0,0,0,0,0,0,0.477341011618864,0,0,0,0,0,0,0,0,0,0,0,0.0147965589038681,0,0,0,-0.0229199157436897,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.178894962112359,0,0,0,0,0,0,0.0456605785988448,0,0,0.103024762642295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520982895490129,0,0,0,-0.0159093902721228,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.205952463653027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105496586054527,0,0,0,0,0,0,0.0931726394356147,0,0,0,0,0,0,0,0,0,0,0.04178824458551,0,0,0,0,0,0,0.115367064184141,0,0,0.00986816341322435,0,0,-0.00161380663964349,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.174855537235825,0,0,0.00777487941643255,0,0,0,0,0,0.055912527845488,0,0,0.0105521314699595,0,0.264282287951303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441738187032497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00958183521319301,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0634934821880147,0,0.0228190633178409,0,0,0,0.106149486100909,0,0,0,0.0542309110845236,-1.38777878078145e-17,0,0.0736327623879579,0,0,0.126984285696827,0,0,0,0,0,0.0988639990616786,0,0,0,0,0,0,0.119896734935176,0,0,0,0,9.2073889105016e-05,0,0,0.0566688444368691,0,0,0,0,0,0,0,0.00350970955118383,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124309393995895,0,0,0,0,0,0,0.107911255612145,0,0.00697005257300106,0,0,0,0.0876014118655074,0,0,0,0,0.0349912135812873,0,0,0,0,0,0,0.10991341243015,0,0,0.00372338324733698,0,0,0,0,0.0498264400250841,0,0,-0.00467913033897048,0.0264122626040676,0,0,0,0,0,0
X600690.SH,0,0,0,0.254415894029085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342127192489976,0,0,0,0,0,0,0,0.026061424284992,0,0,0,0,0,0,0,0.0447084710084632,0,0,0,0,0.163451405206332,0,0,0,0,0,0,0,0,0,0,-0.00396159928464532,0.0141046760702203,0,0,0,0,0,0
