,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X000625.SZ,X600031.SH,X000596.SZ,X000063.SZ,X000100.SZ,X600089.SH,X002179.SZ,X300014.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X600372.SH,X600741.SH,X000661.SZ,X002129.SZ,X002049.SZ,X002028.SZ,X002463.SZ,X000977.SZ,X600584.SH,X601877.SH,X600522.SH,X000921.SZ,X000800.SZ,X601799.SH,X002223.SZ,X600066.SH,X600183.SH,X002007.SZ,X600060.SH,X600177.SH,X002074.SZ,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.300175233310282,0.08932749681325,0.117472779732974,0.101274119526695,0,0,0,0,0,0.0315027589360364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107446463932775,0,0,0,0,0,0,0.0569125130947689,0,0,0.00683260543368766,-0.0100132256485983,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0578827995570968,0.566357194363471,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0187428537933707,0,0,0,0,0,0,0.0842577414593165,0,0,0,0,0,0,0,0.00856472684590149,0,-0.0595592742901003,0,0.0192492038102673,0,0,0,0,0,0,0,-0.0507860884235422,0,0,0.08980687515252,0,0,0,0,0,0.00125383667352159,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.127360509290667,0.0482102914254658,0,0,0,0,0,0.0327337162078406,0,0,0,0.0791139842630823,0.169564346316319,0,0,0,0.1335610631609,0,0,0,-8.67361737988404e-19,0,0,0,0.00738230300917727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301345862587848,0.0156830630369543,0,0,0,0,0,0
X600809.SH,0,0,-0.0586943645434266,0,0,0.462131858891191,0,0,0,0,0,0,0,0,0,0,0,0,0.425715678174697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00732271140630798,0,0,0,0,0,-0.0296480338168246,0,0,0,0,-0.0519676588665442,0.0397588104474339,0.109107532143461,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0351753814305728,0,0,0,0,0,0.0496769063169089,0,0.0491291882914834,0,0,0,0,0,0,0,0,0,0,0,0.0555948654631085,0,0.20936007793904,0.0139258366614016,0,0,0.0111180185117332,0,0.0111527651495343,0,0,0,0.128800666263935,0,0,0.0692940996610506,0.0344142199104539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.775725204351409,-0.0248883224042063,0.192030935819918,0,0,0,0,0,0,0,0,0,0,0,0,0.0338946424328276,0,0,0,0,0,-0.0914721269645001,0,0,0,0,0,0,0,0,0.0243782952984802,0,0,0,0.058309152935182,0.0672882958928135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167752575347447,0,0,0,0,0,0,0
X600690.SH,0,0.0337728908175963,0,0,0,0.321083871666517,0,0,0,0,0,0,0,0,0.0527603523703873,0,0,0,0,0,0,0,0,0,0,0,0,-0.038940105637819,0,0,0,0,0,0,0,0,0,0,0,0.0837388783057434,0,0,0,0,0,0,0,0,0,0,0.00246521817804378,0,0.0230970980800629,0,0,0,0,0,0
X000651.SZ,0,0,0,0.103392762932042,0,0,0,0,0,0,0,0,0,0,0.0943002428860956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545658835117417,0,0,0,0,0,0,0,0,0,0,0,0.0464987020988629,0,0,0,0,0
X002475.SZ,0,0,0,0,0.136883459614605,0,0,0,0,0,0,0,0,0,0,0.0707503407868118,0.0421730391789313,0,0,0,0,0,0,0,0,0,0,0.28248090917428,0,0,0,0,0,0,0,-0.0644692010191101,0.10711099235344,0,0,0,0,0,0,0,0.0146753710580446,0,0,0,0,0,0,-0.0434597523483362,0.0115846929758814,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0302570246388527,0.102162496202458,0,0,0,0,0,0,0,0.00011759235592506,0,0,0,0.1137657543359,0,0,-0.173713005843868,0,0,0,-0.0556095249900168,0,0,0,0.200469930124629,0.0251770474227527,0,-4.33680868994202e-19,0,0,0,0.072377195380332,0,0,0.0313931869869388,0,-0.0666116048859325,0.0429551469314969,0,0,0,0,0,0
