,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X600703.SH,X600372.SH,X000066.SZ,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600839.SH,X600522.SH,X600741.SH,X600183.SH,X600066.SH,X002456.SZ,X601877.SH,X600460.SH,X002156.SZ,X000661.SZ,X002129.SZ,X000800.SZ,X600487.SH,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.279739350229825,0,0,0,0,0.0288097750816284,0,0,0,0,0,0,0,0,0,0,0.274294701273363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00698187366081934,0,0,-0.106642175795331,-0.00790367368632541,0,0,-0.0537125835016489,0,0
X000858.SZ,0.315009873389938,0,0,0,0,0,0.34972930471609,0,0,0,0,0.00289349248548867,0,0,0,0,0.0346044734689802,0.158981981262079,0.0821331663041886,0.00305416460593035,0.0365747875334635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644899982269502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0285544648079466,0,0,0,0,0,0.187489605346451,0,0,0,0,0,0.090342087408651,0.21413817667422,0,0.043701293442382,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.0402698651985874,0,0,0,0,0,0,0,0,0.013912740662982,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00533472241631701,0,0,0,0,0,0,0,0.00334481739491693,0,0.0714980002095468,0,0,0,0.266275749360436,0.14411297594057,0,0,0,0,0,0,0,0,0,0,0.0531618502881939,0,0,0,0,-0.0342193184269393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0807291654426341,0,0,0,0,-0.0389275587639818,0,0
X002475.SZ,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0632556838071298,0,0,0,0,0,0.0895818075249831,0,0,0,0,0.402547656581603,0,0.043414614810294,0,0,0,0,0,0,0,0,0,0.0350682383481127,0,0,0.115822301708438,0,-5.42101086242752e-20,0,0,-0.00244989516487661,0,0,0,0,0,0,0,-0.0737687139780862,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0778362178342646,0,0.0682298997126885,0.251542506701025,0,0,0,0,0,0,0,0.114706329732733,0,0,0,0,0.0133781698651087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0699015708511567,0,0,-0.0265727762319759,0,0,0,0,0,0,0,0.0065697006515463,0,0,0,0.0345393251543113,0,0
X600809.SH,0,0.0444600990919541,0,0,0,0,0,0,0,0.769683702429722,0,0.00456901127567013,0,0,0,0,0,0,0,0.00118097380643319,0.0868227520657525,0,0,0.0388967800998676,0,0,0.0563108924563888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000964006974589104,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.411752276543472,0,0,0,0,0,0.0702485312964636,0,0,0,0,0,0.0796929766096145,0.00934345605011371,0.00389012988210075,0,0,0,0,0,0,0,0,0,0,0,0.0108677686736262,0,0,0,0,0,0,0,0,0,0,0,-0.0139455571725363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0347571240096089,0,0.381796050759759,0,0,0,0,0,0.0327936561685078,0,0,0,0,0,0,0.0501762637239143,0.10692351011159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184466409565668,0,0,0,0,0.000197844472211851,0,0,0,0,0,0,0.0297491855673954,0,0
X000568.SZ,0,0.247022547780747,0,0,0,0,0.397979358722347,0,0,0,0,0,0,0,0,0,0,0.141275319504308,0,0,0.0767889292662348,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161628451936427,0,8.67361737988404e-19,0,0,0,0.0664343575432624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
