,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X600741.SH,X000625.SZ,X002475.SZ,X002241.SZ,X000338.SZ,X600031.SH,X002456.SZ,X600066.SH,X300124.SZ,X601877.SH,X600809.SH,X600487.SH,X002008.SZ,X000100.SZ,X002508.SZ,X600522.SH,X300136.SZ,X300003.SZ,X002085.SZ,X600089.SH,X600498.SH,X600271.SH,X000157.SZ,X600699.SH,X600177.SH,X600867.SH,X000559.SZ,X000596.SZ,X000050.SZ,X600118.SH,X002294.SZ,X600566.SH,X002180.SZ,X002179.SZ,X300115.SZ,X000981.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.146132353690133,0,0,0.0292931277435063,0,0.0357040341585422,0,0.102635624688184,0,0,0,0,0,0,0,0,0,0,0,0.000142995524187524,0,0,0,0,0,-0.00222976338002256,0,0,0,0,0,0,0,0,0,0,0.0888336335315298,0,0,0,0,0.0499016565465558,0,0,0,0,0,-0.0105063345966643,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0780463838521891,0,0,0.00266414715816048,0.347253144280932,0,0.0825417973952519,0,0,-0.0174889100552252,0,0,0,0,0,0,0,0,0,0,0,0,0.027743108480651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395404328380692,0.0442986894607725,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0365884480515265,0,0,0,0.0900931475713468,0,0,0,0.0184661058262993,0,0,0,0,0.0783509923657121,0,0,0,0,0,0,0,0.0861108557781197,0.00355632515080944,0,0,0,0,0,0,0,0,0,0.0430312093822943,0,0,0,0,0.0403884520400594,0,0,0,0,0,0.0422276290940908,0,0.186926190134555,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0545006097951622,0,0,0,0,0,0.262319997824207,0.0397031991384045,0.0339650715680499,0,0,0,0,0,0.0322910058612342,0,0,0,0,0,0,-0.0405181998969043,0,0.339565669538571,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340242374495332,0,0,0,-0.00265004165029225,0,0,0,0,0,0.00288105736383455,0,-0.0374620961952236,0,0,0,0,0
X000858.SZ,0,0,0,0.180224918235492,0,0,0,0,0,0,0,0.443463259879921,0,0,0,-0.044807295431561,0,0,0,0,0,0,0,0.0671733394955712,0.0796060067638825,0,0,0,0,-0.0531267220685307,0,0,0,-0.040564754798169,0,0,0,0,0,0,0,-0.00656704574331148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.112242996688725,0,0,0,0,0,0,0,0,0,0,0,-0.0331079880182597,-0.0140138130763481,0,0,0,0,0,0,0,0,0,0,0.0900482986514525,0,0,-0.0854002059233743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614055455417153,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0046165436049667,0,0,0.146444740920853,-0.0166632185863545,0,0,0.0350589916169021,-0.105675259276507,0,0,0,-0.0284105763072822,0,0,0,0,0,0.0717873600182491,0,0,0.0980177319835269,0,0,0,0.132856223810195,0,0,0,0,0,0.16162126287053,0,0,0,0,0,0,0.137054341870213,0,0,0,0,0,0.0137793405706767,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0.286136987192286,0,0.131514691033219,0,-0.131835657991683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282652870305277,0,0,0,0,0,0,0,0,0.0615408894304086,0.115136094620706,0,0,0,-0.118082819605798,0.0120953070131885,0.137025500668171,0,0,0,-0.00880883972611175,0.0133147573053099,0,0,0,0,0,0
X000063.SZ,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.142990030944988,0.042191141958597,0,0,0,0,0,0,0,0,0.20242166425156,0,0.0289927816708755,0.0753253953103153,0,0,0,0,0.0184439334447628,-0.00684314808331438,0,0,0,0,0.0475362288072773,0,0,0,0.101908500621765,0,0,0.0563956484206943,0,-0.0589187423253543,0,0,0,0,0.033365448260501,0.00598953606735174,0.0435955162145024,0,0,0,0,0,0
X600703.SH,0,0.0519764711382805,0,0,0,0.129903357621508,0,0,0,0,0,0,0,0.160031621723083,0,0,0,-0.193510585418959,0,0,0,0,0,0,-0.126007765460091,0,0,0,0,0,0,0,0,0.260224291437335,0,0,0,0,0,0,0.0531807693700008,0,0,0,0,-0.288045025400947,0,0,0,-0.101576107408381,0,0.0314791197244654,0,0,0,0,0,0,0
