,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000100.SZ,X000338.SZ,X600066.SH,X601877.SH,X002236.SZ,X600118.SH,X600271.SH,X002456.SZ,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600089.SH,X600522.SH,X002007.SZ,X002085.SZ,X000066.SZ,X002508.SZ,X000981.SZ,X300003.SZ,X600867.SH,X600699.SH,X002294.SZ,X000559.SZ,X002292.SZ,X002180.SZ,X600498.SH,X002074.SZ,X300136.SZ,X600809.SH,X000623.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.130095534312883,0.041512262386395,0,0,0,0,0.0142009070237057,0,0,0,0.119218222561795,0,0,0,0,0,0,0,0,0,0,-0.0426147401853845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476896788441934,0,0,0,0,0,0.204635173918378,0,0.0113096981140028,0,-0.00559569206679795,0,0,0,0,0,0,0
X600104.SH,0,0,-0.061478006655357,0,0,0,0,-0.0535036501669976,0,0,0,0,0,0,0.709191476703009,0,0,0,0,0,0,0,0,0,0.137566173203552,0,0,0,0,0,0,0,0,-0.0733303324257393,0,0,0,0,-0.0949912659750553,0,0,-0.078533389019234,0,0,0,-0.101765111442883,0,0,0,0,-0.0177873512910815,0.00775193371631671,0,0,0,0,0,0
X002415.SZ,0,0,0,0.168744552806042,0,0,0,0,0,0,0,0.0639872823806815,0,0,0,0,0,0,0.157606246423913,0,0,0.241335967194399,0,0,0,0,0,0,0,0,0,-0.0289675624141873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212237531103719,-0.0365809054581403,-3.46944695195361e-18,0,0.000622874517930783,0.00208055848882236,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0466636424592368,0.268602076153512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452308127651254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411906179686418,0,0.0861576240376146,0,0,0.0784768488201747,0.350824598612196,0,-0.0884843538966182,0.00635310445412997,0.010243215857311,0,0,0,0,0,0
X000858.SZ,0,0,0,0.142043133318347,0,0,0,0,0.177385013208953,0,0,0,0.0148812224396409,0.377887721927456,0.0506541688686717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0480180094242618,0,0,0,0,0,0,0,0,0,0.0552243560827025,0,0,0,0,0.00434621349853591,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0647494171038948,0,0,0,0,0,0,0,0,0.0152505459701232,0.340355584190951,0.204756369504564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253846925324108,0,0,0,0,0,0,0,0,0,0,0,0,0.10894629899313,0.00822777706251379,0,0,0,-0.00217798980089522,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.028117432009258,0,0,0,0.191970626608908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473191554347115,0,0,0,0,0,0,0,0,0,0,0,-0.01894382076581,0,0,0,-0.103372295616826,0.0185927508613198,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.102229645582282,0,0,0,0,0,0.10560406493705,0,0,0,0.0678682892916867,0,-0.382800293880602,0,0.12382466713983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180694473085536,-0.0199168779008211,-0.0241912047594643,0.0918058465520675,0,0,0,0,0,-0.0188436677223828,0.00438714219349465,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0606464713188677,0.119175944829963,0,0,0,0,0,0,0,0.0722839659010148,0,0.404788160881462,0,0,0,0,0,0,0,0,0,-0.0428566220563794,0,0,0,0.0567564294221907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036922732043534,0.0639678406325314,0,0,-0.0138749467160216,0.00478272466142092,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0889004078348804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690275892970168,0.0141684193755202,0,0,0,0.0782243246917261,0.0518402880882051,0,0,0,0,0,0.19090216972588,0,0,0,0.00506164546353493,0,0,0,0,0,0
