,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X600271.SH,X002241.SZ,X000100.SZ,X600066.SH,X002506.SZ,X000559.SZ,X600118.SH,X600031.SH,X600741.SH,X600372.SH,X002236.SZ,X000157.SZ,X002475.SZ,X002049.SZ,X000338.SZ,X002465.SZ,X600089.SH,X000568.SZ,X300124.SZ,X600177.SH,X601877.SH,X300003.SZ,X002294.SZ,X002129.SZ,X000869.SZ,X002074.SZ,X002456.SZ,X600498.SH,X600867.SH,X002426.SZ,X000977.SZ,X002085.SZ,X300001.SZ,X300146.SZ,X600582.SH,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724338775834738,0,0,0.0147060676576153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152735104709421,0,0,0,0.0161316766117484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00662570002758202,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.025602070860286,0,0,0,0,0.17913115886296,0,0,2.71050543121376e-20,0.000362958335667886,0,0.109618568297545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786827476184191,0.0359930115610613,0,0,0,0.0224055165239343,0,0,0,0,0,0,0,0,0.0148885120027493,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0123646638376336,0,0,0,0,0,0,0,0.0685302884153192,0,0.0329295351823644,0,0,0.147395866861898,0,0,0,0,0,0,0.346583361356734,0,0.0448553082973735,0.0233445841305773,0,0,0,0,0,0,0.0459095638881688,0,0,0,0,0,0.0222371280179268,0.0301812837651654,0,0,0,0,-0.0198209958368505,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.00574135580620043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142383022223471,0,0.195352589103082,0,0,0,0.0378058516778228,0,0,0,0,0,0,0,0.0095302710508817,0,0,0,0,0,0.0423898624374078,-0.00701926241060606,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719408402855528,0,0,0,0,0,0,0,0,0,0,0,0,0.0746531384352794,0.126956483916748,0,0,0,0.101084662581839,0,0.00925535574399149,0.0547293635761136,0,0,0,0,0,0.017508708361017,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272694918229492,0,0.00940372046640935,0,0,0,0,0,0,0,0,0,0,0,0,0.102865731667676,0,0,0,0.114424267391121,0,0,3.46944695195361e-18,0,0,0,0,0,0.0268669051650693,0,0,0.00440420178096712,0,9.48931516374539e-05,0,0,0,0,0,0,0
X002304.SZ,0,0.0412091905552936,0.0238131964116122,0.0547323988606483,0,0,0,0,0,0.125786023222078,0,0,0,0,0,0,0,0,0,0.0171002555107336,0,0,0,0,0,0,-0.0466815049118866,0,0,0,0.178321560641365,0,0.032363698981647,0,0,0,0,0,0,0,0,0.146854171722171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.095163370722475,0,0,0,0,0.0430214358356962,0,0,0,0,0,0,0,0,0,0.0373124421219905,0,0,0,0,0,0,0,-0.00558491192267917,0,0,0,0,0,0,0,0,0,0,0.135472152096553,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283247405912941,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0943967102544088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17062767846962,0,0,0,0.0446318709823941,0,0,0,0,0,0,0,0,0,0.194719630842563,0,0,0,0,0,0.0829225304678166,0,0,0,0,0.0275409496591541,0,0,0,0,0.0500594117952451,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341544622046165,0,0,0,0,0.0444091288792063,0,0,0,0,0,0,0,0,0,0,0,0.164664379108516,0.196122129259747,0,0,0,0.0984546358679501,0,0,0,0,0,0,4.33680868994202e-19,0,0.0609703014323095,0,0,0.00559824462941682,0,0.00598627449728122,0,0,0,0,0,0,0
