,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600031.SH,X600741.SH,X600703.SH,X000568.SZ,X002475.SZ,X600066.SH,X002241.SZ,X600271.SH,X002456.SZ,X002236.SZ,X000338.SZ,X002085.SZ,X600118.SH,X000157.SZ,X600177.SH,X002292.SZ,X000559.SZ,X600372.SH,X300124.SZ,X600867.SH,X002007.SZ,X300003.SZ,X002294.SZ,X002180.SZ,X002506.SZ,X600498.SH,X600089.SH,X002074.SZ,X000981.SZ,X601877.SH,X600522.SH,X002426.SZ,X000550.SZ,X002508.SZ,X002465.SZ,X000050.SZ,X600566.SH,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.126493637595859,0,0,0.0921660531558334,0,0,0,0,0,0,0,0,0,0.0638426286435071,0,0,0.10680449185715,0,0.0365094079283622,0,0,0.0115460448068027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157047924976369,-0.057288442475404,0,0,0,0,-0.0202211609956661,0,0,0.0171814102931295,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.00244907560206208,0,0,0,0,0,0,0,0.0355022666545033,0,0,0.0624359490955803,0,0,0,0,0,0,0,0,0,0.141622543488328,0,0,0,0.0157124088728647,0,0.0313739813711893,0,0,0.132178085402342,0,0,0,-0.068506825822157,0.059648020737196,0,0,-0.110148762172765,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
X002415.SZ,0,0,0,-0.0243717864629917,0,0,0,0,0,0,0,0.160342705342237,0,0,-0.0100341284343668,0,0,0.0153434008321227,0,0,0,0.110621718500654,0,0,0.0540719658437636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850280224093766,0,0,0.0651497823095526,0.00622452131376826,0.478307707495681,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319884060637857,0,0,0,0,0,0.0328736607298928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225319630466334,0,0.164046383519441,0,0.106147854583518,0.0745830149389952,0,0.0793999062658009,0,0,0,0,-0.0426010770710686,0.0885458917863433,-0.0888185089907371,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.0473374559375553,0,0,0,0.164775873551794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196775619132417,0,0,0.129958884293002,0,0,0,0,0,0,0.185729156690812,0.012127292384609,0,0.0763461581296314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136214058242426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117376197246399,0,0,0,0,0.0992443456367974,0,0.105242542223876,0,0,0,0,0,0,0.0856534180970005,0,0,-0.0028868199886129,-0.00370883016606286,0,0,0,0,0,0
X002304.SZ,0.336135133402441,0,0,-0.00673785938107328,0.233031038393054,0,0,-0.0828683615295069,0,0,0,0,0,-0.0212178604783824,0.00489088541515668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703147199187375,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105469436631217,0,0,0,0,0.208694061652153,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0870473475921095,0,0.0306555725608614,0,0,0,8.67361737988404e-19,0,0.0922100131931282,0,0,0.063361103512911,0,0,0,0,0,0,0,0.0285427392405704,0.0194377713255726,0,0,0,0,0.0614201138462963,0,0,0.0107478513556256,0,0,0,0.104969128832873,0,0,0,0,0,0,-0.0261081823979924,-0.016767732583052,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568774848292161,0.0327144041985047,0,0,0,0,0,0,0,0,0,0,0.0124378728815602,0,0,0,0,0,0,0,0,0,0,0,0.0587510406921228,0.0560963617449543,0.0639268940780743,0.221594099422076,3.46944695195361e-18,0,0,0,0,0,0,0.0311142709097851,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0278197809285794,0,0,0,0,0,0,0.0502136357342892,0.0381684695206169,0,0,0.0105339791744003,0,0,0.0144560345558172,0,0,0.00101418526057452,0.123101132227047,0,0,0,0,0,-3.46944695195361e-18,0,0,0.132806256344736,0,0,0,0,0,0,0,0,-0.0514694478619107,0,0.10203154811465,0,0.124626536942126,0,0,0,0,0,0,-0.04949068594648,0,0,0,0,0,0,0
X600690.SH,0,0,0.027768476070931,0,0.0554110884380511,0,0,0,0,0.0459240882512999,0,0.0259827903151617,0,0,0,0,0,0.0379070988985276,0,0,0,0,0,0,0,0.349579535461866,0,0,0,0,0,0,0,0,0,0.104794108865201,0.028425441024002,0,0,0,0.0652954116695217,0,0,0,0,0,0,0,0,0,0.0101697370588619,0.0711552863158128,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0106415117855989,0,0,0,0,0.121023933708793,0,0,0,0,0,0,0,0,0,0.296158629041186,0,0.0886011979076294,0,0,0.0499088411021318,0,0,0,0,0,0.130775527406212,0.0696252923598304,-0.0420780824883852,-0.029289903671855,0,0,0,0,0,0,0,-0.0381951043717695,0,0,-0.0368401562441234,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.203588134638897,0,0,0.00687193901202508,0,0,0,0.0195461598866236,0,0,0,0,0,0,0.00629003763789386,0,0,0,0,0.0365376292705631,0,0,0,0.109993029279676,0,0,0,0,0,0,0,0,0,0.0326535189061155,0,0,0,0,0,0,0.0491436860095231,0,0,-0.0168628657493422,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.122809009372055,0,0,0,0,0.113294312296231,0,0,0,0,0,0,0,0,0,0,0.070610976281246,0,0,0,0,0,0,0,0.0696698972078763,0.0370934216945231,0,0.0185270244078387,-0.0532159645341619,0,0,0,0,0,0,0,0,0,0,-0.0252728819438547,0.0652494400171234,0,0,0,0,0,0
X000568.SZ,0,0,0,0.114669807552365,0.443334302263782,0.114001197834036,0,0,0,0,0,-0.0177921558817535,0,0,0,0,0,0.0688041180575713,0,0.0433507036784974,0,0.0293995545731511,0.0569532004996558,0,0,0,0,0,0,0,0,0.0886606067553166,0,0,0,0.0202808663364016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00955061583642464,-0.011417244158602,0,0,0,0,0,0
