,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000063.SZ,X000661.SZ,X000568.SZ,X000725.SZ,X600031.SH,X003816.SZ,X600809.SH,X600703.SH,X000338.SZ,X600690.SH,X002241.SZ,X002371.SZ,X002007.SZ,X000596.SZ,X300014.SZ,X300142.SZ,X000100.SZ,X300124.SZ,X600584.SH,X300003.SZ,X002049.SZ,X600183.SH,X600741.SH,X002129.SZ,X000800.SZ,X002236.SZ,X000977.SZ,X000625.SZ,X002456.SZ,X000157.SZ,X002414.SZ,X601877.SH,X002185.SZ,X300136.SZ,X000066.SZ,X002179.SZ,X002463.SZ,X002180.SZ,X600118.SH,X002008.SZ,X600522.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-8.67361737988404e-19,0.224415275808022,0,0,0,0,0.106486025788583,0,0,0.0987156709331374,0,0,0,0,0,0,0,0,0,0,0.111383325867457,0,0,-4.33680868994202e-19,0,0,0,0.0247274595865239,0,0,0,0,0.0196105227733738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00862334714732436,0.00983104222194092,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0591251148481114,0,0,0.228148067817958,0,0,0,0.201491879432763,0,0,0,0.0824637519297305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00565062330325244,0,0,0,0,0,0,0,-0.01938862195935,0,0,0,0,0,-0.00141073965986407,0,0,0,0,0,0
X600276.SH,0,0.0696989552021828,0,0,0,0,0,0,0,0.229457001287826,0,0,0,0,0.0499513041023309,0,0,0,0,0.0695419828962245,0,0,0,0,0,0.0643255819694702,0,0.23487483271362,0,0.0233878559485095,0,-0.0173644735188126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00235883657269909,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30592113481289,0,0,0,0,0,0.0220599261806062,0,0,0,0.0341829396504266,0,0,0,0,0,0,0,0.0204769650307283,0,0,0,0.103903085342665,0.0188584528423071,0,0,0,0,0,0,0,0,0,-0.00679789301807276,-0.0200030700108722,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.112838469248756,0,0,0,0,0.0463886780942308,0,0.18523097171439,0,0,0.000802842662633819,0.00545070305766778,0.262401018613195,0,-0.0173568808501058,0,0,0,0,0,0,0,0,0,0,0,0,0.0105353843627469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333603901877129,0,0,0,0.00915941198185886,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.163020646454454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12431139950394,0,0.0731673866520504,0,0,0.150491352671404,0.037407218025932,0,0,0,0,0,0,0,0,0,0,0.0804440946213158,0,0,0,0,0,0.0068701692117955,-0.0134321414963303,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.127576542104974,0,0,0,0,0,0,0.0574410378394116,0,0,0,0,0,0,0,0.0368361220179926,0,0,0,0,0,0.084467141006843,0,0.213788440169157,0,0,0,0,0,0,0.09305079464231,0,0,0,0,0,0,-0.0135856946622803,-0.0372962607774835,-0.00899975877819937,0,0,0,0,0,0,0
X002304.SZ,0,0.346274453327517,0.0186662329092952,0,0,0,0,0,0,0,0.128854982500449,0,0,0,0,0,0.209023438751701,0,0,0.0193996877832562,0,0,0,0,0,0,0,0,0,0,0.0622685978520357,-0.0344876601084754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0832718275450873,0,0,0,-0.00622290550752043,0.00937059391070316,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0367078057713819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909928227795022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192059479926235,0,0,0.205771665044018,0,0.159757870601983,0.178998542973418,0,0,0.00748304068052922,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.201563424459588,0,0,0,0,0,0,0,-0.018695732501295,0,0,0,0,0,0,0,0,0.144316995622742,0,0,0.0378282775716727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574702813353019,0,0,0,0,0,0,0,0.0192314162046359,-0.000380406055297372,0,0,0,0,0,0,0
X000568.SZ,0,0.685326632887037,0,0,0,0,0,0,0,0,0,0,0,0,0.171050979073796,0,0,0,0,0,-0.0232611368483583,0,0,0,0,0,0,0,0.0882420177344259,0,0,-0.0700507718475983,0,0,0,0.019253462404297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125910557986878,-0.0174300804113319,0,0,0,0,0,0
