,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X600741.SH,X002241.SZ,X600089.SH,X600703.SH,X000100.SZ,X600066.SH,X600271.SH,X000550.SZ,X600118.SH,X601877.SH,X000581.SZ,X000623.SZ,X002236.SZ,X000800.SZ,X300124.SZ,X000568.SZ,X002475.SZ,X600177.SH,X600582.SH,X002294.SZ,X002129.SZ,X000869.SZ,X000559.SZ,X000400.SZ,X600839.SH,X002456.SZ,X000050.SZ,X002465.SZ,X002292.SZ,X002007.SZ,X600312.SH,X600252.SH,X000977.SZ,X600809.SH,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.156177225107677,0,0,0.053795202127269,0,0,0,0,0,0,0.552417979906625,0,0,0,0,0.11112164201077,-0.0351908125492519,0.0730812864671049,0,0,0,0,0,0,0,0,0,0,0,0,-0.0986225463410446,0,0,0,0.0297579441837445,0,0,0,0,0,0.175400297672394,0,0,0,0,0,0,0.000864803199104465,-0.202202491487359,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.18732821401319,0,0,0,0.189874495581513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601707977601216,0,0,0,0,0,0,0,0,-0.0355472884387427,0,0,0,0,0,-0.0655840849050264,0,0,0,0,0,0,-0.00328982472365354,-0.0132902488587501,0,0,0,0,0
X000651.SZ,0.0884508942513131,0,0,0.237151204159554,0,0,0,0,0,0,0,0,0.0277911162110895,0,0,0.300532375899242,0,0,0,0,0,0.117699939268491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770152607808119,0,0,0,0.015518742704475,0,0,0,0,0,0,0,0.0623754530693955,0,0,0,-0.00370228975953968,-0.00952210668884556,0,0,0,0,0,0
X000725.SZ,0.0403914054883214,0,0.252825168120782,0,0,0,0,0,0,0,0,0,0,0.168802684750152,0,0,0,0,0,0,0,0,0,0.12745104342183,0,0,0.0500077292944176,0,0,0,0.0897293341874071,0,0.00914638777559948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0707982183889565,0,0,0,0,0,0,0,0,0,0,0,0,0.193177453653654,0,0.124069649946082,0,0,0,-0.0126397150799477,0.244179301315242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703100471431011,0,0,0,0,0,0,0,0,0,-0.0211565379654151,-0.00771883625348321,0,0,0,0,0,0
X000625.SZ,0.390649974159752,0,0,0,0.091224962938827,0,0,0.0341604618622078,0,0,0,0,0,0,0,0.0525949720813972,0,0,0,0,0,0,0.00976734220352247,0,0,0,0.105685276100432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544687556385168,0,0,0,0,0,0,-0.0374001579283808,-0.00847195948830446,0,0,0,0,0,0
X000858.SZ,0,0.165217020451349,0.14786361992481,0,0,0,0,0.0229183661209809,0,0,0,0,0.000603976926790385,0,0,0.0100139262897712,0,0.137941482413644,0,0.0946902644446303,0,-0.0753008086491395,0,0,0,0,0,0,0,0,0.0851166541983725,0,0,0,0,0,0.0591869443715555,0,0,0,0,0,0,0,0,0,0,0,0.109784810310961,0,0,0,-0.00408565027224321,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.225620878942185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122964231941282,0,-1.73472347597681e-18,0,0,0,-0.062197994777129,0,0,0,0,0,0,0,0,0,0.0345329181596627,0,0,0.0438472203614222,0,0,0,0,0,0,0,0,0.376935244643489,0,0,0.0145253581446624,0.010882538802121,0,0,0,0,0,0
X600031.SH,0.0414067935079035,0,0,0,0,0,0,0,0,0,0,0,0,0.877407943681905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579892092652506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0.0183521742594942,0,0,0,-0.0193057506020918,0,0,0,0,0,0,0,0,0.117228149393097,0,0.054864634291474,0,0,0,0,0,0,0,0.0523973726738091,0,0,0.00393262040308786,0,0,0,0,0,0.118192655158873,0,0,0,0,0.0330773519059651,0,0.028835150185039,0.0274038930065654,0,0,0,0.065693634003062,0,0,0,0,0,0,0,-0.00481000298745378,0,0,0,0,0,0
