,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600741.SH,X000568.SZ,X600066.SH,X002475.SZ,X000100.SZ,X002241.SZ,X000338.SZ,X002236.SZ,X600118.SH,X600271.SH,X601877.SH,X600372.SH,X600177.SH,X002456.SZ,X002085.SZ,X000157.SZ,X000066.SZ,X300124.SZ,X002007.SZ,X600089.SH,X002294.SZ,X300003.SZ,X600522.SH,X600699.SH,X600867.SH,X002180.SZ,X000559.SZ,X002508.SZ,X600498.SH,X002292.SZ,X002074.SZ,X002426.SZ,X000623.SZ,X000550.SZ,X300136.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0162216829289415,0.105975391687103,0.353481736084326,0.0221475324790268,0,0,0,0,0,0,-0.0490077561160851,0,0.0300816339180271,0,0,0,0,0,0.140808623222302,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00445816954092125,0.00440119279073612,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530419698454191,0,0,0,0,0,0,0,0,0,0,0,0,0.0401410355312263,-0.0783558598990511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133814605379233,-0.162181490686404,0,-0.0107462536534143,-0.0343538971358763,0.0310027552396367,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0121638740930678,0.0869875939118245,0,0,0,0,0,0.068128653201508,0,0,0,0.0338183733978476,0.066178955949566,0.0559419592572009,0,0,-0.0103008852076689,0,0,0,0,0.170554179851418,0,0.05915655839779,0,0,0,0,0,0,0,0.203614182679499,-0.0740850147805613,-0.0233291383894991,0,0,0,0,0,-0.027431561852977,0.017627441000735,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.335763840894486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786028952258582,0.0512799851571613,0,0.141594563877404,0,0,0,0.34189439666374,0,0,0,-0.0729426664851249,0.00597533052188379,0.0325578486520954,0,0,0,0,0,0
X000858.SZ,0.0597296428677132,0,0,0,0,0,0,0,0.165386647614804,0,0,0.0573731624033517,0.0367675461989685,0,0.317974861493376,0,0,0,0,0,0,0,0,0.12934349342779,0,0,0,0,0,0.0697781983152665,0,0,0,0,0,0.0060084881474843,0,0,0,0,0,0,0,0,0,0,-0.00258942218979563,0.0210474095060003,0,0,0,0.00853741512576732,0,0,0,0,0,0
X000725.SZ,0,0,0,0.00478307356149092,0,0,0,0,0,0.220357527692354,0,0,0,0,0,0,0,0,0.159829990593569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712866010186326,0,0,0,0,0,0,0,0,0.0422477995090704,0,0,0.0529479218564395,0,0.0163790863052765,-0.0239645083977219,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.10916468765032,0,0,0,0,0,0,0.167555389645879,-0.0346411713732337,0,0,0,0,0,-0.0352050862789388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00817751851891314,0,0,0,0,-0.0125517418592146,0,0.0136918381929046,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0705292177625483,0,0,0,0.336254930252046,0.120613999814933,0,0,0,0,0,0,0,0,0,0,0,0.02774345121218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108142068264165,0,0,0,0.0305783447987641,0,0,0,0.00641800243869615,0,0,0,0,0,0,0
X000625.SZ,0.0678336971080284,0.237482797034729,0,0.124771734368603,0.0965057387594484,0.016009084924718,0,0,0,0,0,0,0.126169831101588,0,0,0,0,0,0,0,0,0,0,0.0765010053329088,0,0,0,0.012043849690794,0,0.0154494540961088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0113394346111588,0,0,0,0,0,0
X000063.SZ,0,0,0,0.143061667028038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280292189494258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963724986093535,-0.00400479093333322,-0.0826046573048244,0,0,0.0156910358877324,-0.0107167368740777,0,0,0,0,0,0
X600690.SH,0,0,0,0.20165863105543,0,-8.67361737988404e-19,0,0,0,0,0,0.0113352842151697,0,0,0,0.0563837414902522,0,0,0,0,0,0,0,0.0432036446646822,0.0717345171508414,0,-0.0444175199326272,0,0,-0.0390402454917677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269359138453354,-1.0842021724855e-19,0,0,-0.00507406509209299,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.166523567855485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103039548834857,0,0,0,0.444459123487268,0,0,0,-0.104442682494746,0.090131075035295,0,0,0,0,0,0,0,0,0.019737902952266,0,0,0.343119029948973,0.024073093131624,-0.01669907085168,0,0,0,0,0,0
