,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X000338.SZ,X002241.SZ,X600031.SH,X000625.SZ,X002456.SZ,X600487.SH,X002008.SZ,X601877.SH,X300136.SZ,X600066.SH,X000100.SZ,X600522.SH,X300124.SZ,X600809.SH,X002508.SZ,X600271.SH,X300003.SZ,X600867.SH,X600089.SH,X002085.SZ,X002294.SZ,X000981.SZ,X600498.SH,X600699.SH,X000157.SZ,X600177.SH,X300142.SZ,X000596.SZ,X600118.SH,X000050.SZ,X600566.SH,X600584.SH,X002180.SZ,X002179.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.205541763239228,0,0,0.138236958533689,0,0,0.078209998380789,0,0,0,0,0,0,0,0,0,0,0,0.140698139542093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093012961246451,0.0138256828115466,0,0,0,0,0,0
X600104.SH,0,0,0,0.108367113823409,0,0.051900765535815,0,0,0,0,0,0,0.414862585873399,0.0866529126831705,0,0,0.0461246834030519,0,0,0,0,0,0,0,0,0.0147078262835169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492453477915877,0,0,0,0,-0.0100492103785362,0.0553302021276226,0,0,0,0,0.0193434625635342,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0791969419461312,0.110656727867558,0,0,0,0,0.183524071502542,0,0,0,0,0,0,0,0,0,0.0264110108760846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.213120925836842,0,0,0.152485930604012,0,0,0,0,0,0,0,0,0,0.0929177086827798,0,0,0.0745300258679582,0,0,0.0570432851304639,0,0.0218232921111838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00108025729263901,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0218830363336081,0,0,0,0.124529709877681,0,0,0,0.329443807233641,0,0,0,0,0,0,0,0,0,0,0.00216210747489559,0,0,0,0,0,0.275263276792157,0,0,0,0,0,0,0,0,0,0.0233219884406681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.13748448729676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218394183425023,0,0.0622589953403323,0,0,0,0,0,0,0,0,0,0,0,0.098059480005434,0,0,0,0,0,0,0.161762363125942,0,0,0,0,0,0,0,0.0372371638722861,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.272285141952135,0,0,0,0,0.0698631505625135,0,0,0,0,0,0,0,0,-0.115054926968008,0,0.0883006404269673,0,0,0,0,0,0,0,0,0,0,0.0327802083875271,0,0,0.102344315920344,0,0.0791814169353285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130340799518558,0,0,0,0,0,0
X002304.SZ,0.148344734104013,0,0,0,0.227105945180535,0,0,0,0,0,0.107877734779785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558314067196122,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.257913223656365,0,-0.10261004055812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135098674079646,0.110175118738406,0,0,0,0,0,0,0,0.187839213790832,0,0,0,0,1.73472347597681e-18,0.0163705040565287,0,0,0,0,0,0
X600690.SH,0,0,0.0924311481703583,0,0,0,0,0.0834221731758986,0,0,0.0361257217622191,0,0,0,0.10151975005082,0,0,0,0,0,0,0.125004289450317,0,0,0,0.107681554145061,0.247046273912205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170163454000137,0,0,0,0,0.0389752039867091,-0.0188695611341628,0,0,0,0,0,0
