,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000625.SZ,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X600177.SH,X300003.SZ,X300136.SZ,X600522.SH,X600271.SH,X000157.SZ,X002008.SZ,X002007.SZ,X002085.SZ,X002294.SZ,X600118.SH,X600089.SH,X600487.SH,X600867.SH,X600566.SH,X600699.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X000623.SZ,X002180.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0623048794533009,0,0,0,0.053444198300032,0,0,0.0389307740927639,0,0.0428760091369244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433042904325777,0,0.0271312247764448,0,0,0.149167788395739,0.0729304047386392,0,0,0,0.275536437468536,0,0,0,0,0,-0.153691674962274,0,0.0120003571637637,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.177600900158242,0,0,0,0.0376540415724502,0.211334701266213,0,0,0.166439932424087,0,0.220325572990806,0,0,0,0,0,0,-0.0559749831196808,0,0,0,0,0,0,0,0,0,0,0,0,-0.0574341709122966,0,0,0,0,0,0,0,0,0,0,-0.059886702779858,0,0,0,0,0,-0.0316345981603381,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.120136842192184,0,0,0,0,0,0.315710020268355,0,0.128651424082781,0.168317415590058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389097021770648,-0.279340186512098,0,0,0,0,0,0,0,0,0.00155275620925969,0.026039147797485,0,0,0,0,0,0
X000651.SZ,0.0362509951521425,0,0,0,0,0,0.0328548039176612,0,0.112006227650558,0.159458865433458,0.126928187819096,0,-1.73472347597681e-18,0,0,-1.73472347597681e-18,0,0,0,0,-0.0499584914728133,0,0.161052345324978,0,0,0,0,0.115254176797377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110738273606822,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0308548810164366,0,0,0,0,0,0.596816166866997,0,0,0.0819844558053542,0,0,0,0,0,0,0,0.049085791756203,0,0,0,0,0,0,0,0,0,0,0,0,0.0122102616627223,0,0,0,0,0,0,0,0,0,0,0,0,-0.00312010798366003,-0.00377739926146352,0,0,0,0,0,0
X600276.SH,0,0,0.134406834459549,0.0151458993102584,0,0,0,0.0807063425337909,0.0385683957186126,0,0,0,0,0,0,0,-0.153416988511937,0,-0.0625578455902545,0,0,0,0,0,0,0,0,0,0.00969045150691835,0,0,0,0,0,0,0,0,0,0,0,0,0.010440470067184,-0.0849985199965553,-0.134695030737509,0,0,0,0,0,0.0139420160197464,-0.00714287441588127,0,0,0,0,0,0
X000725.SZ,0,0,0.183273537849217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113794020719919,0,0,0,0,0,0,0,0,0,0,0.216771378565733,0,0,0,0,0,0,0.403706685413155,0,0,0,0,0,0.0366853301937647,0,0,0,0,0,0,0,0.0282079636702668,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.304441830062531,0,0,0,0,0,0,0,0,0,0,0,0.0802414611334692,0,0,0,0,0,0,0.0825036348489158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111275146141862,0,0,0,0.109455327834573,0,0,-0.0412227441513148,0,0,0,0,0.00846625555653194,0,0,0,0,0,0,0
X600690.SH,0,0.448092671387949,0,0.0852686307896894,0,0,0,0.0665176962460338,0,0,0,0,0,0.0618439206228715,0,0.028541228981553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681931188134897,0,0,0.0592946557799688,0,0,-0.0096489276081159,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0571069491808496,-0.0371832751102838,0,0,0.198385133331742,0,-0.0520559433359839,0.024777949352108,0,0,0,0,0,0,0,0,0,0,0.162490528033289,0,0,0,0,0,0,0,0,-0.0297788272369285,-0.256447523544595,0,0,0.0798429377849491,0,0,0,0,0.0879813292675003,0,0.125469762021946,0,0,0,0,0.0033251552514238,-0.0163478089516445,0,0,0,0,0,0
X600703.SH,0,0,0.0947299596797209,0,0,0,0.0536997669031714,0,0,0.0686716289663524,0,0,0,0,0,0,0,0,0,0,0.105105796260167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179593306991019,0,0,0,0,-0.0336290156684491,0,0.0140446472490739,0,0,0,0,0.0118291653477885,0,0,0,0,0,0,0
