,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X000063.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X600031.SH,X002371.SZ,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600584.SH,X002241.SZ,X000157.SZ,X601877.SH,X000661.SZ,X600741.SH,X600522.SH,X000733.SZ,X002074.SZ,X002180.SZ,X002463.SZ,X000988.SZ,X600460.SH,X600702.SH,X000800.SZ,X300142.SZ,X000066.SZ,X002028.SZ,X300003.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.215173997393298,0.15149521120119,0,0.0663496181705487,0.039840882828664,0,0,0.0673862450348585,-0.037113844428674,0,0,0,0,0,0,0.040426638990902,0,0,0,0,0,0,-0.0237585732816655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136711031558176,-8.67361737988404e-19,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.469462867340516,0,0,0.0229277231363944,0,0,0.0275041533403322,0,0.065063255718854,0,0,0,0,0.0210873929005682,0,0,0.0589509983469718,0,0,0,0,0,0,0,0,0,0,-0.00836915480671766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119224900122416,0,0,0,0,0,0,0.0605754005308372,0,0,0,0,0,0,0,0
X000568.SZ,0.037778589726409,0.423133817107516,0,0,-0.0212133207595287,0,0,0.0613532426090145,0,0,0.0942620747655122,0,0,0,0,0,0.105879332969912,0,0.0862426226306033,0,0,0,0,-0.0775279448011391,0,0,0,0,0.0073467963562231,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152252186272079,0,0.284931094066568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0356906892540371,0,0,0,0,0,0,0,0,0,-0.150420412621828,0,0,0,0.271716785913022,0,0,0.178844816711612,0,0,0,0,0.199899489674715,0,0.025751356848069,0,0,0,0,0,0,0,0,0.091558287584712,-0.040985809144298,-0.038664955714563,0,0,0,0,0.0394855620750288,0,0,0,0,0.0186026975381229,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.00431995006767523,0,0.0184988995751569,0,0,0,0.0269721694468519,0,0,0,0.0578072778803094,0,0,0,0,0,-0.169677585403731,0,0,0.0849189816744775,0,0,0,0,0,0,0,0,0,0.174467574594727,0.0219583092180644,0,0,-0.189648831642773,0.0767912786731468,0,0,0,0,0,0.0450762192425817,0,0,0,0.00383038769626124,-0.0185209030172387,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.0733895387029589,0,0.0311407526424971,0,0,0,0,0,0.0521369509912703,0,0,0,0.0765904074473528,0,0,0,0,0,0,0,-0.021335134935199,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.044811909337452,0.0876977520670095,0,0,0.0211102613189813,0,0,0,0,0,-0.27350390714321,0,-4.33680868994202e-19,0.0545429480968437,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187728032831944,0,0,0,0,0.0554351050996569,0,0.208791298926858,0.355840398257851,0,0,0,0,0,0,0,0,0,0.0251351452778373,0,0.0282972796757149,0,0,0,0,0,0,0,-0.0187501650396319,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0235443573213903,0,0,0,0.0940279349649996,0,0,0,0,0,0,0.0868850156644897,0,0,0,0,0,0,0,0,0,0,0,0.0920753071237784,-4.33680868994202e-19,-0.00374277146161729,0,0,0,0,0.0177671822013554,0,0,0,0,0,0,0,0,0,0,0,0,0.0451437011350427,0,0,0,0.0209854264460407,0,0,0,0,0,0,0
X000651.SZ,0,0.205151353382335,0,0,0,0,0,0.0349853881858899,0,0.0842421891564103,0,0,0,0,0,0,0,0,0,0,0,-0.135971276802251,0,3.46944695195361e-18,0,0,0,0,-0.0136688268678245,-0.00759186067474962,0,-0.0331524972930522,0,0,0,0,0,0,0,0,0,0.00240253760011252,0,0.092462467373331,0,0,0.0331122422039424,0.167464914238471,0,0,0,0.00465334040110753,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.203177061761231,0,0,0,0,0,0,0,0.0152424374710367,0,0,0,0,0,0,0,0,0,0,0,0.135212354708792,0.105153833231827,0,0,0,0,0,0,0.221183319535693,0,0,0,0,0.0996647018673672,0,0.00368515788245492,-0.206694259719655,0,0.0878455477819742,0,0,0,0,0.0143381840022053,0,0,0,0,0,0,0
X002304.SZ,0,0.111799926855946,0.391219813391812,0,0,0.0351043381882926,0,0,0,0,0,0,0,0,0,0,-0.00774526482270403,0,0,0,0.00861417158284312,-0.0978500047070875,0,0,0,0,0,0,0,-0.0120171229402952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115997596794932,0,0,0,0,0,0,0.0777950880495212,0.0148070673448011,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.171483198554192,0,0,0,0,0,0,0,0,-0.00815224577495302,0,0,0,0.114136213654395,0,0,0,-0.117516143197974,0,-0.0371872588548793,0,0,0,0,0.0171995994473832,-0.0440354199812966,0,0.200908475292395,0,-0.0933654970712383,0,0,-0.0150478464849285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037444470977122,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.020528273590819,0,0,0,0,0,0,0.0755641731294891,0,0.0954566742927531,0,0,0,0,0,0,0,0.0648531858591062,8.67361737988404e-19,0.034553825890699,-4.33680868994202e-19,-0.0183044288521022,0,0,0,0,0,0,0,0,0,0,0,-0.0116281680114462,0,0,0,0,0.0227489016277612,0,0,0,0,0.00387280679313685,0,0,0,0,0,0,0
