,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600183.SH,X002236.SZ,X002007.SZ,X601877.SH,X002241.SZ,X300003.SZ,X000100.SZ,X600703.SH,X000157.SZ,X300142.SZ,X002179.SZ,X600271.SH,X000625.SZ,X300124.SZ,X600867.SH,X002008.SZ,X300014.SZ,X600498.SH,X002463.SZ,X002129.SZ,X000977.SZ,X002506.SZ,X300136.SZ,X300146.SZ,X600177.SH,X002049.SZ,X600066.SH,X000050.SZ,X000066.SZ,X002371.SZ,X600487.SH,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.245850165983615,0,0,0.00175041013663265,0,0,0,0,0.11496968438362,0,0,0,0,0,0.026337064084098,0,0,0,0.079998446023213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353191735139509,0,0,0,-0.0100262559854954,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.104952322443544,0.410711238370636,0.0139935555870788,0,0,0,0,0.0451691636841754,0,0,0,0.0869519336782787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014105841001107,0,0,0,0,0.00818562336509144,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0213311273219849,0,0,0,0,0,0,0,0.229526709365441,0.0344268304012316,0,0,0,0,0,0,0,0,0.206552334007782,0,0,0,0,0.147944489310371,0,0,0,0,0,0,0,0,0,0,0.113559972333275,0,0,0,0,0,0,0,-0.0168659464555764,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0354153027607125,0,0.125788722798432,0,0.019401992656603,0,0,0,0.057885201879991,0.104640092960446,0,0,0,0,0,0,0,0,0,0,0,0.0875780325972817,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.122055356606552,0,2.16840434497101e-19,0,0,0,0,0.00185626804600615,-0.0133961750118549,0,0,0,0,0,0
X002415.SZ,0,0.119439355309889,0,0,0,0,0,0,0.177605230839514,0,0,0,0,0,0,0,0,0.0583209314836797,0,0.213965704711082,0,0,0.198075239380965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482616934541279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166710133379653,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260219815304081,0,0,0.0292805156373927,-0.00974296516148223,0,0,0,-0.0356315818582552,0,0,0,0,0,0,0,0.0323811408932213,0,-0.0187351222961144,0,0.0233194096824142,0,0,-0.00126446515979143,0,0,0,0.0913462575355635,0,0,0,0,0,0,0,0,0,-0.0172056596068089,0,0,0,0,0,0,0
X002304.SZ,0,0.0360118931516085,0,0,0,0,0,0,0,0.191639467835114,0,0,0,0,0.141247969875233,0.21747253914981,0.0492912358874008,0,0,0,0,0,0.00548232172567998,0,0,0,0,0,0,0,0,0,0,0.0862099121016224,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434644286528864,0,0,0,0,-0.0160229523559588,0.0650816625968982,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0740733912312657,0.025786478024578,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0584936873948435,0,0,0,0,0.155283684496781,0.0318577192728243,0,0,0,0,0,0,-0.0367437886270924,0,0,0,0,0,0,0,0,0,0,0,0,0.355855080374496,0,0,0,0,0,-0.00383739647456802,0.0192471928511197,0,0,0,0,0,0
X002475.SZ,0,0.287957434531343,0,0,0.170084973872079,0,0,0,0,0,0,0,0,0,0.100341506173085,0,0,0,0,0.171342070334956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506012344062301,0,0,0,0,0,0,0,0,0,0.171266260670692,0,0,0,0.0383261486849471,0,0,0,0.0205289999369489,0,0,0,0,0,0,0
X000568.SZ,0,0.589775409645468,0,0,0,0,0,0,0,0,0.0289458914322413,0.142645736040829,0,0,0,0,0.153115191905648,0.156666201002064,0,0,0,0,0,0,0,-0.105932041302989,0,0,0,0,0,0,0,0,0.0476301695016151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114845513997948,0,0,0,0,0,0
