,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600066.SH,X600703.SH,X000568.SZ,X002236.SZ,X600271.SH,X000100.SZ,X600031.SH,X600118.SH,X002241.SZ,X600177.SH,X002292.SZ,X002007.SZ,X600372.SH,X000338.SZ,X002475.SZ,X000559.SZ,X002506.SZ,X002456.SZ,X300003.SZ,X002074.SZ,X000157.SZ,X002180.SZ,X600867.SH,X600522.SH,X002426.SZ,X002294.SZ,X002508.SZ,X600089.SH,X000981.SZ,X300124.SZ,X000869.SZ,X002085.SZ,X601877.SH,X000050.SZ,X002465.SZ,X600498.SH,X002179.SZ,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.266095261739851,0,0,0.145027678481226,0,0,0,0.175606628647431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625424030509741,0,0,0,0,0,-0.0456934526268824,0,0.0547046920025009,0,0.0333993896667765,0,0,0,0,0,0,0,0.0685189160992911,0,0,0,0,0,0,0,0,0,0.00708150288253542,0,0,0,0,0,0,0
X600104.SH,0.101691391713769,0,0.0858253810205923,0,0,0,0,0.216528989051814,0.0787388925740871,0,0.0933648188844423,0,0,0,0,0,0,0,0,0,0,-0.0438620808929603,-0.0129283035779072,0,0,0,0,-0.0664186863795226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518653458540887,0,0,0,0.0285740707645731,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0310056478359898,0,0,0,0,0.0118867226936236,0,0,0,0,0.00825707568392209,0.056605035700633,0,0,0,0,0,0,0.0670068904372138,0.0548178497929907,0,0,0.0606528672224955,0,0,0,0,0.108849756004672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264800023819233,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.264622868790493,0,0,0,0.333112985020319,0,0,0,0,0.162784765368715,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350448996395699,0,0.0107322765783295,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.749185965960551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0104397639128734,0,0,0,0,0,0,0,0,0,0,0,0,0.0470934560716627,0.0467732850390967,0,0,0,0,0,0,0.0173929735918104,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.16396068813185,0,0,0.0823330637966514,0,0.0523744114886681,0.0243039137027566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00475016218595484,0,0,0,0,0,0,-0.00216260672823081,0,0,0,0,-0.0168090085886618,0,0,0,0,0,0.00863686883713387,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0376504966423922,0,0,0,0.218754320499688,0.123677423523633,0,0,0,0,0,0.0859574419456633,0.0568858654840143,0,0.080181338508172,0,0,0,0,0,0,0,0,0,0,0,0,0.0163287844106046,0,0,0,0,0.0271427811214141,0,0,0,0,0,-0.0374630907030626,0,0,0,0,0,0,0
X000625.SZ,0,0.290332830066848,0,0,0,0,0,0,0.0754847944642766,0,0.167722931997805,0,0,0,0,0.0415493336794491,0,0,0,0,0,0,0,0,0,0,0,0.0712005251139997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183534753008067,0.0772995823794485,0,0,0,0,0,0
X600690.SH,0,0,0.124299979108057,0.0549603228233749,0,0,0,0.156107812289481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802788511110321,0,0,0,0,0,0,0,0,0,0.0240371369895643,0,0,0,0,0.0711169425885829,0,0,0,0,0,0,0.0911080271626171,0,0,0.0136211643489581,0.035456917157553,0,0.00213127081348087,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.112711918052711,0,0,0,0.0447284703232197,0,0,0,0,0,0,0,0,0,0,0,0,0.0802649641681118,0,0,0,0,0.00429730716002124,0,0.115828391520331,0,0,0,0.0764568355328893,0,0.0209124661375602,0,0,0.00849036082205244,0,0.106600351412354,0,0,0,0,0,0,0,0,0.0131598408539703,0,0,0.00325978060952228,0,0,0,0,0,0
