,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X600690.SH,X002304.SZ,X600031.SH,X600104.SH,X002475.SZ,X000725.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X003816.SZ,X000338.SZ,X000063.SZ,X000100.SZ,X000625.SZ,X002241.SZ,X600703.SH,X000596.SZ,X300142.SZ,X000157.SZ,X002129.SZ,X002371.SZ,X600741.SH,X002179.SZ,X002049.SZ,X002007.SZ,X000799.SZ,X002236.SZ,X601877.SH,X600584.SH,X300003.SZ,X600183.SH,X002414.SZ,X300146.SZ,X000800.SZ,X600702.SH,X600779.SH,X601799.SH,X600089.SH,X600460.SH,X002074.SZ,X600707.SH,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0750260740482712,0,0,0,0.100790500359333,0,0,0.0917815509408048,0,0,0,0,0.143125762607137,0,0,0,0,0,0,0,0,0,0,0,0.0182983612247065,0,0,0,-3.46944695195361e-18,0,0,0.225275447397853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101785719518487,0,0,0,0,-0.00427472220833227,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.117593147986645,0.257770574931129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450688306240475,0,0,0,0.136364502393702,0,0,0.195380518145441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104757836756172,-0.0269863178980845,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0395989628247174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247192486146755,0.156882140417357,0.265340791045703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433268076852265,0,0,0,0,-0.0103809624568259,0,0
X600276.SH,0,0.0995856324647977,0,0,0,0.136559561280454,0,0,0.0683979670793488,0,0,0,0,0.119299931999668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177600922674517,0,0,0,0,0,-0.18551175780107,0,0,0,0.00998659798817752,0,0,0,0,0,0,0,0.008358187176185,0,0,0,0,0.0138513750200888,0,0
X600809.SH,0,0,0,0,0,0.0348472490903542,0,0,0,0,0,0,0,0,0.0699918870998819,0,0,0,0,0,0,0,0,0,0,0,0,0.0558114797934119,0,0,0.0931671245953787,0,0.368764698132881,0,0,0,0,0,0,0,0,0,0,0.0588521611574696,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0834309614341073,0,0,0,-0.0557404776538351,0,0
X000568.SZ,0,0.761924174805023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114223747786631,0.00954162974330922,0,0,0,0,0,0,0.208909350088047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0574190347629698,0,0,0,-0.0112527111871188,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0841259401818385,0,0,0,0,0,0,0.0440811704754742,0,0,0,0.0486481216052785,0,0,0.0489379676971958,0,-0.00760937229385297,0,0,0,0.157579781229741,0,0,0,0,0,0,0,0,0,0,0,0,0.0242291557950139,0,0,0,0,0,0.00429787783423188,0,0,0,0,-0.0210229593223231,0,0,0,0.0041608187741914,0,0
X600690.SH,0,0,0.0933340207727861,0,0.0389603940475075,0.072807612670047,0,0,0.0909880076873154,0,0,0,0,0,0,0.020937676795662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00668394967885659,0,0,0,0,0,0,0,0,0,0.0608268803459794,0,0,0,0,0,0,0,0,0,-0.0196772919733514,0,0,0,-4.33680868994202e-19,0,0
X002304.SZ,0,0.150425680631327,0.151685723552056,0.0769163552657542,0.0815715194092065,0.10808243799261,0,0.163587024180154,0,0,0,0.0399323834949728,0,0,0,0,0,0,0,0,0,0,0,0.0819835428654547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0304224366622811,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.0345695667718912,0,0,0,0,0,0,0,0,0,0,0.246827102296447,0,0.136066441684247,0,0,0,0,0.021983443923465,0,0,0,0,0,0,0.0694932980856215,0.268020350676066,0,0,0,0,0,0,0,0,0,0,0,0,0.0695244609771298,0,0,0,1.73472347597681e-18,0,0,0,-0.00980210128992717,0,0,0,0,0.00946893719946549,0,0
