,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X000063.SZ,X600276.SH,X600690.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X000100.SZ,X600703.SH,X600118.SH,X601877.SH,X000623.SZ,X000559.SZ,X000581.SZ,X000568.SZ,X002236.SZ,X000550.SZ,X600066.SH,X600271.SH,X000050.SZ,X002475.SZ,X600177.SH,X002294.SZ,X300124.SZ,X600839.SH,X000869.SZ,X000800.SZ,X002456.SZ,X002129.SZ,X002465.SZ,X000400.SZ,X002007.SZ,X002292.SZ,X300003.SZ,X600435.SH,X600252.SH,X002038.SZ,X300146.SZ,X600809.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.113389801711099,0,0,0.109232206884978,0,0,0,0,0,0,0.332981608366057,0,0,0,0,0,0,0,0,0,0,0,0,0.0554342048274875,0,0,0,0.0559573662726245,0,0,0.0258877397894707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203981647475126,0,0,0,0,-0.00295805487801478,0,0
X600519.SH,0,0,0.0565786863602336,0.0593175192657479,0,0,0.120174788939746,0.278997290470548,0,0,0,0.0498734224572885,0,0,0,0.125149566586728,0,0,0,0.0177424438698904,0.0695513347669341,0,0,0,0,0,0,0,0,0,0,0,0.0418451864919642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00993682567065909,-0.0487407614783922,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352895846309899,0,0,0,0,0,0,0,0,0,0,0.0696211564326072,0,0,0.0737308505005591,0,0,0,0,0,0,0,0.0999583201117296,0,0.0382306101656622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.184728301639373,0.00876163817215218,0.0954416110724556,0,0.0323063234595523,0.0621274939845502,0,0,0,0,0,0.0434489096418824,0,0,0,0,0,0,0,0,0,0.14289157837451,0,-6.93889390390723e-18,0.0157066410979151,0,0,0,0.131157237902851,0.0419865189255021,0,0,0,0,0,0,0,0,0.00763462211826675,0,-0.0111388209316778,0,0,0,0,0,0,0
X002415.SZ,8.67361737988404e-19,0,0,0,0,0.186930405867501,0,0,0,0,0,0,0,0,0,0,0,0.0135945132459103,0,0,0.0479411131632233,0,0,0,0,0,0.290022974852657,0,0,0,0,0,0,0,0,0,0.322781957523746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325630532287043,-0.0109107888453144,0,0,0,0,0,0
X000625.SZ,0.373649278586223,0,0,0.110168284209369,0.00905050562770923,0,0,0,0,0,0,0,0,0,0,0,0,0.0739682903122552,0,0,0,0,0.063829095737968,0,0,0,0.109719169898983,0,0,0,0,0,0,0,0,0,0,0.0541821145537065,0,0,0.0396346932867616,0,0.0546751630261989,0,0,0,0,0,0,0,0,0,-0.0218096552524096,0,0,0,0,0,0
X000858.SZ,0,0.0720647141022008,0,0.0860301002576811,0,0,0,0.0778069898781106,0,0,0,0.0853721590612658,0,0.031742941963005,0,0,0,0,0.0198161626273166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508094302838202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133321987088212,0,0,0.0232160156776429,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.1472554857144,0,0,0,0,0,0,0,0,0,0,0,0.0115427563156211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222176532754367,0,0,0,0.12879364130233,0,0.197974916478268,0,0.00618525673968221,0.0128180459303082,0,0,0,0,0,0
X600031.SH,0.151767639532786,0,0,0,0,0,0,0,0,0,0,0.143708941573096,0,0,0.688016697722088,0,0,0,0.0171813465016379,0,0,0,0,0,0,0,0,0.0410444001559424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106904113965061,-0.0225964148789304,0,0,0,0,0,0
X000063.SZ,0.239986799752482,0,0,0,0,0,0,0,0.0458403441636796,0,0,0,0,0,0,0,0,0,0,0.202561425686876,0.00159827413029111,0,0.0257443240836673,0,0,0,0,0,0,0,0,0,0.054166793430693,0,0,0,0,0,0,0,0,0,0.0455384352955637,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.00466702965053107,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.081443272746051,0,0,0,0,0,0,0,-0.00647404081073992,0,0,0,0,0,0,-0.036698059523917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404233832194434,0,0,0.190462198388408,0,0,0.162715814708427,0,0,0,0,0,0,0,0,0.0147917014223814,0.0366034896126925,0,0,0,-0.158267047177627,0,0
X600690.SH,0,0.200087453968579,0,0,0,0,0,0,0.156731662818045,0,0,0,0,0,0,0.00997268256026951,0,0.125904614109341,0.241685826724476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199360184219257,0,0,0,0,0.015386473912838,0,0,0,0,0,0,0,0,0.205731959419209,0,0,0.0686347674884749,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0.0727603844113933,0,0,0,0,0,0,0,0,0,0.0557259720428663,0,0,0,0,0,0,0.227497360273765,0,0,0,0,0,0,0,0,0,0,0,0.131951593609559,0,-0.140169412953362,0,0,0.280455534428608,0,0,-0.0154825468348874,0,0,0.205649115264814,0,0,0,0,0,-0.0460139234961238,0.0569865769497744,0,0,0,0,0,0
