,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600031.SH,X600809.SH,X000651.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X000725.SZ,X000338.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000100.SZ,X000596.SZ,X000157.SZ,X002241.SZ,X000625.SZ,X002371.SZ,X600741.SH,X002007.SZ,X002129.SZ,X300142.SZ,X002179.SZ,X601877.SH,X002236.SZ,X600584.SH,X002049.SZ,X002414.SZ,X300003.SZ,X600183.SH,X000799.SZ,X601799.SH,X000800.SZ,X002008.SZ,X002074.SZ,X600089.SH,X000977.SZ,X000066.SZ,X600779.SH,X600177.SH,X000050.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0664522678661691,0,0,0.244024794223757,0,0,0,0,0,0,0,0,0,0.0277341307044877,0,0,0,0,0,0.00625634358591239,0,0.0799591647745552,0,0,-0.132786027100015,0,0.0337594634277895,0,0,0,0,0,0,0,0,0,0,0.0206125850703661,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159706057226361,0,0,0,0,0.00192976772370495,0,0
X000858.SZ,0,0,0,0,0.30446804946017,0,0.0893913537439739,0,0,0.0388060895863093,0,0,0,0,0,0,0,0,0,0,0,0,0.00581117041724555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153888372386114,0,0,0,0.02814542839073,0,0,0,0,0,0,0,0,-0.0182486641916792,-0.00103545221317209,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0464400317227898,0,0,0,0,0.0553198809942002,0,0,0,0,0,0,0,0,0,0,0,0,0.0458904493054117,0,0,0,0.526214747144213,0,0,0,0,0,0.0105302489978891,0,0,0,0.0129179543110019,0,0,0,0.0391389904228441,0,0,0,0,-0.0114854759939103,0,0,0,0,-0.0073939622903428,0,0
X600276.SH,0,0,0.1914201275282,0,0,0,0,0,0,0,0,0,0,0,0.0926632015561063,-1.0842021724855e-19,0,0,0,0.0540997972993743,0,0,0.0551236493916349,0,0,-0.0558940047026139,0,0,0,0,0.0308951253490503,0,0,0,0,0,0,0,0,0,0,0.0082151382026814,0,0,0,0,0,0,0,0,0,-0.0167689173852907,0.022909132117234,0,0,0,-0.0252955154251345,0,0
X000568.SZ,0,0.0411889772444147,0,0,0,0,0,0,0,0.0856454349288747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525235233648878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276421743403804,0,0,0,0,0,-2.16840434497101e-19,-0.117866377705123,0.225403347469679,0,0,0,0,0,-0.0305818903512043,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.00263737738747022,0.169298515002386,0,0,0,0,0,0,0,0,0,0.0567881550091888,0,0.0637896994263418,0,0,0,0,0,0,0,0,0,0,0,0.129442300076313,0,0,0,0,0,0,0,0.0485844028432638,0,0,0,0,0,0,0,0,-0.0294420320926052,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.239001421976263,0,0,0,0,0.0130687623379737,0,0,0,0,0,0,0,0,0,-0.0425544140462162,0,0,0,0,-0.0715548225819213,0,0,0,0,0,0,0,-0.110016756134296,0,-0.0134170399500614,0,0,0.104597400796715,0,0,0,0,0,0,0,0.174272081545306,0,0,0,0,-0.0415900970766357,-0.0485113766061167,0,0,0,0.0711483099617972,0,0
X000651.SZ,0,0,0,0,0.0842598079046964,0,0,0,0,0,0.0428436564346395,0,0,0,0,-0.0711498075334914,0,0,0,0,0,0.0180516846588508,0.169619529517717,0,0,0,0,0,0.148315507027241,0.0282273502915057,0,0,0,0,0,0,0,0,0,-0.0463259130609661,0,0,0.00765084573372217,0,0,0,0,0,0,0,0,0,-0.0036377960953577,0,0,0,0,0,0
X002475.SZ,0,0,0.110060572504959,0,0,0,0.0768064384820954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158378201742543,0.223429948509087,0,0,0,0.105328429258358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165239067283447,0,0,0,0,-0.0199043503385468,0,0
X002304.SZ,0,0,0,0,0.094873702930072,0,0,0,0,0,0,0,0,-0.0120494945266841,0,0,0,0,0,0,0,0.0810973762654518,0,0,0,0,0,0.0119016769955359,0,0,0,0,0,0,0,0,0,0,0,0.119333357066294,0,0,0,0,0,0,0,0,0,0,0,-0.0639574399112872,0,0,0,0,0.067257758929543,0,0
