,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X000651.SZ,X600104.SH,X600690.SH,X600031.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000661.SZ,X000338.SZ,X000063.SZ,X002241.SZ,X000625.SZ,X600703.SH,X003816.SZ,X002371.SZ,X000596.SZ,X002129.SZ,X000100.SZ,X300142.SZ,X002049.SZ,X002179.SZ,X600741.SH,X000799.SZ,X000157.SZ,X600460.SH,X601877.SH,X600702.SH,X002007.SZ,X002414.SZ,X600584.SH,X002236.SZ,X601799.SH,X600779.SH,X300146.SZ,X300003.SZ,X600183.SH,X002074.SZ,X000800.SZ,X600089.SH,X000066.SZ,X002508.SZ,X002185.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.0674308918283457,0.0833375798476013,0.0266059773842422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310921311865815,0,0,0,0,0.0757040307653517,0,0,0,0,0.0955745604601106,0,0,0,0.0630264756230281,0,0,0.00537620771647923,0,0,0,0,0.016716868495808,0,0,0,-0.00179026712739086,0,0
X000858.SZ,0,0,0,0,0,0.397909263715418,0,0,0,0,0,0,0,0.0444475134227075,0.017185598855449,0.00470864527098423,0,0,0,0,0,0,0,0,0,0,0,0,0.0156174187867779,0,0.12645619802634,0,0,0,0,0,8.90328168834543e-05,0,0,0,0,0.0534072212409467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0773345352938754,0,0,0,0.0184197640034187,0,0,0,0,0.0920340100993578,0,0,0,0,0,0.0506296679493566,0,0,0,0,0.0572320385495161,0,0.074140085239129,0,0,0,0,0,0,0,0,0,0,0,0.0781814082970705,0,0,0.0173219168118998,0,0,0,-0.0157578333740205,0,0,0,0,0.0129890628963055,0,0
X600276.SH,0,0,0,0,0,0,0,0.0711925763388622,0,0,0,0,0,0,0,0,0,0.0462742363365563,0,0,0,0,0.0479425162038398,0,0,0,0.0240849867309981,0.043526299065771,0,0,0,0,0,0,0.015064041767834,0,0.0846361688114664,0,0,0,0,0.0405367611730211,0,0,0,0,-0.0618508772870866,0,0,0,0,0.138529682242316,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.222876382174226,0,0.0880589817978674,0,0,0,0,0,0,0.251220729698981,0,0,0,-0.0032603021507417,0,0,0,0,0,0,0,0,0,0,-0.199306045602092,0.469996996286416,0,0,0,0.021149657449219,0,0,0,0,0,0.0238332659619302,0,0,0,0,0,-0.00282043463300753,0,0,0,0,0,0.00169349837783926,0,0,0,0.0155025641955115,0,0
X000568.SZ,0,0.18079903430684,0,0,0.0778516551755029,0,0,0.338584850422849,0,-0.0485868810702706,0,0,0,0,0,0,0,0,0,-0.00268037325261634,0,0,0,0.155152268468069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170794818762088,0.00103917940823225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.080837748580885,0,0,0,0.101103018134545,0,0,0,0,0.138955025261997,-0.0176875318626183,0.215122909522764,0,-4.33680868994202e-19,-0.0879658512831281,0.140197160909868,0,0,0,0,0,-0.0482480181877639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224846287810779,0,0
X002304.SZ,0,0,0,0.124688225920539,0.017184050510771,0.361778538219074,0,0,0,0,0,0,0,0,0,0,0,0.114328513227907,0,0,0.292275896702493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271264993866279,0,0.082225050271752,0,0,0,0,0,0,0,0,0,-0.0439244459830394,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.000317451758802885,0,0,0,0,0,0,0,0,0.0163547588956796,0,0,0.0981735475253204,-0.0186539937022642,0,0,-0.0615983811990451,0.0865686866782391,0,0.0888894744838409,0,0,0,0,0.0371589589857934,0,0,0,0,0,0,0,0,0,0,0,0.00425396689530852,-0.00464340397513293,0,0,0,-0.0460563137887467,0.0705892735700717,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.00270411847179886,0,0,0,0,0.0462281871640211,0,0,0,0,0,0,0,0.110060963658222,0,0,0.0193377651805071,-0.0404315767362025,0,0,0.0306309124827406,0,0,0,0,0,0,0,0.0583907266404722,0,0,0,0,0,-0.0252892123799699,0,0,0,0,0.145146828917589,0,0,0,0,0,0,0.0107901769790916,0,0,0,0.00560373296329401,0,0
X600690.SH,0,0,0,0.0549092638867414,0,0,0,0.0763373161954193,0,0,0,0,0.429723719997363,0,0,0,0,0,-0.112998656436607,0,0,0,0,0,0,0,0,0,0,0,0.0180122020572967,0,0,0,0,0,0,0,0,0,0.0163817881733539,0,0.105995570473504,0,0.0966771712477155,0,0,0,0,0,-0.0780611071665698,-0.0641531834430076,0,0,0,0,-2.16840434497101e-19,0,0
X600031.SH,0,0,0,0,0,0,0.0057041298200675,0,0,0,0,0,0,0,0.178578469829619,0,0.0461343057923759,0,0,0,0.0376060567249306,0,0,0,0,0,0,0.0167479231648385,0.0770088849014825,0,0,0.287888185020652,0,0,0.0528216385642445,0,0.100510901511287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101756338320531,0,0,0,0,-0.0587501870184549,0,0
