,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X300124.SZ,X600104.SH,X000625.SZ,X002304.SZ,X002371.SZ,X000725.SZ,X000338.SZ,X000063.SZ,X000596.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X002463.SZ,X002049.SZ,X000977.SZ,X600372.SH,X600741.SH,X002129.SZ,X000661.SZ,X600522.SH,X600584.SH,X002028.SZ,X601877.SH,X601799.SH,X600066.SH,X600183.SH,X000800.SZ,X000921.SZ,X002156.SZ,X002007.SZ,X600418.SH,X002180.SZ,X002074.SZ,X000988.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915515652512983,0,0,0,0.0413330736474858,0.0616638297200257,0.0485890728343544,0,0,0,0,0,0,0,0,0,0,0,0.0390431896778536,0,0,0,0,0,0.0694504130505536,0,0.0196060566530501,0,-0.0124742219819854,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0837273749692038,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0121994734897067,0,0,0.0739790246956127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056682900116095,0,0,0,0,0,0,0,0,0,0,0.00304334148764487,0,0,0,0,0.00834870893735419,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.120461307784821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511570159431054,0,0,0,0,0,0,0.0250219869784115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50038802261393,0,0,0,0,0.00953122148626773,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.170373417295866,0,0.377499066593892,0,0,0,0,0,0,0,0,0.0206470282248728,0,0,0,0,0.0119513024730187,0,0.0490317528191643,0,0,0,0,0,0.063071268984207,0,0,0,-0.0731241812733205,0,0,0,0.0738558934462163,0,0,0,-0.0326194347410002,0,0,0,0,0.0133880322526151,0,0,0,0,0,0,-0.0110369199286068,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16852467225474,0,0,0,0.291298732851934,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116103689402067,0,0.216036801186374,0,0,0,0.0507160514378685,0,0,0,0.0712922407327396,0,0.0722332376083598,0,0,0,0,0,0,0,0,0.00162563353204893,0,0,0,0,0,0
X000725.SZ,0,0,0,0.101322184959858,-0.0374897212207623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429559068708725,0,0,0,0,8.67361737988404e-19,0,0,-0.0113268588952321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500919869824863,0,0,0,0,0.00012142867503727,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0.0118431710444673,0,0.100997572744551,0,0,0.0495728664475947,0,0,0,0,0,0,0,0,0,0,0,0.312479633464707,-0.151488552960382,0,0,0,-0.0227449354220703,0,0,0,0,0,0,0,0.00169617021478912,0,0,0.0427965650037138,0.0322005504993123,0,0,0,0,0.1572587076551,-1.73472347597681e-18,0,0,0,-0.0534510586488826,0.0650811422604838,-0.0401994577816129,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507259296103681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791719814219065,0.235035557369053,0.148028253125864,0,0,0.108712619956934,0,0.139045067248575,0,0,0,0,0,0,0,0.104131774314744,0,0,0,0,0,0.00495330531256372,0,-0.00423391913424349,-0.0252873315516003,0,0,0,0,0,0
X000596.SZ,0,0,0,0.17027760752634,0,0.412122876706554,0,0,0,0,0,0,0.0920710583283374,0,0,0,0,-0.0321673704593673,0,0,0.0262215918497403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664497688114523,0,0.030291479899619,0,0.0275052924569851,0,0,0,0,0,-0.00860200244784865,0,0,0,0,0,0,0
X600031.SH,0,0,0,0.04046994192087,0,0.0321249279325238,0.0261918916488713,0,0,0,0,0,0,0.0738103769337042,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0154498520345886,0,0.00581894608197855,0,0,0,0.0383159180994241,0,0,0,0,0,0,0.0198839800694055,0,0,0.0224765401248641,0,0,0.0565296437041571,0,0,0,0,-0.0449002365990598,0.0567859564931414,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293802843783372,0,0.0104290581658473,0,0,0,0.0542699435209414,0,0,0,0,8.67361737988404e-19,0.0452061720686561,0,0,0,0,0,0,0,0.0435961377653626,0,0,0,0,0.125778092127965,0,0,0,-0.0720157655510545,0,-3.46944695195361e-18,0,0,0.0946634492159179,0,0,0.0299062841061942,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0.057210757986698,0,0,0,0,0,0,0.0166460169444373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438966197660522,0,0,0,0,0,0.251750111664984,0,0,0,0,0,0,0,0,0,0,0,0,0.0256708202683084,0,0.157438008278119,0,0,0,-0.00577303818763828,0,0,0,0,0,0
