,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X002475.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X000596.SZ,X000661.SZ,X600809.SH,X601877.SH,X002236.SZ,X600183.SH,X600703.SH,X000157.SZ,X000100.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X300124.SZ,X600271.SH,X002179.SZ,X000625.SZ,X002241.SZ,X600498.SH,X002463.SZ,X600177.SH,X002506.SZ,X002129.SZ,X600867.SH,X300014.SZ,X002049.SZ,X002008.SZ,X600066.SH,X300146.SZ,X600487.SH,X000050.SZ,X300136.SZ,X600776.SH,X002371.SZ,X000977.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0532933176571284,0.0725936160017134,0,0,0.112134619125202,0,0,0,0.237691635108548,0,0,0,0,0,0,0,0.0202168068167269,0,0,0,0.0162454510192677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102748044551123,0,0,0,0,0,0,0,0.0103543619156382,0.0148594360002513,0,0,0,-0.00952498428770695,0.00838388509241622,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.351629937226197,0.0439323104271375,0,0,0.0475037642665518,0,0.00473793351503445,0.013201534908057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158879858412561,0,0,0,0,0,0,0,0,0,0,0.0582135054646321,0,0,0,-0.00694925513722166,0.00886581045523261,0,0,0,0,0,0
X000651.SZ,0,0.0894001563581562,0,0,0,0,0.129297120962572,0,0,0.101540692112308,0.084962411816871,0,0,0,0.0510830867656542,0,0.163893019728695,0,0,0,-0.0171626211977256,0,0,0,0.111232847418204,0,0.0364026936054667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406959190865122,0,0,0,0,0.030715921877148,-0.00409953610616898,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.228987664505009,0,0,0,0,0,0.195846620241074,0,0,0,0,0,0,0,0,0,0.119698091759076,0,0,0,0,0,0,0,0,0,0,0,0,0.109100964185693,0,0,0.0273450216649022,0,0,0,0,0,0,0,0,0,-0.0257164982436529,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216860406356977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185664821472432,0,0,0,0,0,0,0,0.0829552320008047,0,0,0,0,0,0,0,0.00598852251492132,0,0.0357138625598734,0,0,0,-0.0282528002186533,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0660875922278574,0,0,0,0,0,0,0,0,0.612100799083292,0,-0.0257211784900271,0,0,0,0,0,0,0,0,0,0.263322627936479,0,0,0,0,0.0816308143408037,0.0311904013675171,0,0,0,0,0,0.131214936577377,0,0,0,0,0,0,0,0.00204196376807627,0,0,0,0,0,0,0
X002304.SZ,0,0.0738288287608376,0,0,0,0.00528433970419243,0,0,0,0.100733733659486,0,0,0,0,0.138924946593833,0.125756776212276,0,0.0336580220276895,0,0,0,-0.0301554301039312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112629971259577,0,0.0576124757381573,0,0,0,0,0,0,0,0,0,0,0,0,-0.00356419288913274,0.0414814427864345,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0228811588580905,0,0,0,0,0,0,0,0,0.177437729575061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691023572595458,0,0,0,0,0,0,0,0,0,0,0.397945824903121,-3.46944695195361e-18,0.0415263006742713,0.00161479088871508,0,0,0,0,0.0664575631567664,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0521344476085824,0,0,0,0,0,0,0,0,0,0,0.0732142927256236,0,0,0,0.0591982219454978,0,0,0,0,0,0,0,0.0301760740420181,0,0,0,0,0,0,0.0329453367648676,0,0,0,0,0.33096676165895,0.158695020979832,0,0,0,0,0.015189295769318,0.0151933725158265,0,0,0,0,0,0
X000568.SZ,0,0.52321461571203,0,0,0,0.0850121433224429,0,0,0,0,0,0,0,0,0,0.0495929257330376,0.210850577132709,0,0,0.0136374406482054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125776551429224,0,0,0,0,0,0,0,0,0,0,0,0
