,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X300014.SZ,X000651.SZ,X600031.SH,X000725.SZ,X002241.SZ,X300124.SZ,X002371.SZ,X600703.SH,X000338.SZ,X003816.SZ,X000063.SZ,X000596.SZ,X002129.SZ,X002049.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X002074.SZ,X300142.SZ,X600741.SH,X000100.SZ,X600089.SH,X600702.SH,X600460.SH,X000799.SZ,X002236.SZ,X002180.SZ,X000157.SZ,X601799.SH,X600779.SH,X000733.SZ,X600522.SH,X002008.SZ,X002414.SZ,X600584.SH,X600183.SH,X600884.SH,X002007.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.486960255275401,0,0.164870108238627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489379038940527,0,0,0,0,0,0,0.0355456338306655,2.16840434497101e-19,0,0,0,0,0,0,0,-0.0149409864220971,0,0,0,0,0,0,0,0,0,-0.00626140112217078,0,0,0,-0.0130046582731633,0,0
X000858.SZ,0.101694211708259,0,0,0,0.43955603168432,0.0189687358354535,0,0,0.0896352083433477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307358502873426,0,0,-0.00738415048196027,-0.0265380337221524,0,0,0,0,0,0,0,0,0,0.00450519383659535,0,0,-0.043130135997026,0,0,0,0,0,0,-0.0337113662478749,0,-0.00861553731418643,0.00643859196821329,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.173831014029588,0.188082740701453,0,0,0,0,0,0,0,0,0,0,-0.00630614766506448,0,0.0301640851183199,0,0,0.00986797653903476,0,0,0,0,0,0.034147738890798,0,0,-0.0148077765791412,0,0,0,0,0,0,0,0,0,0,0.0805713390385769,0,0,0,0,-0.0289156881561946,0,0.00427418328951821,0.0058749011928902,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.0773930248896505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416967681206599,0,0,0,0.182618363844741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674810686541531,0,-0.0748531265002494,0,-0.118297835235248,0,0,0.0179594551253705,0,0,0,0.00492133962544333,0.0228984375567089,0,0,0,0,0,0
X600809.SH,0,0.198015791414618,0,0,0,0,0,0,0,0,0,0,0,0,-0.0324658128652273,0,0,0,0,0,0,0,0,0,0,0.0072559774175743,0,0,0,0,0,0,0,0.0546631537422857,0,0.330103604143008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0.0654145133481127,0.122005818543112,0,0,0,0,0.105831975740313,0,0,0,0,0,0,0,0.0371420293637043,0.0504327879751812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249826248893946,0,0,0,0,0,0,0,0,0,-0.0147581516521437,0.147953498428866,0,0,0,0.101351591090477,0,0,-0.0528403921558225,0,-0.00668220461541805,0,0,0,0,0,0,0
X600276.SH,0,0,0.146863857793454,0,0,0.0229014476072438,0,0,0,0,-0.0678740552670948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489278543878893,0.00691798276979598,0.181207935077046,-0.108670063878237,0,0,0,0.109677221416605,0,0.0531460905535641,0,0,0,0,0,0,0,0,0.0420448467099678,-0.089625533747007,0,0,0,-0.163748032120723,0.185579839654857,-0.0678104402777938,0,-0.00327014366533142,0.0159195517911529,0,0,0,0,0,0
X600690.SH,0,0,0.11674030043505,0,0,0,0,0,0.0889810900753154,0,0,0,0,0,0,0,-0.0762405274592706,0,0,0,0,0,0,-0.101415682879992,0,0,0,0,0,0,0,0.1535318505567,0,-0.0339742042730391,0,0,0,0,0.00577368802080464,0,0,0,0,0,0,0,0,-0.061606854717728,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.19563125765917,0,0,0,0,0,0.180648751647455,0,0,0,0,0,0,0,0,0,0.126505665610506,0,-0.155593286502854,0,0.0530266780784531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226895253489568,0,-0.121718260600744,0,0,0,0,0,0,0.049999791852116,0,0,-0.0119267578467255,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,-0.0478362726462697,0,0,0,0,0,0,0,0.0897231617732896,0,0,0,0.143615732230638,0.0131366929184178,0,0,0,0,0.0174776124218561,0,0,0,0,-0.00691996450532664,0,0,0.0103941653487765,0,0.0775759493651216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00879077241491714,0,0,0.0331199569097464,0,0,0,0,0,0
