,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X000661.SZ,X600741.SH,X600703.SH,X002241.SZ,X000596.SZ,X300003.SZ,X600183.SH,X002007.SZ,X601877.SH,X002236.SZ,X000157.SZ,X300142.SZ,X000100.SZ,X000066.SZ,X002179.SZ,X300124.SZ,X002008.SZ,X300136.SZ,X600271.SH,X002463.SZ,X300014.SZ,X000625.SZ,X000977.SZ,X002506.SZ,X600177.SH,X002371.SZ,X002129.SZ,X600066.SH,X600867.SH,X002508.SZ,X600498.SH,X002049.SZ,X002456.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.0547334187486344,0,0,0.574526104244677,0,0,0,0,0,0,0,0,0.0278040456978545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228534474765267,0,0,0,0,0,0.0377080881225021,0,0,-0.0146778024703313,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0472555727187109,0,0,0.418283174230631,0,0,0,0,0.101969538210523,0,0,0,0,0,0.01962535480305,0,0,0,0.00326524813805034,0,0,0,0,0,0,0,0,0,0,0,0,0.0193861275169645,0,0,0.0137849455603806,0,0,0,0,0,0,0.0542061094295395,0,0,0,0,0,0,0,-0.00745507670796723,0,0
X600276.SH,0,0,0,0,0,0,0,0.108405688467365,0,0,0.228269476460278,0,0,0,0.0146475816863082,0,0.110122701678062,0.110128286528315,0,0,0,0.00112230447015961,0,0,0,0,0,0.0163020749984259,0,0,0,0,0,0,0,0,-0.0523805338839582,0,0,0.0205672376382134,0,0.0282539507195123,0,0,0,0,0,0,0,0,0,0,-0.00594861047413003,0,0,0,0.0123194592807564,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307729836124226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110460409109581,0,0,0,0,-0.0243198625167166,0,0,0.181573910221727,0,0,0.0417508946591158,0,0,0.0700861575413542,0,0,0,0,0,0,0,0,0,0,0.0268961526853454,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0249667412141164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519969000854342,0,0,0,0,0,0,0,0,0,-0.0271340707989475,0,0,0,0,0,0,0,0,0,0.0548091656642432,0,0,0,0,0,0,0,0,0,0,-0.0455808513063381,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183741883386875,0,0,0,0,-0.00898060623687535,0,0.0823280089895186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110699799645206,0.0411533113951265,0,0.0427823896011903,0,0.0324631548049276,0,0.000811182535274337,0,0,0,0,0.0145834882970715,0,0
X003816.SZ,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111242858203884,0,0,0.0733844207146224,0,0,0,0,0,0,0,-0.0843065491751636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503013671839819,0,0.0244707053347082,0,0,0,0,0.0930225924805007,0,0
X002475.SZ,0,0.138966218643963,0,0,0,0,0,0,0.0814937269058536,0.0381673269781187,0,0,0.162068922453686,0,0,1.38777878078145e-17,0,0.137131072756302,0,0,0,0,0,0,0,0,0,0,0,0.160475227252509,0,0,0.132078774014835,0.0994266439944103,0,0,0,0,-0.109051341852713,0,0,0,0,0,0,0,0,0,0.147461662580597,0,0,0.00118144244002958,0,0,0,0,-0.00656978368604761,0,0
X002304.SZ,0.0790465215811606,0,0.091840037083463,0,0,0,0.140922365399305,0.0998826635851599,0,0,0.0514374899869258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490611248163558,0,0.0882989488961748,0,0,0,0,0,0,-0.00432745591479058,0,0,0,0,-0.0494567360420701,0,0
X000063.SZ,0,0,0,0,0,0,0,0.157442408128311,0,0,0,0,0,0,0,0.0897708287360493,0,0,0.189027983723516,0,0,-2.16840434497101e-19,0,0,0,0.0487429189123981,0,0,0,0,0,0,0,0,0.0178145554051304,0,0.0161296595110023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171603008044505,0,0,0,0,0,0
