,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X002236.SZ,X002292.SZ,X002241.SZ,X600066.SH,X600741.SH,X000338.SZ,X002475.SZ,X600089.SH,X000559.SZ,X002129.SZ,X601877.SH,X600177.SH,X600435.SH,X000016.SZ,X000568.SZ,X000547.SZ,X002465.SZ,X300124.SZ,X300003.SZ,X600839.SH,X002294.SZ,X600582.SH,X600252.SH,X002456.SZ,X000550.SZ,X000800.SZ,X002276.SZ,X002498.SZ,X000066.SZ,X002179.SZ,X000581.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0924458433431116,0,0,0,0.0505516398964133,0,0,0.0394504332039213,0.00395508313453988,0,0,0,0,0,0,0,0,0,0,0.066764263389683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101413662559598,0,0,0,0,0,0,0,0,0.0225729697748776,0,0,0,0,0,0,0,0,0.0135848838979553,0,0,0,0,0,0
X600104.SH,0.270894524596115,0,0,0,0,0.321453632749188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457565669362308,0.057638078604443,0,0.0106100885587225,0,0,0,0,0,0,0,0,0,0,0.0599620611957335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100002570599629,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0375824748425143,0,0,0,0,0,0.0237323049254313,0.118870562524904,0,0,0.0694717084643057,0,0,0,0,0,0,0,0,0.0459360644394211,0,0,0,0,0,0.422430011980899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257174148175726,0,0,0,-0.0236114444795675,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.117529703005807,0.161223940020567,0.102292456062932,0,0,0,0,0,0,0,0,0,0,0,0,0.0896850582633389,0,0,0,0,0,0.0434605542172127,0,0,0,0,0,0,0,0.0502066507102356,0,0,0,0,0,0,0,0.14255097163482,0,0,0,-0.000411620143209133,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.163920994554533,0,0,0,0,0.0195487634334241,0,0,0,0,0,0,0,0,0,0,0,0,0.0883666690638145,0,0,0,0,0.0557030153950045,0,0,0,0,0,0,0,0,0.0185093531100311,0,0.0181698125372711,0,0,0,0,0,-0.0457840952906386,0,0,0,0,0,0,0
X002304.SZ,0,0.151678626375279,0,0,0,0,0.440268202338593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023906533823318,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.034673963825412,0,0,0.0393189909715118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308092511205699,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.219107682608101,0,0,0,0,0,0,0,0,0,0,0,0.056708904282005,0,0,0,0,0,0,0,0,0,0,0,0.178762026843943,0,0,0.533548044927786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214079396719601,0,0,0,0,0.0123920820405685,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0149416281988569,0,0.0562007810479398,0,0,0,0.0660881073416182,0.0352625488465174,0,0,0,0,0,0.265945830924799,0.0275249383041032,0,0.0640650016488633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139712654797493,0,0,0,0,0,0,0,0,0,0.0207269148787033,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.164306187485406,0,0,0,0.0435319792793358,0,0,0,0,0.00191622062525675,0,0.0326962185026067,0,0,0.419037524351196,0,0,0,0,0,0,0,0,0,0.00735833506192391,0,0,0,0,0,0,0,0,0,0.125701349201555,0,0,0,0,0,-0.00975374848693143,-0.0297355469527226,0,0,0,0,0,0
X000625.SZ,0,0,0.088170270261716,0,0,0,0.0199290472010541,0.0674456396322144,0,0,0,0,0,0,0.0632490626541679,-2.16840434497101e-19,0.0201153067781766,0,0,0,0,0.0304898533047002,0.170911913027563,0.0307977747455404,0,0.0591550864759779,2.71050543121376e-20,0,0,0,0,0,0.0892084133951631,0,0,0,0,0,0,0,0,0,0.0337294916726484,0.0570711390043328,0,0,0,0,0,0.0239198851461839,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.168733013215182,0,0,0,0,0,0,0,0,0.0668818546421222,0,0,0.0907521326749477,0,0,0,0,0,0,0,0,0.0194569560492047,0,0,0,0,0,0,0,0,0.183171161146696,0,0,0,0,0,0,0,0.127963115403958,0,0,0,0,0,0,0,0.0032288993927545,0.0323965864555056,0,0,0,0,0,0
X600118.SH,0,0,0,0.0269426758600709,0,0,0,0,0,0,0,0,0,0,0,0,0.376374719816066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394420214390403,0,0,0,0,0,0,0.0811469676331406,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
