,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600066.SH,X002241.SZ,X600271.SH,X000100.SZ,X000568.SZ,X600031.SH,X002292.SZ,X002236.SZ,X600118.SH,X002074.SZ,X000559.SZ,X002475.SZ,X600177.SH,X002506.SZ,X300003.SZ,X600372.SH,X000157.SZ,X000338.SZ,X002456.SZ,X300124.SZ,X000050.SZ,X002426.SZ,X002085.SZ,X002249.SZ,X002294.SZ,X000869.SZ,X002007.SZ,X600699.SH,X600867.SH,X600089.SH,X002049.SZ,X002465.SZ,X002508.SZ,X002179.SZ,X002180.SZ,X601877.SH,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.214984473102851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411539923056241,0,0,0.148210728906182,0,0,0,-0.102349664839718,0,0,0,0,0,0,0.024719817057151,-0.0854911372780355,0,0,0,0,0.102919004383108,0,-0.0669745528918558,0,0,0,0,0,0.064511089934479,0,0,0,-0.0762714506480184,0.0589778198514891,0,0,0,0,0,0
X600104.SH,0.00439466938798092,0,0,0,0.0245714419676948,0,0,0.0405789127968997,0,0.0733924271798608,0,0,0,0.0447550691722297,0,0,0,0,0,0,0.0356095418987287,0,0,0.108834565362816,0,-0.0372687446045229,0,0,0,0,0,0,0.0521981241731664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169096585488823,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.142717438351245,0,0,0,0.0933721014499368,0,0,0,0,0.020339067771947,0,0,0.0533002825820177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229485152060816,0,0,0.0248690113839527,0,0,0,0.0204820612096875,0,0.0156993520068782,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.252604725149371,0,0,0,0,0.132610958547834,0,0,0,0,0.0125101992480735,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0.0332904346707417,0,0,0,0,0,0,-3.46944695195361e-18,0.031431736051499,0,0,0,0.0242557062915362,0.0496591119307415,0,0,0,0,0,0,0,-0.0300170771419215,0,0.0857031627034231,0,0,0,0,0,0,0,0,0
X002304.SZ,0.165180231689771,0,0,0.64619693952887,0,0,0,0,0,0,0,0,0,0,0,0,0.0739460103632414,0,0,0,0,0,0,0,0,-0.0176038522785053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11419804989304,0,-0.0536863270699376,0,-0.0460776749715926,0,0,0,0,-0.0331724697772921,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.00856590644505066,0,0,0.160786801141002,0,0.00447518660087201,0,0,0,0,-0.0329375226612739,0,0.101503049507348,0,0,0,-0.0155607235042587,0,0,0,0,0,0,-0.0512887338004913,0.00630561390933173,0,0,0,0,0,-0.0153968123080436,0,0,0.0898924013201636,0,0,0,-0.0423280602857515,0,0,0,0,-0.00535431425221541,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303245402598653,0,0.133812719724788,0,0,0.111881793506518,0,0,-1.73472347597681e-18,0.142619573322458,0,0,0,0,0,0,0,0.0583887382917605,0,0.0424934868534036,0,0,0,0,0,0,0,0,0,0.00120478845562051,0.0251861081104491,0.0396239628236183,0,0,0,0,0,0.00207437529222062,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.115882612407824,0,0,0,0,0.0124738916889163,0,0,0,0,0,0,0,0,-0.0511947664876884,0.123600487900319,0,0.0742190954508306,0,-0.0405008649654181,0,0,0,0,0.043591175389909,0,0,0,0,0,0,0.0827968356243601,0,0,0.0869271354511707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.283395717800904,0,0,0,0.0732971560991777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701808149602095,0,0,0,0,0,0,0,0,0,0.0446341996463918,0.0721643002426805,0,0,0,0,0,0.00815216880290659,0,0,0.0720318631699186,0,0,0,0,0,0.036387159584247,0,-0.0167948374718054,0,0,0,0,0,0,0
X600690.SH,0,0,0.213134258010327,0,0,0,0,0,0.0595662741683869,0,0,0,0,0,0,0,0,0,0.0743931462589128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414086312122745,0,0,0,0,0,0.063156094245616,0,0,0,0,0,0.0119248944132808,0.103347708082494,0,0.0274525663500671,0,0,0.00828937379512641,0,0,0,0,0,0,0
