,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600031.SH,X000100.SZ,X600276.SH,X000338.SZ,X000157.SZ,X002241.SZ,X600703.SH,X600372.SH,X600089.SH,X600741.SH,X600271.SH,X002236.SZ,X600066.SH,X601877.SH,X002129.SZ,X600582.SH,X600177.SH,X600118.SH,X000623.SZ,X000581.SZ,X000550.SZ,X000559.SZ,X000568.SZ,X002475.SZ,X300124.SZ,X000800.SZ,X000869.SZ,X300146.SZ,X000400.SZ,X000977.SZ,X002294.SZ,X000050.SZ,X600839.SH,X600060.SH,X300003.SZ,X600498.SH,X002292.SZ,X002465.SZ,X002456.SZ,X600166.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.131974221730248,0,0,0,0,0.0830680158362232,0.0745189351484078,0,0.0100723427165754,0,0,0,0,0,0,0,0,0.23389289654977,0,0,0.213245372264268,0,0,0,0.0361746063782289,0,0.0287652143003696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.0478043063521479,0.125843306789315,0,0.0181427155695162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042587124620775,0,0,0.0392954038419231,0,0,0,0,0,0,0.0987403829256182,0,0,0,0,0,0,0,0,0,0,0,0,0.202982322412716,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0598013105363801,0.070418013886482,0,0.355742594207938,0,0,0.0674886549229339,0,0,0,0,0,0,0.0455846038479926,0,0,0,0,0.095420258062938,0,0,0,0,0,0.116265282635076,0,0.0270480070583996,0,0,0,0,0,0,0,0,0,0,0.0424395139954951,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.140725104379103,0,0,0,0,0,0.140350029744531,0,0.0183816752500022,0.0665110695420661,0,0,0,0.153399774665842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180849087067521,-0.0608227498635868,0,0,0.0376162726178075,0,0,0,0,0,0,0,0,0,0,0,0.0330199409304219,0,0,0,0,0.0331355125614704,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.114051614128299,0,0,0,0,0,0.0785589172881078,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.243266571899388,0,0,0,0,-0.0398352843429189,0,0,0,0.169617527659309,0,0,0,0,0.07007953094469,0,0,0.0900170480630949,0,0,0,0,0,0.0317856588860133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0918307022836148,0.216157923720598,0,0,0,0.0950732267593155,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.158387390148459,0,0,0,0,0,0,0,0,0.0156639159485002,-0.0238874656637434,0,0,0,0,0,0,0,0,0,0,0,0.00286225191435148,0,0,0,0,0,0,0,0,0,0.0266687786394788,-0.0134308831825866,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.220576320749673,0.0743461231152899,0,0,0,0,0,0,0,0,0,0,0,-0.0379937300922822,0.0665835675327928,0.142016974655876,0,0,0,0.0540149628801725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155917331957647,0,0,0,0,0,0,-0.0263417941869732,0,0,-0.00120325367313752,0,0,0,0,0,0,0
X000858.SZ,0,0,0.133310731203207,0,0,0,0.0970386132780472,0,0.0791594822336461,0.0248093459492848,-6.93889390390723e-18,0,0,0.133875014076365,0.172593572702037,0,0,0,0,0,0,0,0,0,0,0,0.0244801936127158,0,0,0,0,0,0,0,0,0.0407031162122477,0,0,0,-0.0355708121736433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0.00526115000032512,0,0.154747825719135,0,0,0,0,0.0409823423199137,0,0,0.0322824867233702,0.0840046603560294,0,0.157897308102476,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0293842805125714,0,0.100364826870942,0,0.00672528024148606,0,0,0,0.0605082737941037,0,0,0,0,0,0,0,0,0,0,0.208744454607215,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.0938015146623007,0,0.186589847450034,0,0,0,0,0,0.0318931769291688,0,0,0,0,0.0759416993193265,0,0,0,0,0,0,0,0,0,0,0,0,0.110861108091983,0,0,0,0,0,0,0,0,0.103253498879689,0,0,0,0,0,0,0,0.127340026194605,0,0,0,0,0,0,0,-0.0266422387641412,0,0,0,0,0,0,0
X600031.SH,0.019600983235891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754664004436993,0,0,0,0,0,0,0,0,0,0,0.00937654737532087,0.0491655997179782,0,0.117592449389821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0095085574130972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.0196263382198039,0,0.0407245526709027,0,0,0.0121664009855581,0,0,0,0,0,0,0,0,0,0,0,0,0.124876454485775,0,0.0364131632235052,0,0,0.0258360699004853,0,0,0,0.123671868473091,0,0,0,0,0,0,0,0.248539403744804,0,0.104057555469902,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0413218984621094,0,0,0,0,0,0,0,0,0,0,0,0.0492976914048778,0,0,0,0,0,0.184356624811079,-0.103623157097468,0,0.00940875635648225,0,0,0,0,0,0,0,0,0,0,0.0103907136055219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212169325913144,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0.00484841422808641,0,0,0,0,0.0580805345141704,0.0253232806360893,0,0.0976465280929101,0,0,0.430084404336058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410729493475153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119675620289682,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0.0511472709466529,0,0,0,0,0,0,0,0.606063611002597,0,0,0.128892555301647,0,0,-0.00239968657868779,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0730670901522212,0,0.0808512801853581,0,0,0,0,0,0,-0.0194392015015007,0,0.0690026658647536,0,0.0449122856350934,0,0.0394941772339142,0,0,0.0246716519326402,0,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036219539406214,0,0,0,0,0.314329120351385,0,0,0.0534648393537991,0,0,0,0,0.0338061859840386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492440384830404,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0.174702354622854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839808678134196,0,0.00333820803452167,0,0.025609162853702,0,0.0823932978767043,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0936611786821814,0,0.0647112281405015,0,0.161264224734624,0,0.063545187132994,0,0.0381413649622534,-0.0107234970703437,0,0,0,0,0,0
X600372.SH,0,0,0.0427421671133013,0,0.018527405589301,0,0,0,0,0,0.0445943535667303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192243119256604,0,0,0.0576222433145963,0,0,0.137193963563705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0500264806271295,0,0,0,0,0,0,0
X600089.SH,0.0254730546059024,0,0.0480459083801405,0.144727758730422,0,0,0,0,0,0,0.138191992222598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859550853653232,0.0433623620208817,0,0.0253684867204462,0,0,0,0,0,0,0,0,0.346317940422838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110216294174507,0,0,0,0,0,0
X600741.SH,0.2199572086263,0,0,0.057548239809503,0,0.154787494939095,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26659420586878,0,3.46944695195361e-18,0,0,0,0.0534456834039527,0,0,-0.0271994334775886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271491221860374,0,0,0,0,0,0
X600271.SH,0,0,0.184306269778945,0,0,0,0,0,0,0,0,0.0469930462549088,0,0,0,0,0,0,0,0,0,0.0632673119100872,0,0,0,0.143549902345657,0,0,0,0,0,0,0,0,0.0487348304703748,0,0,0,0.0633548936696739,0,0,0,0,0,0.163192036205872,0,0,0.131035652503061,0,0,0,0,0.0133291359747484,0,0,0,0,0,0
