,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X600703.SH,X000568.SZ,X600031.SH,X002475.SZ,X600741.SH,X000338.SZ,X300003.SZ,X000063.SZ,X600271.SH,X002236.SZ,X601877.SH,X600809.SH,X002008.SZ,X002456.SZ,X300124.SZ,X600867.SH,X000596.SZ,X600487.SH,X000100.SZ,X000625.SZ,X600566.SH,X600066.SH,X002294.SZ,X000661.SZ,X000977.SZ,X000157.SZ,X002179.SZ,X300142.SZ,X600498.SH,X002180.SZ,X300136.SZ,X000981.SZ,X002007.SZ,X002241.SZ,X000050.SZ,X000869.SZ,X300146.SZ,X002049.SZ,X600522.SH,X600779.SH,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.425998418540731,0,0,0.0253127802694222,0,0,0,0,0,0,0,0,0.0120574853496937,0,0,0,0,0,0.0238260498519623,0,0,0,0,0,0,0,0,0.0280574342557087,0,0,0,0,0,0.120088510430524,0,0,0,0,0,0.0193729295884899,0.0151155808963519,0,0,0,0,0.0159523689398663,0,0,0.00281881521634379,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.146101597706707,0,0.238926250707433,0,0,0.020198618140542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113114814662546,0,-0.12572037151732,0,0,0.0687504030518957,0,0,0,0,0,0,0,0,0.0968668560194681,0.0143090665321962,0.0435760794931679,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.160063108390451,0,0,0,6.93889390390723e-18,0,0,0,0,-0.0906595042217802,0,0.295441568656433,0,0,0.0226728885662212,0,0,0,0.00365196034568455,0,0,0,0,0,0,0,0,0,0,0,0.153497373242206,0,0,0,0,0,0,0,0,0,0,0.147576682161888,0,0,0.0180395793351897,0.0398655179515689,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0397143569119268,0,0,0.188375720135889,0,0,0,0,0,0,0,0,0,0.0167862235022128,0,0,0.057077642371226,0,0,0,0.186978906437151,0,0,0,0,0,0,0,0,0,0,0.0978346592594869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132929792667731,0.0145329577661187,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.215358040309392,0,0,0.0183549448758735,0,0,0.224345532888655,0,0,0,0,0,0,0.143080060790839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167050747093168,0,0,-0.00391638862720053,0,0,0,0,0,0,0,0,0,0.0128948964718875,0.02597627552457,0,0,0,0,0,0
X600276.SH,0,0,0,0.0169800808269369,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586274735568477,0,0,0,0,0,0,0.162301877264098,0,0.015156911186617,0.107508809055978,0,0,0.0142327110957383,0,0.164230133329219,0.370355663676368,0,0,0,0,0,0,0,0,0,0,0,0,0.114647396136915,0,0,0.0279050886425402,0,0,0.0125277508410381,0.0183843959391806,0,0,0,0,0,0
X002304.SZ,0,0,0,0.178901018909076,0,0,0,0,0.205881034005902,0,0,0,0,0,0,0.000820060011158332,-8.67361737988404e-19,0,0,0,0.213362295420705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535548379190812,0,0,0.0481596265899836,0,0,0.0208964364364582,0.0461182979578133,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899703433088018,0,0,0,0,0,0,0,0,0,0.144793111977852,0,0,0,0,0,0.0207971611785772,0,0,0.0250385352237033,0,0,0.0125852841670783,0.172864254659046,0,0.0559560537058751,0.0270563180766145,0,0,0.115139227047093,0.168006962083963,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.441661700830874,0,0,0,0,0,0,0.0183514186064148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128762288723133,0,0,0,0,0,0,0,0,-0.0420144939873795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177934879456122,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0.107176527245557,0,0,0,0,0.0319500471432803,0.0864542176347728,0,0.0936984367792031,0,0,0,0.0568211642006648,0,0.0764824209508943,0,0.102738842075867,0,0,0,0,0,0,0,0,0,0,0.0705463669918837,0.0645236374104473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
