,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X600031.SH,X000568.SZ,X003816.SZ,X600809.SH,X600703.SH,X000338.SZ,X600690.SH,X300014.SZ,X002371.SZ,X002241.SZ,X000100.SZ,X002007.SZ,X000596.SZ,X300142.SZ,X300124.SZ,X002049.SZ,X300003.SZ,X600183.SH,X600741.SH,X002129.SZ,X600584.SH,X002236.SZ,X000977.SZ,X000625.SZ,X000157.SZ,X000800.SZ,X601877.SH,X002414.SZ,X002456.SZ,X300136.SZ,X000066.SZ,X002463.SZ,X002179.SZ,X600118.SH,X002008.SZ,X002185.SZ,X600522.SH,X000021.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.209491053422377,0.207546936779053,0,0,0,0,0,0.0864074349040745,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0234867379803286,0,0,0.0505374234917434,0,-0.035172228954212,0,-0.0287843679989994,0,0.0755796817387064,-0.011416328690835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00724287944827617,0.00807490945835284,0,0,0,0,0,0
X000858.SZ,0.0542502898170998,0,0,0,0,-0.0945610787277659,0,0,0.0900940673330558,0,0,0,0.255230224072314,0,0.180241424216151,0.0465541584285845,0,0,0,0,0.128178466541369,0,0,0.0393802021777754,0.0996557646512228,0,0,0,0,0,0.0339289172276961,0,-0.0213646069421156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110770891924143,0.011973496362201,0,0,0,0,0,0
X600276.SH,0,0,0,0.0458314589777394,0,0,0,0,0,0,0.124662335082026,0,0,0,0.0777066103664752,0,0,0,0,0.0267414782188378,0,0,0,0,0.0765425587829091,0,0.0241649185431624,0.138669739937388,0.164622921024783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354705934289814,0,0,0,-0.0090496507244517,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0212433781341398,0,0,0,0,0,0,0,0.284434790468569,0,0,0.0419148151233097,0,0,0.0430392344761091,0,0,0,0,0,0,0.00638837409127768,-0.047609292622701,0,0,0,0,0,0.13250877665916,0,0,0,0,0,-8.67361737988404e-19,0,0.0798113546701897,0.00398227627891502,-0.0417024828444082,-0.00974090095313279,-0.0179970112721555,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.100865153531364,0,0,0,0,0,0.260017415427324,0,0,0,0,0,0.390775366595266,0,-0.0269315406825997,0,0.000355107350106998,0,0,0,0,0.0142750812480583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256621191180029,-0.0256248516955483,0,0,0,0,0.00341410719545184,0.0087370823454196,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.197177385833318,0,0,0.0342793960702893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137080919028104,0,0,0.0307792170282757,0,0,0.250161505586264,0.175199404168453,0,0,0,0,0,0,0,0,0,0,0,0.0313783037774768,0,0,-0.0355623907297491,3.46944695195361e-18,0,-0.00265895566775423,-0.00290490368464349,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.135049112943533,0.0214200902027296,0,0,0,0,0,0.121312553465583,0,0.0858102226349426,0,0,0,0,0,0,0,0.135653003016204,0,0,0,0,0.0983581865777452,0,0,0,0,0,0,0,0,0,0,0,0,0.170755176792378,-3.46944695195361e-18,0,0,0,-0.0287755053392306,-0.0079170586066741,0.01633792569885,0,-0.0343226025112467,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0914219082358515,0,0.0743590879141965,0.0430954543355418,0,0,0,0,0,0,0,0,0,0,0,0,0.201460979163615,0,0,0,0,0,0,0.0467093410384994,0,0,0,0,0,0.199428362546598,0,0.0355804226722255,0,0.0785892765752708,-0.0247122785587423,0.0152661686028808,-0.0257744842180691,0,0,0,0,0,0
X002304.SZ,0,0.0840762029197353,0.137014084985363,0,0,0,0,0,0,0,0,0,0.337220556156766,0,0,0,0.255247321912634,0,0,0.0743280244283824,0,0,-0.0240752016862895,0,0,0,0,0,1.73472347597681e-18,0.0105101339550773,-0.0193132066579604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710281092238843,0,0,0,0.000918517715242169,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0590704386507225,0,0,0,0,0,-0.0705611128165565,0,0.0369922323745159,0,0,-0.0321687041524824,0,0.386034261337117,-0.0629673511026759,0,0,0,0,0,0,0.156010723320943,-0.0196724434494157,0,0.00583974020314857,0,0,0,0,0,0,0,0,0,0,0.143016031372196,0,0,0,0.121920039891076,0,0,0.0157834709490038,0.00160170334016035,0.00773282843731839,0,0,0,0,0,0
