,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X600031.SH,X600066.SH,X002506.SZ,X002241.SZ,X002292.SZ,X002236.SZ,X000157.SZ,X002049.SZ,X600741.SH,X600118.SH,X002465.SZ,X000559.SZ,X002475.SZ,X000338.SZ,X600372.SH,X000568.SZ,X600089.SH,X300124.SZ,X600177.SH,X002294.SZ,X600867.SH,X000869.SZ,X600498.SH,X601877.SH,X300003.SZ,X002074.SZ,X002426.SZ,X002129.SZ,X000977.SZ,X600584.SH,X600582.SH,X002456.SZ,X000550.SZ,X000623.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.0416651626087331,0,0,0,0,0,0,0,0.0406879800806304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143390105841268,0,0.0612438990031217,0,0.044354970829349,0,0.0426636590526391,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.00515876413474553,0.00421588466591025,0,0,0,0,0,0
X600104.SH,0,0,0.0369054000274013,0,0,0,0,0,0.315778688611921,0,0,0,0,0,0,0,0.0465377037582059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122188128652897,0,0.0331024983975317,0,0,0,0,0,0,0,0,0.0251048589509829,0,-0.0254622165368297,-0.000877337619597312,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0188951525298057,0,0,0,0,0,0.32885825116319,0,0,0,0,3.46944695195361e-18,0.075264671929894,0,0,0,0,0,0,0,0,0,0.244129229613813,0,0,0.136607326418447,0,0,0,0,0.031691018148921,0,0,0,0,0,0,0,0,0,0.059798663212598,0,0,0.0251025428051173,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811391015881278,0,1.73472347597681e-18,0,0,0,0,0.021015616185233,0,0,0,0,0,0,0.435095265304324,0.0642640792202878,0.128837886979682,0,0.0124775342640315,0,0,0,0,0,0,0,0,0.023523551522037,0.0232193092518995,0.0253039813763443,0,0.0369399374132388,0,0,-0.00951978085381572,-0.0323450004918842,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355272830972416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13783901144167,0,0,0,0.047945505301882,0,0.0417336004679099,0.0471854011632044,0,0.0932701591756925,0,0,0,0.00851991154688766,0,0.223958151423542,0,0,0,-0.00766722934125482,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.113402793307841,0,0,0,0,0,0,0.0016396262582232,0,0.105967092637364,-0.0461689247289824,0,0,0,0.156455722857711,0,0,0,0,0,0,0,0,0,0,0,0.256240952522301,0.0444829181952331,0,0,0.0950036257246665,-0.104680049125572,0,0,0,0,0,0,0,0,0,-0.00623484032226655,-0.01790524559881,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.186626004800552,0,0,0,0,0,0,0.0743633292946142,0,0,0,0,0,0.0528028297534208,0,0,0,0,0,0.0916661138512162,0,0,0.0988565294096947,0,0.0331194741453644,0,0.0357857036434811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0834430066936575,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381386815141982,0,0.0165481095456055,0,0.157676279124452,0,0,0,0,0,0,0,0,0,0,0.0586907632445913,0,0,0,0,0,0,0,0.020169556627837,0,0,0,0,0,-0.000154849579177517,0,0,0,0,0,0,0
X000625.SZ,0,0,0.0477119474419044,0,0,0,0,0,0,0,0,0,0,0,0,0.0106211399659585,0,0.0134214924394196,0,0,0,0,0,0,0.232343148752902,0,0,0,0,0,0,0,0,0,0.0288720418345528,0,0,0,0,0,0.0238487912479166,0,0,0,0,0.245180957294813,0.204963740754033,0,0,0,-0.0108764376959235,0,0,0,0,0,0
X000063.SZ,0,0,0.0402611374045883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899838028616861,0,0,0,0,0,0,0,0.0978982351930728,0,0,0,0,0,0.15316854450105,0.169428190800507,0,0,0,0,0,0,0,0.121107317189716,0,0.0311288637506242,0,0,-2.71050543121376e-20,0,0.0399304307693041,0,0,0,-0.0258399397130249,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020501905176167,0.000148596844253699,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0.00511527101260527,0,0,0,0,0,0.0098720020787678,0.122237023689563,0,0,0,0,0,0,0,0.134628500900566,0,0,0,0,0,0,0.0570992868790329,0,0,0,0.08778024627082,0.132069385480503,0,0,0,0,0,0,0,0.164565880824298,0,0,0.0128028060204111,0,0,-0.00801487205773161,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380219259055967,0,0,0,0,0,0,0.0179287193649766,0,0,0,0,0,0,0.103806699854223,0,0,0,0,0,0,0,0,0.0210911030474174,0.0140702774418386,0,0,0.132740271048222,0.0459963851424858,0.125391253622302,0.0636045948296141,0,0,-0.0536260716418196,0,0,0,0,0,0
X600031.SH,0,0,0,0.135479281408435,0,0,0,0,0,0,0,0,0,0,0,0,0.0331805564936955,0,0,0,0,0,0,0,0.0100542426919388,0,0,0,0,0.0511991049107608,0,0.136029542593069,0,0.00126652306279095,0,0,0,0,0,0,0.0814302183178399,0,0,0,0.172997108346853,0,0.110909275225122,0,0,0,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425226658708995,0,0,0,0,0.0780436832272138,0,0.20903101081032,0,0,0.0349494603702233,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0216020930811789,0,0,0,0,0.380534986226489,0,0,0.00144952978372424,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296433751750744,0,0,0,0,0,0,0,0,0,-0.0823568220391902,0,0,0,0,0,0,0,0.0424087030451075,0,0,0,-0.0153605063158356,0.202405920790774,0,0.0660186073243102,0,0.312512008102951,0,0,-0.185824756100812,0,-0.0130252787515031,0.0274023195405516,0,0,0,0,0,0
