,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X000651.SZ,X300124.SZ,X000725.SZ,X600104.SH,X000063.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X600031.SH,X300014.SZ,X002371.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X000100.SZ,X002241.SZ,X002236.SZ,X000661.SZ,X002180.SZ,X600522.SH,X600702.SH,X601877.SH,X600584.SH,X300142.SZ,X000977.SZ,X002074.SZ,X000157.SZ,X600741.SH,X600460.SH,X000733.SZ,X000066.SZ,X600183.SH,X300003.SZ,X002463.SZ,X000799.SZ,X002414.SZ,X002007.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0300581733604056,0,0.0631373699909905,0,0,0.119024381423579,0.0868323771185645,0,0,0,0.0110623563797777,0,0.0776181287667151,0,0,0,0,0,0.012558854196639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255941896264796,0,0,0,-0.00741602027328177,0.0943605206160599,0,0,0,0,-0.0308435712598402,0.0591083551213169,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.651071120844718,0,0,0.0242738968971191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411541357263986,0.0891007228296592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258726759918252,-0.0186092495297005,0,0,0,0,0,0
X002415.SZ,0,0.0250019117224839,0,0,0,0.212342548787779,0,0,0,0,0,0,0,0,0,0,0,0,0.0716368560035056,0.0969323845572734,0,0,-0.0671826131042304,0.140889282974052,0,0,0,0,0.308573712447348,-0.155092088262872,0,-0.106468010190363,0,0,0,0,0.123562866516533,0,-0.0354096826522206,0,0,0,0.0356908575265284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.523098024993457,0.0282533427922589,0,0,0,0.231476268934408,0,0.0333704983673868,0,0,0,0,0,0,0,0,0,-0.12576801525219,0,0,0,0,0,0,0,0,0,0.0125592025877689,0.00967902142982949,0,-0.0434686866698831,0,0,0,0,-0.0291896146804214,0,0,0,0,-0.133476696097274,0,0.205884665882293,0,0,0,0,0,0,0,-0.00819429091153629,0,0,0,0,0,0,0
X600809.SH,0,0.0749096918392807,0.0270691320086287,0,0,0.0949527292750709,0,0.0620537357296897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00609899696653478,0,0,0,0,0,0,0,0,0.0784529389385651,0,0,0,0,0,0,0,-0.0992457827898404,-0.0604882141410539,0,0,0,0.326887327890255,0,0,-0.035362300388548,0,0,0.00998728454277199,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115611017625523,0,0,0,0,0,0,0,0,0.0415043567602227,0,0,0,0,0,0,0.042427746031745,0,0,0.0757296005038326,0,0.0909466075215146,0,0,0,0,0,0,0,0.035520194533006,0,0.305834404667078,0.0181706777554875,0,0.00478154662436306,0,0,0,-0.0181761725621552,-0.0287134479622907,0,0,0,0,0,0
X002304.SZ,0,0.355825737746679,0,0.28418888516168,0,0.0271367016782049,0,-0.0110243095219217,0,0,0,0,0,0,0,0,0.248716321979187,0.0295576294285448,0,0,0,0,0,0,0,0,0,-0.0157094466474375,0,0,0,0,0.0147092343869,0,0,0,0,0,0,0,0,0,-0.0652235616699691,-0.040246785986778,0,0,0,0,0,0,0,-0.00276176618009129,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0370396779277176,0,0,0,0,0,0,0,0.183311942712985,0,0,0,0.00814029732863305,0,0,0,0.433829242872051,0,0,0,0,0,0,0,0,0.063340472144414,0,0,0,0.220914195950109,0,0,0,0,0,0.0814584556728479,0,0,0,0,0,0,0,0,0,0,0.229405292759726,0,0.379950950045205,0,-0.0161554094244541,0,0,0,0,0,0
X600690.SH,0,0,0,0.0544222535583551,0.0347257359817356,0,0,0,0,0.0540126004460258,0.0642173064792926,0,0,0,-0.0940654638154718,0,0,0.127945549778129,0,-0.0017707350245703,0.124954565268445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203687372347942,0,0,0.0121134819666563,0,0,0,0,0.108417108446759,0,0.0726452127541716,0,0,0,0,0.00637152417547583,0,0,0,0,0,0,0
X000651.SZ,0,0.143128976859505,0,0,0,0,0.0536114740535344,0,0.266058144986284,0,0,0,0,0,-0.0290423182522436,0,0,0,0,0,0.140027253181112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411438199460772,0,0.0114955023510556,0,0,0,0,0,-0.00122366203009867,0,0,0,0,0,0,0
