,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X002475.SZ,X600031.SH,X600703.SH,X000338.SZ,X000568.SZ,X600741.SH,X300003.SZ,X600271.SH,X601877.SH,X002236.SZ,X300124.SZ,X002008.SZ,X600487.SH,X600498.SH,X002456.SZ,X000100.SZ,X002007.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X600566.SH,X300146.SZ,X600867.SH,X600809.SH,X000157.SZ,X000596.SZ,X300142.SZ,X600177.SH,X300136.SZ,X002180.SZ,X002294.SZ,X600089.SH,X600372.SH,X600066.SH,X000977.SZ,X002506.SZ,X002241.SZ,X600522.SH,X000050.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.542008573514883,0.191616870917956,0,0,0,0,0,0,0,0,0,0.0825859283071788,0,0,-0.0938183714169826,0,0,0.134378285245121,0,0,0,0,0,0.0764003269556133,0,0,-0.0139843917693595,0,0,0,0.069578173828935,-0.00879251487970246,0,-0.0213527134312103,0,0,0,0.00036102063373966,0,0,0,0,0,0,0,0,0.0306998447708088,0,0,0,0,0,0,0
X600104.SH,0,0,0.105418828342814,0,0,0,0,0,0,0,0,0,0,0,0,0.0759007176714395,0.0933873714496959,0,0,0,0,0,0,0.134681009615818,0,0,0,0,0.0274202292248342,0,0,0,0,0.25040312611256,0,0,0,0,0,0,0,0,0,0,0.192068428860599,0,0,0,0,0,-0.129055347919379,0.0114658037633859,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246599034565202,0,0,0,0,0.599758921451412,0,0.13625012675237,0,0.129793866082739,0,0,0,0.0169474982056972,-0.0457076991536477,-0.147237015794516,0,0,0,0,0,0,0,0,0,0.0354137989714247,0,0,-0.0391345873738248,0,0.0291685759191176,0,0,0,0,0,0.198011582890201,0,0.0898617078084659,0,0,0,0.145858555134777,0,0
X000651.SZ,0.180811027372421,0,0,0,0,0.141086312106001,0,0,0,0,0,0,0,0,0.135071494428655,0,0.118298595902152,0,0,0,0,0.062726437220083,0,0,0,0,0,0,0,0,0,0,0.0445670068149568,0,0,0,0,0,0,0,0,0,0,0.0277793241096669,0,0,0,0,0,0,0,-0.0033943970663364,0,0,0,0,0,0,0
X600276.SH,0,0.0532713915432979,0.122351765219658,0,0,0,0,0,0.043581788128285,0,0.00515463525145857,0,0,0,0,0,0.408154748428539,0,0,0.0103559040712661,0,0,0,0,0,0,0,0,0,0,0.0414168569122719,0,0.0476594867244949,0.018674340438591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777489385496548,0,0,0,0.0243859496801369,0,0,0,0,0,0
X000858.SZ,0.0886559193784177,0,0,0,0,0,0.158994862477867,0,0,0,0,0,0,0,0.0831051038461085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00589935285458222,0.339600719175951,0,0.138977906977504,0,0,0,0,0,0,0,0.0977422581773042,0,0,0,0,0,0,0,0.0201904845693418,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.335210239076828,0,0,0,0,0,0,0,0,0.441118327319461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141633850364175,0,0,0.0962035315996048,0.0689833845938216,0.166932437011642,0,0.0645738230948757,0,0,0,-0.125526953948048,0,0,0,0,0,0,0,0,0,0,0.00425876724446116,-0.00374916608153017,0.0452190735224949,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0893470865430602,0,0,0,0,0,0,0,0,0,0,0,0.07330490079068,0.0736504839616113,0,0,0,0,0.0994531249801794,0.273956523404028,0.0400132903223752,0,0,0.0665195800082847,0,0,0.003596600028589,0,0,0,0,0,0,0,0,0.0164938168037257,0,0,0,0,0.0453751006682285,0,0,0,0,0,0,0,-0.0650418693406686,0,0,0,0,0,0
X000063.SZ,0,0.0478702368110194,0.37641814348573,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106857874797011,0,0,0,0,0,0.0811797217130237,0.0735743718923473,0.406405259221184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102373724070174,0,0,0,0,0,0,0,0,-0.0714308386018874,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.320227460988953,0.00630116095209533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560358767876829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.112203978868461,0.322516041989135,0,0,0,0,0,0,-0.0292242566850606,-0.0129634892372349,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,-0.0654377685478886,0,0,0,0,0,0,0,0,0,0.136475739117625,0,0,0,-0.0905673849941914,0,0,0,0.623171280686449,0,0,0,0.246082099936418,0,0,0,0,0,0,0,0,0,0.0580200796311373,0,0,0,0,0,0.22592712045611,0,0,0,0,0,0,0.00259365901189782,0.120906507678317,0,0,0,0,0,0
