,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600271.SH,X600703.SH,X600690.SH,X600741.SH,X600066.SH,X002241.SZ,X002292.SZ,X000100.SZ,X600031.SH,X002236.SZ,X600177.SH,X600118.SH,X002506.SZ,X000559.SZ,X002475.SZ,X600372.SH,X000157.SZ,X000568.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X002074.SZ,X300124.SZ,X002294.SZ,X600867.SH,X600089.SH,X002426.SZ,X002007.SZ,X002456.SZ,X002465.SZ,X600498.SH,X002180.SZ,X000869.SZ,X002508.SZ,X601877.SH,X000050.SZ,X002049.SZ,X000977.SZ,X002008.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.161930845862518,0.0958515461588931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643116640237372,0,0,0,0,-0.0297238936674057,0,0,0,-0.0694324647398677,0.0203518003955461,0.0800017055415962,0,0,0,0,-0.0526469300917636,0,0,0,0,0,0,0,0,-0.0370845098407829,0,0,0,-0.0177516699380308,0,-0.0405551209731829,0,0.0431778973084109,0,0,0,0,0
X600104.SH,0,0,0.0986408463050007,0,0,0,0,0,0,0.0268390967888497,0,0,0,0.359811933110807,0,0,0,0,0.0136348431664949,0,0,0,-0.0247680799491923,0,0,0,0,0,0,0,0.0132016149271523,0,0,0,0,0.0182994962009766,0,0,0,0,0,0.0370981954460766,0,0,0,0,0,0,0,0,0,-0.00799016350028046,-0.0662915806930991,0,0,0,0,0,0
X002415.SZ,0,0.0753558571278055,0,0,0,0,0,0.101882380342196,0,0,0,0,0,0,0,0,0.0264199183790698,0.00781281741721554,0,0,0,0,-1.73472347597681e-18,4.33680868994202e-19,0,0,0,0,0,0,0,0.0690628944226786,0,0,0,0.195817679282352,-0.0919344583073235,0,0.245092534998918,0,0,0,0,0.119452690456165,0,0.0102991597527617,0,0,0,0,0,0.00682269563115952,0,0,0,0,0,0,0
X000651.SZ,0.0260529467736061,0,0,0,0,0,0,0,0,0.0423644889108296,0,0,0,0,0,0,0,0,0,0.0178240038915966,0,0,0.00596723673195564,0,0,0,0,0,0,0,0.0312656584449228,0,0,0,0,0,0,0,0,0,0,0.118663940366443,0,0,0,0,0.00120904893705856,0,0,0,0,0.0420495733219253,-0.037384183614679,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0847549637938903,0,0,0,0,0,0,0,0,0,0,0.0546901855624972,0,0,0.0513601922049721,0,0,0,0,0,0,0,0.0450572089554063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352057022336544,0,0.145871755249266,0,0,0,0.0140258473964059,0,0,0,0,0,0,0
X002304.SZ,0.0968417796425395,0,0,0,0.526928715641909,0,0,0,0,0,0,0,0,0,0,0,0.0120493511236876,0,0,0,0,0,0,0,0,0,0,0.111320279980923,0.0292916978625477,0,0,0,0,0,0,0,0,0,0.0207277889841327,0,0,0,0,0,0,0,0,0,0,0,0,-0.0518140506381296,-0.0210375624312787,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321006166306177,0,0,0,0.167535218933408,0,-0.0797421079460658,0,0,0,0,0,0,0,0,0.120520935229521,0,0,0,0,0,0.0364604524700748,0,0.0706453313609847,0,-0.0829249116017507,0,0,0,-0.00199628366822463,0,0,0,0,0,-0.0338424649081209,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794969165253009,0,0.131899930741393,0.178382445393452,0,0,0,0,0,0,0,0.0108425654742582,0.0918243285148716,0,0,0,0,0,0.114729307532792,0,0,0,0,0,0.00215515107975622,0.0675787371079476,0,0,0,0,0,0.00783562344875136,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.175637391918832,0,0,0,0,0,0,0.0229326361609112,0,0,0,0,0,0.0606121105046628,0.0513613078710335,0.056368838929121,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0743443544981509,0,0.0179308433781042,0,0,0,0.103903075343757,0.0465674332984548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0496455159355346,0,0,0,0,0,0,0,0,0,0,0,0.467423749753597,0.0746663452914481,0,0.0673767976514925,0,0.0227083172270512,0,0,0,0,0.0170658431571926,0,0,0,0,0,0,0,0,0,0,0.0573812287043404,0,0,0,0,0,0.0393240836622358,0,0,0,-0.02942021513626,0,0,0,0,0,0,0
