,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600271.SH,X600031.SH,X000559.SZ,X000100.SZ,X600066.SH,X600372.SH,X002236.SZ,X000157.SZ,X600741.SH,X002475.SZ,X002292.SZ,X600089.SH,X002241.SZ,X000338.SZ,X300124.SZ,X000568.SZ,X002465.SZ,X300003.SZ,X600177.SH,X600839.SH,X002294.SZ,X002506.SZ,X002129.SZ,X600867.SH,X000977.SZ,X000547.SZ,X002074.SZ,X002180.SZ,X002008.SZ,X000800.SZ,X000550.SZ,X002276.SZ,X600582.SH,X600498.SH,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.21622267065063,0.233589676179186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333288811085417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713976059159919,0.118777956603693,0.0292646281732446,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.107936435087631,0,0,0.365127293646585,0.0670561736312159,0,0.0691138137491716,0,0,0,0,0,0.0303770205413804,0.0965394353458486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432744229793497,0,-0.00601343252112663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,-0.233769603264472,0,0,0,0,-0.0839365002332308,0,0,0,0,0,0,0,0,-0.090870845256267,0,0,0,0,0,0,-0.077607173086873,0.0145626104574514,0.170539154353001,0,0.289415708821857,0,0,0,0,0,0,0,0,0.0234430350619031,-0.049905585733573,0,0,0,0,0,0,0,0,0,0,0,0.204373852866493,0,0.0276180131530415,0,-0.0385394548610527,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078829709190596,0,0,0.0397436605527985,0,0.000245106311269886,0.194760953965844,0,0,0,0,0,0,0,0,0,0,0,0.0514446600127687,0,0.0680735840184002,0,0,5.42101086242752e-20,0,0,0,0,0,0.215754541496591,0,0,0,-0.00231711807122253,0.00107430334934862,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.143093170919659,0,0,0,0.0325133399765649,0,0,0.0684939897774311,0.134907365824255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362564300627171,0.0187222286932036,0,1.38777878078145e-17,0,0,0,0,0.0218387518486349,0,0.0139016251650587,0.0673678520721093,0,0.109316500175583,0,-0.0203465958395538,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0812568607906867,0,0,0,0,0.0910002610648576,0,0,0,0,0,0.0192117268116447,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174182421162377,0,0,0,0.124810856896364,0,-0.0245569494643344,0.0316189169574588,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.0831551028725887,0,0,0,0,0,0,0.0223254104086939,0.116898501362507,0.24393065028718,0,0.213266030408756,0,0,0,0,0,0,0.114105843411943,0,0.044442714827532,0,0,0,0.00194238619164384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.168715408217325,0.106160131249606,0,0,0.149571072198944,0,0,0,0,0,0.0304290905413628,0,0,0.197666160231663,0.0656140715204229,0,0,0,0.00924260464896691,0,0,0,0,0.0187766525294588,0,0,0.0784783113952603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0.172435811994759,0,0,0,0,0.0377606288507759,0,0,0,0,0,0,0,0,0,0,0,0.0309573790527676,0,0,0.0550184494527765,0.217891664861145,0,0,0,0,0,0,0,0,0,0,0,0.0306572306642747,0.0521622616606084,0,0,0,0,0,0,0.191455607360178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
