,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000063.SZ,X000725.SZ,X003816.SZ,X002371.SZ,X000625.SZ,X000596.SZ,X600031.SH,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X000100.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X002241.SZ,X601877.SH,X000157.SZ,X600584.SH,X000661.SZ,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X000733.SZ,X300142.SZ,X600460.SH,X000800.SZ,X002463.SZ,X002007.SZ,X601799.SH,X000066.SZ,X002028.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.427562500779935,0.0687421232036474,0,0.016847298635935,0.0193674217161426,0,0,0,0.114932691914051,0,0,-0.0768937639887325,-0.0410525040882746,0,0,0,0,0,0,0.0388209558412847,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144335984391198,0,0,0,0,-0.0278725739071714,0,-0.00366152004426091,0.00211632969957073,0,0,0,0,0,0
X000858.SZ,0.127748779295207,0,0.54856829681813,0,0,0,0,0.0745681339377464,0.0226484665611171,0,0,0,0,0.00175130124635553,0,0,0,0,0.00046302582210988,0,0,0,0,0,0,0,0,0,0,-0.0111951804998992,0,0,0,0,0,0,0,0,0,0.0978709778204204,0,0,0,0,0,0,0,0.064700161697003,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.499432829077097,0.316034178585482,0,0,0,0,0,0,0,0,0,0,-0.0117183933341519,0,0,0.031238102500227,0,0.0829037095091787,0,0,0,0,0,0,0,0,0,0,-0.0226905839525717,0,0,0,0,0,0,0,0,0,0,0.24870773085904,0,0,0,0,0,0,0,0,-0.0157728420268076,-0.034084800446951,0,-0.0104328433760455,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.193459437444099,0,0,0,0,0,0,0,-0.040960579616855,0,0,0,-0.0497340604791009,0,0.0647669001888601,0.105866599913427,0,0,-0.139736725815567,0.125986912024414,0,0.080317484607397,0,0,0.331835282599703,-0.0407600738951292,0,0,0,0,0,0.0270056572471667,-0.305099997039662,0.38895098802578,0,0,0,0,0,0,-0.0661698065381717,0,-0.00405085024233973,0,-0.0624518059358306,0,0,0,-0.042180103182666,0,0,0,0,0,0
X600809.SH,0,0,-6.93889390390723e-18,0,0,0,-0.10018042790077,0,0.356967190536531,0,0,0,-0.0290149360760051,0,0,0,0,0,0.0260734270537103,0.150846755103233,0,0,0,0.113921342269711,0,0,0,0.104323712457188,0,0,0,0,0,0,0,0.00394840990211913,0,-0.115202143579837,0,0.0433873243272888,0,-0.0266958162405524,0.143466978225656,0,0,0,0,0,0,0,0.0876871188083764,0.0853430388714561,0.0910153348598327,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.115672392205731,0,0,0,-0.233762401378083,0.156014044799826,0,0,0.17625089107231,0,0,-0.351802680959146,0.0646150128115813,0,0,0,-0.343688018112172,0.175899828213233,0,0,0,0,0,0.289538845024178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111087569546744,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0860391399540173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222838589258463,0,0,0.686876939069051,0,0,0.131560727208675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.202728875322749,0,0,0,0.011750633000964,-0.0144302737966086,0,0,0,0,0,0,0,0,0,0,0,0.0486523587744597,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0595698056876114,0,0,0,-0.0410467725317725,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221626488369169,0.242482845455609,0.005745515501718,0,0,0,0,0,0,0
X002304.SZ,0,0.131014699452061,0.347558306740609,0,0.0322208964285208,0,0,0,0,0,0,0,0,0.0475889359732275,0,0,0,0.0906926216333829,0,0,0,0,0,0,0,0,0,0,0.00570686441922901,0.00246396284562159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134813015398272,0,0,0,0,0,0,0
X000651.SZ,0.086575493426072,0.0579657397444575,0,-0.118581960933858,0,0,0.0206514520745336,0.441464685613598,0,0,0,0,0,0,0,0,0.0806576848082009,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158532970379777,0,0,0,0,0,0,-0.0561845795374249,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017905526734141,0,-0.000971422211200241,0,0,0,0,0,0,0
