,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X300014.SZ,X600104.SH,X000651.SZ,X000625.SZ,X002129.SZ,X300124.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X600522.SH,X601877.SH,X000661.SZ,X002180.SZ,X002074.SZ,X300142.SZ,X600741.SH,X600884.SH,X600460.SH,X000733.SZ,X000100.SZ,X600702.SH,X000799.SZ,X601799.SH,X000157.SZ,X600563.SH,X002176.SZ,X002236.SZ,X600584.SH,X600487.SH,X000800.SZ,X002056.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0377419412788556,0,0.178455408661083,0,0.0508277311210437,0,0,0.0973390038343503,0,0,0,0,0,0,0,0,0,0.0581844539145307,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025030580606937,0,0,0,0.019463072185102,0,0,0,0,0,0,0,0,0,0,-0.0180591191881431,0,0,0,0.000689594080501487,0,0,0,0,0,0,0
X000858.SZ,0,0,0.063254702442918,0.396936363725366,0,0,0.00311485283852011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00282398388152223,0,0,0,0,0,0.145576964596444,0.0664244812909416,0,0,0,0,0,0,0,-0.000577690034931626,0.0281496640247823,0.10155853319032,-0.0731246754406527,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.32947340476025,0.0186856163511172,0.163786008045897,0,0,0,0.00249941289222831,0,0,-0.0356201530788111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518845267470677,0,0,0,0.0464494740075377,0,0,0.169730664266217,0,0,0,0.032839325784485,-0.248153977054509,0,0,0,0,0,0,0,0.0091758198542801,0,0,0,0,-0.0110700849586447,0,0
X000568.SZ,0,0.187826837111017,-1.38777878078145e-17,0,0,0.0217394742999815,0,0,0.0399847704696737,0,0,0,0,0,0,0,0,0,0,0.0366281556486976,0,0,0,0,0,0.0308859162199528,0,0,-0.0104303692570309,0,0,0,0,0,0,0,0,0,0.435746222030788,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258548554830907,0,0,0,0,-0.0460053164947691,0,0
X002415.SZ,0,0,0,0,0,0.48305965921748,0,0,0,0,0,0,-0.14366173620422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00394999142656447,0.712030472508297,0,0,0,0.0864590173868874,0,0,0.133652817713338,0.0212994828678051,0,0,0,0,0,0
X002304.SZ,0,0.0989167419777523,0.0481974391650071,0.157184811787819,0.0244863688694627,0,0.037871711862317,0.00625204256774817,0,0,0,0,0,0,0,0,0,0,0.138535733239597,0.0137928753224455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10083718634828,0,0,0,0,0,0,0,0,0,0.00435045916225099,0,0,0,0,0,0,0,-0.0268156606899827,0,0
X600276.SH,0,0,0,0,0,0,0,0.193145332285958,0,0,0,0,0.0494907357661366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943274573737377,0,0,0.015022258237767,0,0,0.240952851296634,0,0,0,0,0.0925317822849274,0,0,0,0,0.103844557710738,0,0,0.0165757607090867,0,0,0,0.294896688654048,0,0.0632698172577732,0.0289100892835151,0,0,0,0.00362444218536282,0,0
X600690.SH,0,0,0,0,0,0.0350222516367065,0,0,0,0,0,0.0797982216371466,0,0,0,0.0729496893052853,0,0,0.15552359157196,0,0,0,0,0,0,0,0,0,-0.0247465078084226,0,0,0,0,0,0,0,0,0,0.0237990221786369,0,0,0,0,0,0,0,0,0,0,0,0,-0.00864577084279418,0,0,0,0,0.00916495681841477,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14446004544003,0,0,0,0.11860681811252,0,0,0,0.0404950579549409,0.0919519001991757,0,0,0,0,0,0,0,0,0,0,0,0.166818003723851,0.110876498207702,0,0,0,0.13061617882972,0,0,0,0,0,0,-0.0629028506313809,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131749086636537,0,0,0,6.93889390390723e-18,0,0,0,0,0.13565019112481,0.143505233517069,0,0.0364223924518188,0.0994390973773252,0,0,0.0950649966448432,0,0,0,0.0159520054348586,0,0.124498618719871,0,0,0,0,0,0.0366224803570191,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0126529576853439,0.060576465482631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175706906882372,0,0,0,0,0.0657920124271336,0,0,0,0,0,0,0,0.105272352123746,0.135512775554048,0,0,0,0,0,0,0,0,0,0,0
