,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600809.SH,X600690.SH,X600031.SH,X000725.SZ,X002304.SZ,X600104.SH,X002475.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300124.SZ,X300014.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X600741.SH,X000625.SZ,X002129.SZ,X002179.SZ,X300142.SZ,X002007.SZ,X002371.SZ,X601877.SH,X002236.SZ,X002049.SZ,X000799.SZ,X600584.SH,X002414.SZ,X600183.SH,X000800.SZ,X601799.SH,X600779.SH,X300003.SZ,X300146.SZ,X002008.SZ,X002074.SZ,X600089.SH,X000977.SZ,X600707.SH,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.258813424126928,0,0,0,0.0296805482672182,0,0,0,0,0.0841605940740288,0,0,0.0480260542190396,0,0,0,0,0,0.0128732362595946,0,0.0299548640504739,0,0,0,0,0,0,0,0,-0.125786468440165,0,0,0,0.0997893829179139,0,0,0,0,0,0.121781744519989,0,0,0,0,0,0,0,0,0,0,0.0123473727015945,-0.0326483341702763,0,0,0,0,0,0
X000858.SZ,0.113486178890289,0,0,0,0,0.232578318885739,0.125736511990811,0,0,0,0.101995654749476,0,0,0,0,0,0,0,0,0,0.083254809954682,0,0,0,0,0.0360601884597376,0,0.0223963091046691,0,0,0,0,0.0604200954675172,0,0.156373858165946,0,0,0,0,0.0130004265685212,0,0,0,0,0.0544139836172444,0,0,0,0,0,0,-0.0121102772620087,0,0,0,0,0.0140204226374329,0,0
X002415.SZ,0,0,0,0,0,0.0529219068285196,0,0,0,0,0.106940929419952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265623760152781,0,0,0.307456233720754,0,0.0943779205069362,0,0.0117153441670687,0,0,0,0,0,0,0,0,0,0,-0.0435556545522599,0,0.0401905731218089,0,0.0516528916270606,1.0842021724855e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0985595453697852,0.0819582092655883,0,0,-3.46944695195361e-18,0,0,0.0357681496068854,0,0,0,-0.10251355863176,0,0,0,0,0.0289023069048505,0,0,0,0,0,0.227606617316561,0.0573632044517524,0,0,0,0,0,0,-0.0230836960432914,0,0,0,0,0,0,-0.124404736324332,0,0,0,0,-0.00570315710427928,0,0,0,0.00121423509650487,0.0159451795805942,0,0,0,0.0422805795533965,0,0
X000651.SZ,0,0,0,0,0,0,0,0.131510219754079,0,0,0.015677719625888,0,0,0,0,0,0,-0.0393705338696064,0,0.257051504933783,0,0.0239294148546432,0,0,0,0,0,0,0,0,0.0077361340503204,0,0,0,0,0,0,0,0,0,0,0,-0.0451226728262259,0,0,0.00860744456993177,0,0,0,0,0,-0.0151983023358656,0,0,0,0,-0.0195984539119085,0,0
X000568.SZ,0,0.453252529210819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933786275863592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205668004695889,0,0,0,0,0,0.1570345076575,0,0,0,0,0.0176272556754222,0,0,0,-0.0139507206694211,0,0,-0.043209022398471,0,0,0,-0.0105831336654524,0,0
X600809.SH,0,0,0,0,0,0.0796192389439634,0,0,0.218657522040716,0,0,0,0,0,0,0,0.0725341683121303,0.11011620368616,0,0,0,0,0,0,0,0,0,0,0,0,0.119999484706753,0,0,0,0.276898915209014,0,0,0,0,0,0.122013735611761,0,0,0,0,0,0,0,0,0,0,0,-0.0559789518395428,0,0,0,-0.0110048810531179,0,0
X600690.SH,0,0.17754973542347,0,0,0.204932498671056,0,0.119150147577733,0,0,0,0,0,0,0.146480789875867,0,0,0,0,0,0,0,0,0,0,0.166229120423276,0,0,0.128374844581284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152953433833275,0,0,0,0,0,0,0,0,-0.0198346049274161,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151162640519493,0,0,0,0,0.112841837549676,0.0920058477477742,0.112535958783165,0,0,0.280461398878505,0.23313080692312,0,0,0,0,0,0.115616888591821,0,0,0,0.0238490403319454,0,0.0613100637595412,0,-0.0483016536987446,0,0,0,0,0,0.0321873007589366,0,0.069117059638066,0,-0.0312149626173686,0,0,0,0,0.00376253251696709,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219995778529154,0,0,0,0,0,0,0.0249828365337371,0,0,0,0,0,0,0,0,0.14546304678035,0.10716481469483,0,0,0,0,0,0,0,0,0.0263771913391509,0,0,0,0,0,0,0.0539948763945229,0,0,0,-0.0639194574546919,0,0
