,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X002241.SZ,X000100.SZ,X000338.SZ,X002236.SZ,X601877.SH,X600118.SH,X600271.SH,X600177.SH,X002085.SZ,X002456.SZ,X000157.SZ,X600372.SH,X002007.SZ,X300124.SZ,X600699.SH,X300003.SZ,X600867.SH,X002294.SZ,X000559.SZ,X002292.SZ,X600089.SH,X002180.SZ,X600522.SH,X002426.SZ,X002074.SZ,X002506.SZ,X000623.SZ,X002508.SZ,X600498.SH,X000536.SZ,X000547.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0736929075474909,0,0.154078714490849,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.143126027340109,0,0,0,0,0,0,0,0,0,0,0.00958910617049668,0,0.00382382737787162,0,0,0,0,0,0,0,0,0.0945688535488052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,-0.0326395610664071,0,0,0,0,0,0,0,-0.0410418098728316,0,1.04803057930937,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550568086366754,0.0232946041681451,0,0,0,-0.140561895043023,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284356570918789,0,0,-0.0333893763003574,0,0,0,1.0842021724855e-19,-0.00759721066506581,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0868956231487689,0,0,0,0,0,0.505141839019522,1.03954313446958,0,0,0,0,0,0,0,0,0,-0.00174018184585738,-0.0513678777115973,0,0,0,0,-0.0202584673859717,0.0696606822296807,0,0,-0.132529399527028,-0.202033070070546,0,0,-0.175795653886918,0,0,0,0.185322519934432,0,0,0,0,0.23140773387157,0,0,0,0,0,-0.0825583547871771,0.044005214204001,0,0,0,0,0,0,0
X002415.SZ,0,0,0.0797177989396918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943041309588508,0,0,0,0,0,0,0.0314930169924749,0,-0.0912622962390533,0,0.0536039422210766,0,0,0,0,0,0,0.0828742563219951,0.276585706199809,0,0,0,0,0,0,0.0024348289081307,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.12366820033516,0,0,0.135687890063541,0,0,0.418512476644198,0.124588509487977,0,0,0,0,0,0.0309445011771878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322897128397249,0,0,0.0121308836836398,0,0,0,0,0,0
X000725.SZ,0,0,0.106277630196192,0,0,0,0,0,0,0.0929811954634253,0,0,0,0,0,0,0,0.120435804139225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237134971032989,0.134053163293669,0.0236084381363425,0,0,0,0,0.26285049697278,0.0287917890377745,-0.00981448298684208,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803486370120413,0,0,-0.0225770946323073,0,0,-0.0410791466778719,0,0,0,0,0,0,0,0,0,0.0168704996439694,-0.0390948808839794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.120568771804483,0,0,0.0116176224356402,0,0,0,0,0,0
X002304.SZ,0.0841978585570014,0.0223868352558754,0,0,0,0,0,0,0,0,0,0,0.218660420922183,0,0.247325633995082,0.152899157792397,0,0.0535402262991865,0,0.0374765322830058,0,0,0,0,0,0,0,0,0,0,0.0335525544856269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149230803906043,0,0.00640019860652924,0,0,0,0,0,0
X000625.SZ,0,0.237832579897167,0.0965343037981228,0,0.273982381990126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00885381500853595,0,0.0922594718106346,0,0,0,0,-0.0845666061062291,0.0301231363897734,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0133947771292458,-0.0076513193927037,0,-0.0138762684225209,0,0,0,0,0,0
X000063.SZ,0,0.0490444109589497,0.100957461206205,0,0,0,0,0,0,0,0,0,0,0.0843788257857159,0,0,0,0,0,0.0984886361215079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15416481934534,0,0,0,0,0,0,0.00666119750073999,0,0.171963112792023,0,0,0,0,-0.0253368849104965,0,-0.00147954319153921,-1.35525271560688e-20,0,0,0,0,0,0
X600690.SH,0,0,0.236978971736706,0,0,0,0,0,0,0,0,0,0,0.0339671223706456,0.0545735093376634,0,0,0,0,0,0,0,0,0,0,0,-0.147794348794507,-0.0863018578396148,0,0,-0.0496782375423988,0,-0.0378125934958441,0,0,0,0,0,0,0.164217378938641,0,0,0.0640557131717325,-0.102133604297152,0,0,0,0,0,0,0.0107924098589329,-0.0217384762267004,0,0,0,0,0,0
