,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X000063.SZ,X002371.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X600031.SH,X000596.SZ,X002129.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000977.SZ,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X002241.SZ,X601877.SH,X000661.SZ,X600584.SH,X000157.SZ,X600741.SH,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X000066.SZ,X000733.SZ,X300003.SZ,X600460.SH,X300142.SZ,X002463.SZ,X000988.SZ,X002007.SZ,X300146.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.242486423783033,0,0,0.0257593082002252,0.0176875447054431,0,0,0,0,-0.0454414641647443,0.0323957446073432,0,0,0,0,0,0.043855143317957,0,0.0547530979530455,0,0,0,-0.0221308394768015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282681737490073,0,0,0,0,0,0,0,0,0.0321119584766778,0,0,0,-0.0557012938909894,0,0,0,0,0,0
X000858.SZ,0,0,0.199403354152879,0,0,0.0758411333055134,0,0,0,0,0,0,0,0,0,0,0.0785233281851458,0.0920435734361976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117611344114884,0,0,0,0,0,0,0,0,-0.0513406944014603,0,0,0,0,0,0
X000568.SZ,0,0.275376417279026,0,0,0,0.107142357048225,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0142637486719315,0,-0.0714056122008259,0,0,0.117850764588232,0,0,0,0,-0.0154875380538392,0,0,0,0,0,0.0555363144931338,0,0,0,-0.00341321097526462,0,0,0,0,0,0,0,0,-0.0126951303556162,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0899591990830326,0,0.0196062427648043,-0.0908089397439253,0,0,0,-0.0861256107831773,0,0,0,0.234375542907726,-0.0860444820742836,0,0,0.253567949989635,0,0,-0.0048133499223587,0,0.281854154457946,0,0,0,0,-0.0275764942749109,0,0,0,0,0,0,0.0794024566682076,0,0,0,0,-0.146677202989116,-0.0781768426563832,0,0,0,0,0.0191023091836678,-0.0321958738914664,0,0,0,0,0,0
X600276.SH,0,0,0,0.185503449495448,0,0,0,0,-0.0327091429243719,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.132323842930042,0,0,-0.106365647231542,0,0.0163321545533529,0.0699075661895901,0,0.0683079450945852,0,0,0,0.00951047559623008,0,0,0,0.0656606252136496,0,0,0,-0.0245735819950428,0,0,0,0,-0.356337390015941,0.128155559964403,0,0,0,0,0.0311956003280641,0,0,0,0,0,0,0
X600809.SH,0,0,0.124764062298352,0,0,0,0,0.0868113130938067,0,0.113683085604762,0,0,0,0,0,0,0,0,-0.07396269744887,0,0,0,0,0.106323037230075,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217314094992478,0.079510798761176,0,0,0,0,0,0,0,0,-0.424116787066724,0,0,0.421152729922658,0,0.0147505625969076,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.198358841914233,0,0,0.384606283695824,0,0.164564020393236,-0.0447269797276882,0,0,0,0.223969203169855,0,0.0157225884980484,-0.24654410779567,0.0235939152899483,0,0,0,0,-1.73472347597681e-18,0,0.048125674202445,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0.00183396588479084,0,0,0,-0.202458766051216,0,0,0,0,0,-0.0260852407253657,0,0,0,0,0.0735966958715722,0,0,0,0,0,0,0
X002304.SZ,0,0.324231096144382,0.105068814890406,0,0,0,0.0467569700352972,0,0,0.073311339715754,-0.0159410374283272,0,0,0,0,0,0.0065250281156974,0,0,0,0,0,0,-0.00252102007229484,0,0,0,0,-0.121102461566202,0,0,0,1.73472347597681e-18,0.0380368345627315,0,0,0,0,0,0.171048384389531,0,-0.0152835199084701,0,0,0,0.0302140739466685,0,0,0,0,0,0,-0.00908814325142487,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0614680976736234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60177154081007,0,0,0.019747924061852,0,0,0,0,0,0,0,0,0,0,0,0,0.215314578939746,0,-0.0759005519042503,0,0,-0.0251805612041335,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.0551748741171687,0,0.347052500776018,0,0,0,0,0,0,0,0,-0.558657519304639,0,0,0,0,0.0290850958796976,0,1.73472347597681e-18,0.0559189404562392,0,0,0,0,0,0,0,0,0,0.185194034611206,0.0804234760226391,0,0,0,0,0,0.0740976334165958,0,0,0,0,0,0,0,0,0,0,0,0
