,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X002241.SZ,X600066.SH,X000100.SZ,X002292.SZ,X600177.SH,X600031.SH,X002236.SZ,X000568.SZ,X600118.SH,X002475.SZ,X000559.SZ,X002506.SZ,X600372.SH,X002074.SZ,X000157.SZ,X300003.SZ,X000338.SZ,X300124.SZ,X000050.SZ,X002456.SZ,X002426.SZ,X002085.SZ,X002007.SZ,X002249.SZ,X002294.SZ,X600867.SH,X600089.SH,X000869.SZ,X002180.SZ,X002049.SZ,X000981.SZ,X002179.SZ,X002465.SZ,X600699.SH,X002008.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.166403075231213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123391151559347,0,0,-0.0480400216835396,0.00364870591147327,0,0,0,0,0,0,-0.145138541069018,-0.0237627413936799,0,0,0,0,0,0,0.178453286798868,0,0,0,0,0,0.0215204122946906,0,0,0,0.00356875365172077,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.165218819953191,0,0.1652294343345,0,0.0609509480349389,0,0,0,0,-0.0139103310753159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335371346401926,0,0,0.0910180295398683,-0.0324763760434101,-0.00213532670925316,0.064718584918665,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0640963874396891,0,0,0,0.095074506302589,0,0,0.0996498337596941,0,0,0,0,0,0,0,0,0,0.0453220514555465,0,0,0,0,0.0116567054356311,0.0686648326358548,0,0,0,0.132880772768104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.104342482016338,0,0,0,0.264093079624414,0,0,0,0,0.0231803371803177,0,0,0.0538015667251331,0,0,0,0,0,0,0,0,0,0,0,0.0345195858228392,0,-0.0102078312993037,0,0,0,0,0,0,0.0632463730394617,0,0,0,0,0,0,0.0778992098249869,-0.0682824348270747,0,0.0645310288446114,0,0,0,0,0,0,0.00254559852830205,0,0,0,0,0,0,0
X002304.SZ,0.0851344835480627,0,0,0.435583134492223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212603743808802,0,0,0,-0.0875155477715712,0,0,0,0,0,0,0,0.00806927801300235,0,0,0.138711506022184,0,0,0,0,0,-0.0765076905698108,0.133859569775111,0,0.144152451988891,0,-0.0749025616950972,0.0691916287938013,0,0,0.0115492997969632,0,0,0,0,0,0,0
X600276.SH,0,0.341130642556772,0,0,0,0,0,0,0,0.0133170954314126,0,0,0,0,0.143252862646354,0,0,0,0,0,0,0,0,0,-0.0306476742657994,0,0.101522944274426,0,0,0,0,-0.00996463634878282,0,0,0,0,0,0,0,0,0,-0.0303026739657813,0.018221480589304,-0.0250207644818625,0,0,0,0,0.156412689229661,0,-0.00985792666894827,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813646136945171,0,0.0237537815627354,0,0,0,0,0.133137195189517,0.127644521709524,0.0409870291223223,0,0,0,0,0,0.0476887078928713,0.026925206260386,0,0,0,0,0,0,0,0,0,0,0.0410180865674082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.250311508403396,0,0,0,0,0.0621777129681144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00810447346793926,0.0332783358290301,-0.0898771549877172,0,0,0,0,0,0.258007945008769,0,0,0,0,0,0,0,0,0,0,0,0.0445652467096295,0,0,0,0,-0.0381874635188691,0,0.10262140362133,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.260577993810497,0,0,0,0.104410999135696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437272901657248,0.068538223352577,0,0,0,0,0,0,0,0.0564513699517425,0,0.0464275122883379,0,0,0,0,0,0,0,0,0.0503407382714077,0.0484631604935839,0,0,0.00475685071228449,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.0378659083277472,0,0,0,0,0,0,0,0,0.00804993277645032,0,0,0,0,0,0,0,0,-0.123605733573462,0,0,0,0,0,0,0,0,0,0,0.0185202342955046,0,-1.0842021724855e-19,0,0,0,0,0,0.477551241882354,0.121356089171953,0,0,0,0.0409021255893286,0,0.0352047594739743,0,0,0,0.00802992307770333,0,0,0,0,0,0,0
