,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X000651.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X003816.SZ,X002241.SZ,X000063.SZ,X000596.SZ,X000625.SZ,X000100.SZ,X600703.SH,X300142.SZ,X000157.SZ,X002371.SZ,X002179.SZ,X002129.SZ,X002049.SZ,X000799.SZ,X600741.SH,X002007.SZ,X002236.SZ,X601877.SH,X300146.SZ,X600702.SH,X600779.SH,X002414.SZ,X600584.SH,X300003.SZ,X601799.SH,X600183.SH,X000800.SZ,X600460.SH,X000066.SZ,X600089.SH,X002074.SZ,X000977.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.458675290204119,0,0,0,0,0,0,0,0,0,0,0,0,0.258380996692084,0,0,0,0,0,0,0.0217923414351688,0.00744265902954292,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175311296585515,0,0,-0.0514830426777719,0,0,0,0.00760413902446648,0,0
X000858.SZ,0,0,0,0.105853428958255,0.419368655052958,0.0976641499656907,0,0.0547734735152778,0.0272209973407861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368057778375618,0,0,0.132674603834265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0154528004254359,0,0,0.0656594564884686,0,0,0,0,0,0,0.0063209535207301,0,0,0,0,0,0.174571168512562,0.066706379814899,0,0,0,0,0,0,0.005484433558193,0.0690043110926698,0,0,0.00773560408618831,0,0,0,0,0.00689386702190046,0,0,0.0316992380270812,0,0,0.0878033898889248,0,0,0,0,0,0,0,-0.0354694119740744,0,0,0,0,0,0
X600276.SH,0,0.0519705605778784,0,0,0.132330680979276,0,0,0.0759621795637195,0,0,0,0,-0.0709529590296383,0,0,0,0,-0.117736513522815,0,0,0,0,0,0,0,0,0,0,0,0.0205748718886091,0,0,0,0,0,-0.106407862562585,0,0,0,0,0,0.170009827346925,0,0,0.00853578728250301,0,0,0,-0.0475147285367188,0,0,0.122687985187324,0,0,0,0,0.00607984755957217,0,0
X000568.SZ,0,0.730039783597993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162492100622549,0,0,0,0,0.0431102453433151,-0.0253243152785199,0,0,0.112184073859978,0,0,0,0,0,0,0,0,0,0,0,0,0.0515997279006081,0,0,0,0.0111852422345768,0,0,0,0,0,0.0377931344138017,0,0,0,0,-0.0481638686105345,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102271218552813,0,0,0,0,0,0,0,0,0,0,0,0,0.19887897350599,0,0,0.0838465246805756,0.453527634295136,0,0,0,0,0,0,0.0406863499637368,0.0618506013443209,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0840965673793706,0,0,0,-0.0378478593340241,0,0
X000651.SZ,0,0,0,0,0,3.46944695195361e-18,0,0,0.0349379500169467,0,0,0,0,0,0.0719718869195693,0,0,0,0,0,0,0.00737969786024967,0.200556758263702,0,0,0,0,0,0,0,0,0.0815285578052855,0,0,0,0,0.0648261732377633,0.0401698213130379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0
X002304.SZ,0,0.229206135788069,0,0,0.249120872915066,0.0160802428505972,0.0222858229548412,0,0.143178029272828,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0124227966176212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00228141792211633,0,0
X600690.SH,0,0.0156791238350077,0.119426506864544,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.028362732864482,0,0,0.0799344400973433,0,0,0.0724648008704317,0.389259595106499,0,0.170194413633501,0.0137834818426323,0,-3.46944695195361e-18,0.0563057324818285,0,0,0,0,0,0,0.0971189759788993,0,0,0,0,0,0,0,-0.0990832420406301,0,0,0,0.0261917238360821,0,0
X002475.SZ,0,0,0,0,0,0,0.100277412250336,-3.46944695195361e-18,0,0,0,0,0,0,0.0533360306763071,0.0778743616729921,0,0,0.348168731201467,0.0620257921435221,0,0,0.119009229743105,0,-0.0275126058778144,0,0,0,0,0,0,0,0,0,0,0,0.0267915756394031,0,0,0,0,0,0,0,0,0,0,0.0518694337541647,0,0,0,0,0.13427682949153,0,0,0,-0.0167638590167236,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253944873472665,0.116829721230461,0,0.0989757550578927,0,0,0,0,0.0420893041673602,0,0,0,0.165007830195685,0,0.222800762545678,0,0,0,0,0,0.108982299589512,0,0,0,0,0,0.0847933196602001,0,0,0,0,0,0,0,0,0,-0.0118404950076411,0,0,0,0,0.0114143606629549,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.062659834134453,0,0,0.0702671531652449,0,0,0,0,-0.0720129767420266,0,0,0,0,0,0.0185796269458294,0,0,0,0,0,0,0,0,0,0.07229583649587,0,0,0,0,0,0,0.0813747800465463,0,0,0,0,0.0720656801230852,0,0,0.0653391923389715,-0.00683747897022247,0,0,0,-4.33680868994202e-19,0,0
