,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002304.SZ,X000651.SZ,X600690.SH,X002475.SZ,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X003816.SZ,X002241.SZ,X000625.SZ,X000596.SZ,X600703.SH,X000100.SZ,X002371.SZ,X300142.SZ,X000157.SZ,X002129.SZ,X002179.SZ,X002049.SZ,X000799.SZ,X600741.SH,X600702.SH,X002007.SZ,X002236.SZ,X600779.SH,X601877.SH,X300146.SZ,X600584.SH,X002414.SZ,X300003.SZ,X601799.SH,X600183.SH,X000800.SZ,X600460.SH,X002074.SZ,X002508.SZ,X600089.SH,X000977.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0.0355769468786806,0,0,0,0.110975795008682,0,0,0,0,0,0,0,0,0,0,0.0308555492103531,0.0127685542137278,0.0106629302534842,0,0.0151069001233207,0,0,0,0,0,0,0,0,0,0,0,0,0.0482821505333048,0,0,0,0.112764929609901,0,0,0,0,0,0,0,0,0,0,-0.0100503598152268,0,0
X000858.SZ,0,0,0,0.0775814572354498,0.0411481650835181,0.365680634899979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638980466977421,0,0,0,0,0,0,0,0,0.0869402859088219,0,0.0762313497624521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604661699621254,0,0,0,0,0,0.00736110930166693,0,0,0,0,-0.0093898166760768,0,0
X002415.SZ,0,0,0,0,0.00517878360470526,0,0,0,0,0,0,0,0,0,0,0.0468247387664297,0,0,0,0,0.17169187964726,0,0,0.015383428176182,-1.73472347597681e-18,0,0,0,0,0.027367041197761,0.0668817698578616,0,0,0,0,0,0.10626482036366,0,0.0205111893806754,0,0,0.00974986401678599,0,0,0.0807263406018842,0,0,0,0,0,0,-0.0243306740552617,0,0,0,0,0.00482477793762105,0,0
X600276.SH,0,0,0,0,0,0.00460012532855209,0.133362520229529,0,0,0.0818195320354251,0,0,-0.0899197687071864,0,0.0216313386029117,0,0,0,0,0,0,0,0,0,0,0.00371157341666423,0,0,0,0.197416687379017,0,0,0,0,0.152076118066628,0,0,-0.141342380435212,0,0,0,0.0786766431985972,0,0,0,0,0,0,0,0,0,0.162332507320977,0,0,0,0,0.0238920746556896,0,0
X600809.SH,0,0,0,0,0,0.0673181882759673,0,0,0,0,0,0,0,0,0,0.0334748603900447,0,0,0,0,0.00150348508674489,0.0228366782524706,0,0,0,0.0244966133453964,0,0,0.0137157655310889,0,0.416349514017261,0,0.0605758544907276,0,0,0,0,0,0,0,0,0.121511395370789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0736344165081605,0,0
X000568.SZ,0,0.33690929893677,0,0,0.0724465048706614,0,0,0,0,0,0,0,0,0,0,0.0278495771699762,0,0,0,0,-0.047943467966394,0.138651165123178,0,0,0.110629555053036,0.0350517118681275,0,0,0,0,0,0,-0.0284619664910012,0,0,0,0,0,0,0,0,0.134747971292867,0,0,0,0.23041944494629,0,0,0,0,0,0,-0.0421701491377392,0,0,0,0,0,0
X002304.SZ,0,0,0,0.266112964321145,0.101887564032912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254476241099991,0,0,0.0613502248326212,0,0,0,0,0.00109036986428761,0,0,0,0,0.0379841275585067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108781401884448,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0557870062501873,0,0,0,0,0,0,0,0,0,0,0,0,0.0598005526959475,0.0160297550105659,0,0,0.244011206862553,0,-0.00761024788624694,0.00982691702988695,0,0,0,0,0,0.0585724559738226,0,0,0.0236433984195001,0,0,0,0,0,0,0,0,-0.0518862043283304,0,0,0,0,0,0,0,0,0,0,0,-0.00602502800657983,0,0
X600690.SH,0,0,0.0242523840202953,0,0,0,0,0,0,0,0,0,0.114514337607764,0,0,0.0530860596221032,0,0,0,0,0,0,0,0,0.0434658985597911,0,0,0,0,0,0.00750242776864109,0,0,0,0.0547593731391669,0.127058330490192,0.30553458345122,0,0,0,0,0,0,0,0.0296280570199461,0.0778441789808408,0,0.0529727894703215,0,-0.0827224616309413,0,0,-0.00381217757478273,0,0,0,0.0224682408257239,0,0
X002475.SZ,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0239078908071641,0,0,0,0.0388490015171727,7.84558296762466e-05,0,0.25036632632111,0,0.132784981985332,-0.116559422248206,-0.0647931978926669,0.170022883373379,0.193711361425288,0,0,0,0.111393654980078,0,0,0,0,0,0,-0.0346220713116591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579322493952253,0,0,0,-0.0518374262304695,0,0
