,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X000651.SZ,X600104.SH,X600690.SH,X600031.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000661.SZ,X000338.SZ,X000063.SZ,X002241.SZ,X000625.SZ,X600703.SH,X003816.SZ,X002371.SZ,X000596.SZ,X000100.SZ,X002129.SZ,X300142.SZ,X002049.SZ,X002179.SZ,X600741.SH,X000799.SZ,X000157.SZ,X600460.SH,X601877.SH,X002007.SZ,X600584.SH,X600702.SH,X002414.SZ,X002236.SZ,X600779.SH,X601799.SH,X300146.SZ,X300003.SZ,X600183.SH,X000800.SZ,X002074.SZ,X600089.SH,X000066.SZ,X002508.SZ,X002185.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.0840626868808035,0.087088125240268,0.00944990374807482,0,0,0,0,0,0,-0.0134769183222483,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0414768355143566,0,0.0131748656673098,0,0,0.128772797688515,0,0,0,0,0,0.0549382223478313,0,0.0480181999024217,-0.145281569584011,0,0,0,0.0210870231353054,0,0,0,0,0,0
X000858.SZ,0,0,0,0.18094794626808,0,0.408210655125447,0,0,0,0,0,0,0,0,0,0,0,0,0.0572851700265209,0,0,0,0,0,0,0,0,0,0.0104027792332701,0,0.155562846211797,0,-0.0371794444255339,0,0,0,-0.00399574910989256,0,0,0,0,0.0120244787168021,0,0,0,0.0324119252048901,0,0,0,0,0,0.000179412011775797,0,0,0,0,-0.00219611724830137,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0638402070770618,0,0,0,0.0199871009593631,0,0,0,0,0.0841113172475037,0,0,0,0,0.0721234149512472,0,0.0064565958960536,0,0,0,0.040051131684032,0,0.0859434700033437,0,0,0,0.0101576855577453,0,0,0,0,0,0,0,0,0.0584160129635991,0,0.0187541506708226,0,0,0,-0.0239394206803981,0,0,0,0,0.0157977860900695,0,0
X600276.SH,0,0,0,0,0,0,0.0341053728537736,0.0981864954466272,0,0,0,0,-0.0343043504160355,0,0,0,0,0.0517943119196823,0,0,0,-0.0711647910644956,0.0158864047667405,0,0,0,0.0349980991051938,0.0911039724503353,0,0,0,0,0.00107830939489996,0,0,0,0.0302772498926514,0.0579655745355543,0,0,0,0,0,0,0,0,-0.090647764244833,0,0,0,0,0.153264297275732,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.194286301327913,0,0.121711649152457,-0.236585657656021,0,0,0,0,0,0.113074283747772,0,0,0,-0.0930145829262954,0,0,0,0,0,0,-0.0133579653257469,0,0,0,-0.0780810686560324,0.486467597386984,0,0,0,0,0,0.00522522519745055,0,0,0.0524192253989805,0,0,0,0,0,0,0,-0.0498439392541624,0,0,0,0,0.0864137591147859,0,0,0,0,0,0
X000568.SZ,0,0.0720992936249768,0,0,0.0142299061867827,0,0,0.298111596915421,0,-0.0316551458270027,0,0,0,0,0,0,0,0,0,-0.0191476554086747,0,0,0,0.224488392880236,0,0,0,0,0,0,0,0,0,0,0,0.0414133398553048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125525295702294,0,-0.0519181895592721,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.126090210715058,0,0.0762467214464921,0.0139489556926836,0,0,0,0.0571419146412703,0,0.397548023654641,0,0,-0.135365057185981,0,0.102354728269204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144619635954248,0.0215323304700167,0,0,0,0,0,0,0,0,0,0,0,-0.0260040241347215,0,0,0,-0.0145921797492165,0,0
X002304.SZ,0,0,0,0,0.07290554683484,0,0,0,0,0,0,0,0,-0.148261868840008,0,0,0,0,0,0,0.531238511277269,0,0,0.0112563823659232,-0.109129299401561,0,0.0898062660512866,0,0.108211098180128,0,0,0,0,0,0,0,0,0,0,0.0642036347983126,0,0.218178351443439,0,0,0,0,0,0.00430754579023253,0,0,0,-0.26275697088926,0.17582338904811,0,0,0,0.00684467502034167,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.186248245126566,0,0,0.127238690572474,0,0,0,0,0,0.0407123878103858,0,0,0.111211548472901,0,0,-0.0133862827777986,-0.0553543533687621,0.0394268985972612,-0.0750775986593546,0.0562811693648314,0,0,0,0,-0.0379637283278162,0,0.0325922832807113,0,0,0,-0.0371043307591471,0,0,0,0,0,0,0,0,0,0,-0.0298238795735672,0.0819545333459465,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0740271860934197,0,0,0,0,0,0,0.0226837442405887,0.0365134694293518,0,0,0,0,0.0663049015576713,0,0,0,-0.176793796915677,0,0,0.0325622989369743,0,0,0,-0.0535924715605026,0,0,0,0,0,0.114264535855245,0,0,0,0,-0.0238058028036817,0.125117741285997,0,0,0,0,0,0,0,0,0,0.0559143321115564,0,0,0,-0.00390056965620858,0,0
