,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000338.SZ,X300014.SZ,X002179.SZ,X002129.SZ,X000100.SZ,X600703.SH,X002236.SZ,X600089.SH,X600372.SH,X002049.SZ,X002241.SZ,X600741.SH,X000157.SZ,X000661.SZ,X600584.SH,X600522.SH,X601877.SH,X601799.SH,X000977.SZ,X000800.SZ,X002007.SZ,X002074.SZ,X600183.SH,X002028.SZ,X002463.SZ,X600702.SH,X300142.SZ,X002456.SZ,X000066.SZ,X002223.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0565611431253645,0,0.184111137353419,0.257340935266044,0.00277874307017685,0,0.0653249204669869,0,0,0.174551269139694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0913831349035506,0,0,0,0,0,0,0,0.0921994234596138,0,0,0,0,0,0.100418944371306,0,0,0,0.0749861285868471,0,0,0,0,0.041492652278518,0.00685506431552293,0,0,0,0,0,0
X000858.SZ,0.0695906911055101,0,0,0.133070011831039,0,-0.0292767605649297,-0.108740423343948,0,0,0,0,0,0,0,0.136724168498658,-0.0170315615026814,0.186472994977659,0,0,0,0,0,0,0,0,0,0,0,-0.0900438835065355,0,0,0,0,0,0,0,-0.123852792896402,0.0893602059442313,0,0,0,0,0.0764212754210475,0,0.130833640015614,0.144938935152609,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.121891512539692,0.0153479392226207,-0.181224178814814,0,0,0,0,0,0,0,0,0.0476254656896282,0,0,0.0466952993462265,0,0,0,0,0.0969540303537447,0,0,0.185056869109376,0,0,0,0,0,0,0,0,0,0,0,0.0524433973954442,0,0,0,0,0,0,0.093018580240171,0,0.0411644614137015,0,0,0,0,-0.010264673112205,0,0,0,0,0,0,0
X000568.SZ,0.307289980892014,0,0,0,0.115839658074812,0,0,0,0,0,0,0,0,0,0,0,0.309168840760906,0.0150713103525043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121639198328974,0,0,0,0,0,0,0.0138080180719946,0.00268530901124159,0,0,0,0,0,0
X600809.SH,0.0104184795634818,0,0,0.83443841619627,0,0,0,0,0,0,0,0.0236401187945068,0,0,0,0,0,-0.0150327444008928,0,0,0,0,0,0,0,0.131358920969929,0,0,0,0,0,0,1.0842021724855e-19,0,-0.122225609841848,0,0,-0.0692375496544074,0,0,0,-0.0537658403548648,0,0,0.0483651154566846,0,0,0,0,0.0712090571129654,0,0.0315815633678848,-0.0724258907519619,0.0228653984981024,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0320300161859992,0,0,0,0,0,0,0,-0.227091636868692,0,0,-0.214112665899189,0,0,0,0,0.120384420264877,0,0,-0.36129679927008,0,0,-0.0801970579232858,0,0,0,0.703538089422953,0.0508459018585946,0,0,0,0,0,0,0,0,0,0.16988125910209,0,0.00824809694067172,0,0,0,0,0,-0.0215790209901621,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.186004916059578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497803310801962,0,0,0,0,0,0,0,0,0.0387877738694501,0,0,0,0,0,0.0465003837642353,0,0.0465614062296873,0.332791814738238,0,0,0,0.0610708431389526,0,0.0759621343254424,0,-0.106330222692145,0.128077564197467,0,0,0,0,0,0
X600690.SH,0.0541751945200814,0,0.0391317061443517,0,0.00106674383957135,0,0,0,0,0,0,0.0346821548399917,0,0,0.0388935537123367,0,0,0,0.202822366189278,0,0,0,0,0,0,0,0,0,0,0,0,0.0556881292176955,0,0,0,0,0,0,0,0,0.0509182917733926,0,0,0.033053883815851,0,0,0,0,-0.0107703892622891,0,0,0,0.00864453104904403,0,0,0,0,0,0
X000651.SZ,0.00726301301688695,0.0740677459792064,0,0,0,0,0.109907277116381,0,0,0,0,0.189515970239652,0,0,0,0,0,0,0.235227363390769,0,0,0,0.0342616856103643,0,0,-0.10319410833014,0,0,0,0,0,0.0916543216071726,0,0,0,0,0,0,0,0,0,0,0,0,-0.0692550970366677,0.162674863863128,-0.0254775347136114,0,0,0,0,0,-0.0315400735074389,0,0,0,0,0,0
X002304.SZ,0,0,0,0.155882762459705,0,0,0,0.021525759103256,0,0,0,0,0,0,0.265280998827234,0.0403334040118994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00524256801621367,0,0,0,0,0,0.0591175663966602,0.135996021828071,0,-0.119337399793277,0,0,0,0,0.0033094467522958,0,0,0,0,0,0,0
X600104.SH,0.111775215271831,0,0,0,0,0,0,0,0,0.0939365655971559,0,0,0,0,0.0955671099342912,0,0,0,0,0.202075450217849,0,0,0,0,0,0,0,0,0,0.0262716288620898,0.0659630427149497,0,0,0,0,0,0,0,0.129138513774895,0,0.00977602978568835,0,0.0366364224208928,-0.0271066111600921,0,0,0,0,0,0,0,-0.00442718775750769,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.302337101815652,0,0,0,0,0,-0.0183155324356475,0,0,0,0,0.0909266963111536,0.0116723567018819,0,0,0,0.0185306615172015,0.047812053507857,0,0,0,0,0,0.0979093668055494,0,0.0414659118639669,0,0,0,0,0,0,0,0,0,0,0.0869410929589876,0,-0.056571281277583,0,0,0,0,-0.0434436948124464,0.101769777676426,0.127463375707278,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841712172721985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371866390254973,0,0,0,-0.155349448774731,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0660867645396455,0,0,-0.0360248555407821,0,0,0,0,0.0032758182988056,0.00169050127019385,0,0,0,0,0,0
X000725.SZ,0.084848411365639,0,0,0,0,0,0,0,0,0,0,0,0.0662575407494874,0,0,0,0,0.0305534116966857,0,0,0,0.023059376880168,0,0.364639165745456,0,0,0,0.0389827408180492,0.0571753221403577,0,0,0,0,0,0,0.00117326394437844,0,-0.00729539582048942,0,0,0,0,0,0,0,0,0,0.0582405304328985,0,0,0,-0.036867656722901,0.0524415234241541,0,0,0,0,0,0
X000625.SZ,0,0.532905231875044,0,0,0,-0.0141623214150098,0,0,0,0,0,0,0,0,0,0,-0.356326541498804,0,0,0,0,0,0,0,0,0.0682521492792439,0,0,0,0,0.425621385780162,0,0,-0.00757586276285047,0,0.660128245587001,0.0836375507853651,0.132027197832152,0,0,0,0,0,0,0,0,0.0779045355872111,0,0,0,0,-0.0266281371280651,0,-0.11983462253734,0,0,0,0,0
