,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002475.SZ,X002304.SZ,X600276.SH,X000651.SZ,X600104.SH,X300014.SZ,X002371.SZ,X300124.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X000625.SZ,X000725.SZ,X002049.SZ,X600031.SH,X000063.SZ,X002179.SZ,X002241.SZ,X000338.SZ,X600089.SH,X600703.SH,X600522.SH,X000733.SZ,X000661.SZ,X002180.SZ,X300142.SZ,X601877.SH,X002074.SZ,X600741.SH,X000100.SZ,X600884.SH,X000157.SZ,X600460.SH,X600702.SH,X601799.SH,X600487.SH,X002236.SZ,X600584.SH,X000799.SZ,X002414.SZ,X600563.SH,X600372.SH,X002176.SZ,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.204292307181822,0,0,0,0.0812302225707546,0,0,0,0,0,0,0,0,0,-0.000875638923343945,0,0,0,0,0,0,0,0,0,0,0,0.0587160886477483,-0.0501803918356119,0,0.0330092452573967,0,0,0,0,0,0,0.105110591171047,0,-0.0160721250865602,0,0,0,0,0,0,0,-0.0160476847364417,0,0,0.0143882473025372,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.174674331145995,0,0.0362642274426152,0,0,0.0395340936882987,0,0,0,0.0389091962225763,0.0245371376948842,0,0.0123145638464545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304007989072519,0,0,0,0,0,-0.00890820823693285,0,0,0.00217865396045189,-0.0375275693083281,0,0.047774659710308,0.00814138594605945,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142084472515847,0,0,-0.0139558903652307,0,0,0,0,0,0,0,0,0,0.090322751749287,-0.0106673400055207,0,0,0,0,0,0,0,0,0,-0.124899602959573,0,0,0,0,0,0,0,-0.0146001772858926,-0.0912057950994851,0.260498510372875,0,-0.0299087843793318,0,0,0,0,0,0
X000568.SZ,0,0,0.143987751766573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650617915944155,0,0,0,0.0499024811273026,0,0,0,0.0152210814342611,0,0,0,0,0,-0.0109085516843988,0,0,0,0,0,0,0,0,0.255326289047151,0,0,0,0,0.137238688002127,0,0,0,0,-0.00919937159736926,0,-0.0290210018571975,0.000821334956596471,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.128671578418872,0,0,0,0,0,-0.0282352620361356,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531895994254659,0.068481779787682,0.103059466185502,0,0,0,0.190063916022528,0,0,0,0,0,0.549794914245884,0.187430075047328,0,0,-0.103121194240096,0,0,-0.0628661623743595,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,-0.0729595223607732,0,0,0,0,0.227855025405482,0,-0.0341421695247392,-0.0138602002380321,0,0.0588040633558754,0,0.0586942494415368,0,0,0,0,0,0,0,0,0.155199015908543,0,0,0,0,-0.0215911911399842,0,-0.190240303696981,0.088440138536927,0,0,0.00889049165065268,0,0,0.0406750917846368,0,0,0,0,0,-0.0675642326105279,0,0,0.0372018354842543,-0.122533007448813,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0391917703860615,0.437726660056626,0,0,-0.0387675678928835,0,0,0,0,0,0,0.00188567957462078,0,-0.0816319053187471,0,0,-0.129332298755939,0,0,0,0,0,0,0,0,0,0.140704745869253,0,0,-0.0335396042514932,0,0,0,0.134663381529815,0,0,0,0.0286951324970392,0,-0.101273261584981,-0.0163694718643405,0,0,0,0,0,0
X002304.SZ,0,0.184082337039594,0,0,0,0,0.0266963685304828,0,0,0,0,0,0,0.0615362334727955,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0483493592123175,0,0.0250210591317316,0.103256516226906,0,0,0.043240608629378,0,0,0,0,0,0.141575613348185,0,-0.00371581216674193,0,0,0,-0.131366321504734,0,0,0.0320250244401987,0,0,0,0.0306808439133316,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0430505935148889,0,0,0,0,0,0,0,0,0,-0.220767570559641,0,0,0,0.0223178251260696,0,0,0,0,0.0462931336658583,0,0,0,0,0,0,0,0,0.0133306880880151,0,0,0,0,0,0,0,0,-0.0982951273311587,0,0.0718578788089825,-0.0713708513896285,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.396514454805945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933573156398,0.0967379451239338,0,0,0,0,0.016797651134827,0,0,0,0,0.0816624260656243,0,0,0,0,0,0,0,0,0,0,0,0,0.0830448323087161,0,0,0,0.0647885131106867,-0.0647967201348036,0,0,0,0,0,0,0.0160154798724955,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0115801549652117,0,0,0.0696499323030728,0,0,0,0,0,0,0,0,0,0,0,0.0188230698908611,0,0,0.028673253602223,0.0755786104134125,0,0,0,0.357295403639322,0.10914268285353,0,0,0,0.0235616583812638,0,0,0,0.0198336129231728,0,0,0,0,0,0,0,0,0,0,0,0,-0.0726980047878919,0,0
X300014.SZ,0,0,0,0,0,0,0.0704549591176563,0,0,0,0,0,0,0,0,0,0,0.0264912144883411,0,0,0,0,-0.0732449090530655,0,0,0.0550664644613476,0,0.0186681009080501,0,0,0,0,0.157671125057486,0.304724954435945,0,0,0,0,0,0,0.112251581743948,0,0,0,0,0.143267618704661,0.120325918774446,0,0,0,0,-0.0219377660740468,-0.021505713661993,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0.0673314927419196,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035813267591615,0,0,0,0,-0.15015989839244,0.319145846049043,0,0,0.155885287249445,0,0.17059629371134,0,-0.0127837032791366,0,0,-0.015365972866217,0,0.464960615698978,0.0396731756760518,0,0,0,0,0,0,0.110943577088561,0,-0.0316508325124245,0,0,0,-0.0469956100823193,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0.212770393791047,0,0,0,0,0.0939343781330756,0,0,0,0,0,0.0781481151755909,0,0,0,0,0,0,0,0.082911736333134,0,0,0,0,0,-0.0844713737697847,0,0,0,0,0.0596762055410895,0,0,0,0,-0.0669748336516672,0,0,0,0,0,0.415050567031842,0,0,0,-0.0596511962270277,0.0632493451781231,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.151425435170259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101901078989025,0,0,0,0,0,0.178891822802425,0,0.0495473444178729,0,0,0,0,0,0,0,0,0,0.05175493703541,0.229013900938906,0,0,0.111114638768473,0,-4.33680868994202e-19,-0.0352254622406622,0,0,0,0,0,0
X003816.SZ,0,0,0,0,-0.0015806180603381,0.12485461870784,0,0,0,0,0,0,-0.00474838048706133,0,0,0,-0.0367870656159145,0,0,0,0.0777218046562629,0,0,0,0,0.0455624020616257,-0.011682596235687,0,0,0.0101750140273972,-0.0411179073992992,0,0,0,0,0,0,0,0,0.0733435610880486,-0.0597250601865228,0,0,0,0,0,0,-0.00653690977585313,0.0563746350486148,0,0,0.0397181640667267,0.0103798146453165,0,0,0,0,0,0
X000596.SZ,0,0,0.183752925705324,0,0,0,-0.0996447631973638,0.150521579629662,0,0,0,0.143892710979402,0,0,0,0,0,0,0,0.0152030302895723,0,0,0.215996044118024,0,0,0,0,-0.0329665939411821,0,0,-0.0190250639625336,-0.0839128870884654,0,0,-0.319406894597351,0,0,0,0,0.31110438947778,-0.0477030184542601,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.000939369716242462,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0406808982754294,0,0,0,0,0.30112494693098,0,0,-0.157566225603513,0,0,0,0,-0.0418942022597641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146599849312872,0,0.396952781570838,0,-0.138808906497645,0,0,0,0,0,0,0,0,0,0,0.0550191396522744,-0.107849737614326,0.0184298341578136,-0.0428061325047324,0,0,0,-0.055223065925922,0,0
X000725.SZ,0,0,0,0,0,0,0.0425378377516644,0,0,0,0,0,-0.0137468509288654,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.138373794991883,0,0,0,0,0,-0.0614465696715014,0,0.01953512900565,0,0,0.0995273732136681,0,0,0,0,0,0,0,0.124182240933312,0,0.0526826557637732,0,0,0.0493555375915637,-0.0056500199176437,0,0,0.0191798637876249,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0771788296067085,0.207466091590161,0,0,0,0.135203851513381,0,0,0,0.0446235439174396,0,0.0296506792446279,0.0836240848718739,0,0,0,0,0,0,0,-0.100986520927464,0,0.0479685397711958,0,0,0,0,0,0,-0.0432669968442038,0,0,0,0,0.187310673360168,0.184502233811326,0,0,0,0,0,0.0124163998156977,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0523671878822329,0,0,0,0,0,0,0,0,0.0195453812257459,0,0.0333509731027472,-0.0921044202139089,0,0.0974949502035911,0,0.147600165027262,0,0,0,0,0.0200290061958588,0,0,0,0,0,0,0,0,0.498908834709939,0,0,0,0,-0.0423930726836393,0.0428019281392932,0,0,0,0,0,0,0,0,0,0,-0.0324946585750005,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.113860628038689,0,0,0,0,0,0,0,0,0.0427293991251321,0,0,0,0,0,0.198737552587494,-0.0539845782918853,0,0,0,0,0,-0.0514589122332737,0,0,0,0,0,0,0,0,0.467639235406579,0.0866117123113371,0,0,0.00927128272991522,0,-0.0200382429999399,0,0,0,0.015873778187019,0,0.0956573797977159,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,-0.0398967516623158,0,0,0,0.043990635032293,0,0,0,0,0,0,0.250208415320633,0,0,0,0,0,0,0,0.044108355639094,-6.93889390390723e-18,0,0,0,0,0,0,0,0.104261998011102,-0.183294387279065,0,0,0,0.0489836129518948,0,0,0,0.0590234032344276,0.0648510752008159,0,0,-0.101370738768164,0,-0.014115264970156,-0.0107356292055795,0,0,0,0,0,0
