,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600276.SH,X600031.SH,X000100.SZ,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X601877.SH,X000550.SZ,X000581.SZ,X002236.SZ,X600177.SH,X002475.SZ,X600582.SH,X000800.SZ,X000568.SZ,X000623.SZ,X002129.SZ,X000559.SZ,X300124.SZ,X600060.SH,X002294.SZ,X000050.SZ,X000977.SZ,X002456.SZ,X000869.SZ,X000400.SZ,X002465.SZ,X300146.SZ,X002292.SZ,X300003.SZ,X600839.SH,X002007.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.202967691597499,0,0,0,0,0.0669965164729398,0.116259322582444,0,0,0,0,0.274840746464166,0,0,0.143984814141275,0,0,0,0,0.0275203582431872,0,0,0,0,0,0.0569364414925038,0,0.0606680379748588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549837247388797,0,0,0,0,0,0
X600519.SH,0,0,0.00553263659593376,0,0,-0.0875330176241601,0.0105078446490634,0.0941183011487989,0,0,0.0354219091857494,0,0.234540931173952,0,0,0.045128608511895,0,0,0,0,0,0,0,0.0934843330762349,0,0.00530668225901106,0,0,0,0,0,0,0,0,0,0,0.0219133747495747,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236466667165012,0,0,-0.00697544206967876,0,0,0,0,0,0
X000651.SZ,0.0395803571622499,0,0,0.219367575076576,0,0.178007153480345,0,0,0,0,0,0.0656059255112815,0,0.0175831743609765,0,0,0,0,0,0,0,0.0442869839825976,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0644413021474029,0,0,0,0,0,0,0,0,0,0,0,0,0.218252303573299,0,0,-0.0046257250354766,-0.0137303221981859,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.123144338456869,0,0,0,0.212404714203821,0,0,0,0,0,0.0278889701138084,0.125765383781358,0,0,0,0,0.104540295500198,0,0,0.0958593274944097,0.0256170147149406,0.0543934949990847,0,0,0.0213450439452538,0,0,0,0,0,0,0,0.10610533656976,0,0,0,0.149805887147661,0,0,0,0,0.00639712058839557,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.349016709786134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761835391833337,0,0,0,0.0543838574752119,0,0.192575998558943,-0.162930897845606,0,0,0.11082782415135,0,0,0,0,0.0824786650325921,0,0,0,0,0,0,0,0,0,0.199680517998756,0,0,0,0.175350610317873,0,0,-0.00403832379758742,0,0,0,0,0,0
X000625.SZ,0.204230956931703,0,0.135142901976751,0,3.46944695195361e-18,0,0,0,0.200474826965316,0,0,0,0,0,0,0,0.130295893064238,0,-0.0652318648702474,0,0,0,-1.73472347597681e-18,0,0.131466215534828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129798474444041,0,0,0,0,0,0,0,0.011646239229937,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.326556798082879,0,0,0,0,0,0,0,0,0,0,0,0,0.0774446098298091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35174999851435,0,0,0,0,0,0,0,0,0,0,-0.00547049604865811,0,0,0,0,0,0
X000858.SZ,0,0,0,0.038921058365617,0,0,0,0,0.117704964826234,0,0.0487168279755133,0.000609609723337214,0.000984620956452353,0.324786102479743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00440143067671751,0,0,0,0,0,0,0,0,0,0,0,-0.0413482289003683,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134729722969851,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0743395363026124,0,0,0.207097693920238,0,0,0,0,0.0377772968452955,0,0,0,0,0,0.0532285407354358,0,0,0.0894653299017105,0,0,0.0330210770043692,0,0.112232619764698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.126931914710854,0,0,0,-0.104767875090627,0,0,0,0,0,0,0,0,0,0.0633857853118922,0,0.112823787091431,0.0366980123798764,0,0,0,0,0.0131243815957283,0,0.0373465564897881,0.00592250094880546,0,0,0,0,0,0,0,0,0,0,0,0.00195146452873312,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X600031.SH,0.0917628517314057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837971550134722,0,0,0,0.0320407533828717,0,0,0,0,0,0,0,0.0497104972672504,0,0,0,0,0.0152350029785299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109114787841262,0,0,0,0,0,0,0
X000100.SZ,0.0895157750762333,0,0,0.208990102659171,0,0,0,0.0556080185953429,0,0,7.1369335470365e-05,0,0.108101879865851,0,0,0,0,0,0,0,0,0,0,0.0301714946214785,0,0,0,0,0,0,0,0.0191029088714548,0.00173313061851661,0,0,0,0.290889714625695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188774215501043,0,0,0,0,0,0
X600690.SH,0,0,0.0729754126286913,0,0,0,0,0.126090004670476,0,0,0,0.216575920979126,0,0.215319304164116,0,0,0.0067561459407282,0,0,0,0,0,0,0,0,0,0,0.081275300809899,0,0,0,0,0,0,0,0,0.00451986208488504,0,0,-0.0158096187943808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0127893083399572,0,0,0,0.114297590146409,0,0,0.608850889195024,0,0,0,0,0,0.0646515480027111,0,0,0,0,0,0,0,0,0,0,0.075973121673703,0,0,0.0158632404413168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129839114969085,0,0,0,0,0,0
