,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002475.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X000725.SZ,X000661.SZ,X000568.SZ,X003816.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X002371.SZ,X002241.SZ,X300014.SZ,X000100.SZ,X002007.SZ,X000596.SZ,X300142.SZ,X600741.SH,X300003.SZ,X002129.SZ,X600183.SH,X300124.SZ,X002049.SZ,X002236.SZ,X000625.SZ,X600584.SH,X000800.SZ,X000157.SZ,X601877.SH,X000977.SZ,X002456.SZ,X300136.SZ,X002414.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X002185.SZ,X002008.SZ,X600118.SH,X600498.SH,X002180.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.154059828905857,0.111849798824428,0,0,0,0,0,0.116544835735211,0,0,0,0.02604422345162,0,0,0,0,0,0,0.0296436415695812,0,0,0,0,0,0,0.0110565715472476,0,0,0,0.0255720940663198,0.00719086950054478,0,0.04268538813841,0,0,0,-0.0531904246878832,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264863631911176,0,0,0,0,0,0,0
X000858.SZ,0.168673031031696,0,0,0,0,0,0,0,0.000897087672480638,0,0.0101625907636684,0,0.253267470199331,0,0.188050574771077,0,0,-8.67361737988404e-19,0,0.044946089906528,0,0,0,0,0.171954674518346,0,0,0.0360570388992025,0,0.0296392201254697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137769979355823,0,0,0,0,0,0,0,-0.00409398031102861,0.00597908450555611,0,0,0,0,0,0
X600276.SH,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.296837496040643,0,0,0.0772595337746304,0,0,0,0.0233334061243519,0,0,0,0,0,0.114735922095722,0,0.0825436854565406,0,0.264981587615004,0,0.0294658928733891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384123173445702,0.0417507784175507,0,0,-0.0227337722492846,-0.00389385666203106,-0.0150861123356851,0,0,0,0,0,0,0
X000651.SZ,0,0.0290083416639568,0,0,0,0,0,0,0,0.275874123260497,0,0,0.0124424847677862,0,0,0.221999492314827,0,0,0,0,0,0,0,0,0,0,0,-0.0148836806189687,0,0,0.0684934974626424,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0204318459255132,0,0,0.0473824496559977,0,0,0,0.00639912846264211,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415199485951648,0,0.225296536820986,0,0,0,0,0,0,0,0,0.0428857570014408,0,0.035578861298215,0,-0.10004677250881,0,0,0,0,0,0.0591940504720292,0.105818047951322,0,0,0,0,0.0640507151621902,0,0,0,0.0333399618855901,0,-0.0411904871619136,-0.0114003541842613,-0.0128402497630981,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18966999795654,0.0385334976749183,0,0.00513292528382839,-0.0428103111505823,0,0,0.0793443338901203,0,0,0,0,0,0,0,0,0.0751333420071355,0.375581836226376,0,0,4.33680868994202e-19,0.000970797996859093,-0.00691635598787171,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236496301009724,0,0,0.0190296129792199,0,0.0789232481960524,0.100627696506387,0,0,0,0,0,0.463037517143878,0,0.0169098423388437,0,0,0,0,0,0,0,0,0.1696472255986,-0.0186097514510128,0,0,0,-0.0144086895094046,0,-0.0508005916182933,0.000863389700729605,0.000269724742743528,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0280435589610576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815474519871504,0,0,0,0,0,0.0123721694798355,0,0,0,0,0,0,0,0,0,0,0.0310833655966725,0,0,0,0,0,0,0,0.0480468433686688,0,0.163332551559811,0,0.158480470067926,0.0842975480437049,0,-0.0521413675194196,0.0262671584690265,-0.0410106726560882,0,0,0,0,0,0
X002304.SZ,0,0.406018224822492,0,0,0,0,0,0,0,0,0,0,0.0869813678178775,0,0,0,0,0.0704689401610739,0.0182843306314436,0,0,0,0,0,0,0.0698186017042208,0,-0.0896048699512321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000574662065817026,0.00384433689722814,0,0,0,0,0,0
X600031.SH,0,0,0,0.0675736753986506,0,0,0,0,0.0584836691920766,0,0,0,0,0,0,0,0.220206153797823,0,-0.00451611078793285,-0.0115257394118946,0.0158731552637939,0,0,0.0604344933507418,0,0.0968800805523607,0.089738414978597,0,0,0,0.0716290768248932,0,0,-0.0675552274048666,0.00335103225265346,0.207277568307125,0,0,0,0,0,0,0,0,0,0.200062833387432,0,0,0,0,0,-0.00955997430569839,-0.0133424338687471,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0944783073537853,0,0,0,0,0,-0.0684389402261451,0,0.0303135276595969,0,0,0,0,0.380261743928645,-0.128331825581441,0,0,0.109457449978332,0,-0.0236537779027549,-0.0693739647462828,0,0,0.0928602811607241,0,0,0,0,0,0,0,0,0,0,0.0537380202842163,0,0,0,0,0,0,0.0914218124362266,0,0,0.00785884457861088,0,0,0,0,0,0
X000661.SZ,0,0,0.172396597172919,0,0.06579321538892,0,0,0,-0.0319450840186375,0,-0.144262061513797,0,0,0,0,0,-0.15251261571682,0,0.153718803083914,0,0,0,0.0170469475866091,-0.0121418784537198,0,0,0.119128376946271,0,0,0.069647237357072,0,0,0,-0.076995126040992,0,0,0,0,0,0,0.110286372790061,0,0,0.015264349245347,0,0,0,0,-0.0645925829435563,0,0.0581233297635332,0.011343387113079,-0.0225443235223735,0,0,0,0,0,0
X000568.SZ,0,0.792094512199886,0,0,0,0,0,0,0.0145691804481754,0,0,0,0,0,0,0,0,0.0194710847130282,0,0,0,0,0,0,0,0,0,-0.0546094354640367,0,0,0.138193867047473,0,0.038256062102207,0,0,0,0,0,0,0,0,0,0,0,0,-0.0691124529158424,0,0,0,0,0,0,-0.0152973054973022,0,0,0,0,0,0
X003816.SZ,0,0,0,0,-0.0889985224482381,0,0,0,0,0,0.00299778634860319,0,0,0,-0.00256583349879186,0,0,0,0,0,0,0,0,0,0,0.100964289586153,0.00986008967593709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199009956051898,0,0.0753996704051554,0,0,0,0,0,9.29343094612274e-05,-0.000195033854466971,0,0,0,0,0,0
