,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X002241.SZ,X600703.SH,X300003.SZ,X000596.SZ,X002236.SZ,X600183.SH,X601877.SH,X300142.SZ,X002007.SZ,X000100.SZ,X000157.SZ,X000066.SZ,X300136.SZ,X300124.SZ,X002179.SZ,X000625.SZ,X600271.SH,X002008.SZ,X300014.SZ,X000977.SZ,X002463.SZ,X600177.SH,X002506.SZ,X002129.SZ,X002456.SZ,X600066.SH,X002371.SZ,X600498.SH,X600867.SH,X002508.SZ,X002180.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.105895460297635,0,0,0.585534529430416,0,0,0,0,0,0,0,0,0,0,0.0158478640240678,0,0,0.00982503930667986,0,0,0,0,-0.0183290514445048,0,0,0,0,0,0,-0.0307623544968645,0.0610924877215782,0,0,0,0,0,0,0,0,0,-0.0416030729285404,0.0233099028476321,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0
X000858.SZ,0.0762930941161319,0,0,0,0,0,0,0.0275726558584584,0,0.0480532593110954,0.601220120181628,0,0,0,0,0,0.117097042231262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.0358802394393603,0,0.0247382812632718,0,0,0,0,0,0,0.00820779152540378,0,0,0,0,-0.0188346091695313,0,0
X600276.SH,0,0.0514012212207623,0,0.0300957704733244,0,0,0,0,0.0272981294533503,0,0.179259577314073,0,0,0,0,0,0,0.0772510499510478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845769135129787,0.0502634632555225,-0.0675206776140658,0,0,0,0,0,0,0,0,0,0,0,0.0341039869756918,0,0,0,0,0,0,0,0.0414887754403055,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689947332025196,0,0,0,0,0.0156164278806929,0,0,0,0.117633944301171,0,0,0,0,0.0058186079411945,0,0,0,0.0838746320386335,0,-0.1079830295558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20415520333011,0,0.154645309350203,0,0,-0.0265390421074873,0,0,0,0.0480944474458544,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0313011251510154,0,0,0,0,0,0,0,0,0,0,0,0.525792911152996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0261210477541549,0,0,0,0,0,0,0,0,0.0435714922124005,0,0,0,0,0,0,0,0,-0.0462772053937289,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.085169072731973,0,0,0,0.207124104528357,0.0133981474506233,0,0,0.0154088125456138,0,0,0,-0.0215066471502995,0.0666827598593703,0,0,0.0502097250910995,0,0,0,0,0,0,0,0,0,0,0.0361368402758001,0,0,3.46944695195361e-18,0,0,0,0,-0.00302077919370488,0.0273095353794156,-0.0548938578235464,0,0,0,0,0,0,0,0,0,0
X003816.SZ,0,0,0.241086708324662,0,0,0.0137629724160158,0,0,0.0959968212648882,0,0,0,0,0.108298464132537,0.13221281019733,0,0,0,0,0.230902615842367,0,0,0,-0.0201972131190101,0,0,0,0,-0.214831064774299,-0.161326610242614,0,0,0,0,0,0,0,0,0,0,0,0.00387775668620221,0,0,0,0,0,0,0,0,0,0.0526090714896342,0.0711077454385266,0,0,0,0.137566544259023,0,0
X002475.SZ,0,0.133594892591042,0,0,0,0,0,0,0,0,0,0,0.009476437962474,0,0.39688146174106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171778221841863,0.288955192030735,0,0,0,0,0.168698776730822,-0.0357909437615776,-0.0150452089540918,0,0,0,0,0.0547883581813967,0,0,0,0,0,-0.0196065471562738,0,0,0,0.018010170049571,0,0,0,0,0,0
X002304.SZ,0.32490537686326,0,0.0237836563152843,0,0,0,0.124639347162524,0,0,0,0,0,0,0.0486134087825975,0,0,0,0,0,0.00881482319090832,0,0,0,0.0578750883734905,0.0109857130884103,0,0,0,0,0,0,0,0,0,0,0,0,0.0206770574646258,0,0,0,0,0,0,0,0,0.0218004585144001,0,0,0,0,0,0.0280039478805315,0,0,0,0.0148754835994502,0,0
X000063.SZ,0,0,0,0.213460897889726,0,0,0,0.0914929661113895,0,0,0.00950458375239653,0,0,0,0,0.0960066926238931,0.157279776655943,0,0,0.204030044027113,0,0,0,0,0,0,0,0,0,0.0549809174497772,0,0,0,0,0,0,0.00708393453240985,0,0,0,0,0,0,0,0,0,0,0,0,0.0796472794413974,0,0,0,0,0,0,-0.0415214889975539,0,0
