,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X002304.SZ,X000568.SZ,X600104.SH,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X000661.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X002241.SZ,X000625.SZ,X000338.SZ,X300014.SZ,X600703.SH,X000596.SZ,X000100.SZ,X600741.SH,X002371.SZ,X002007.SZ,X000157.SZ,X002179.SZ,X002129.SZ,X002049.SZ,X601877.SH,X600584.SH,X600183.SH,X002236.SZ,X002414.SZ,X000800.SZ,X300142.SZ,X300003.SZ,X601799.SH,X000066.SZ,X300136.SZ,X000977.SZ,X002185.SZ,X002456.SZ,X002008.SZ,X300146.SZ,X600066.SH,X002508.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0985010022007388,0,-0.130978406459458,0,0,0,0,4.33680868994202e-19,0,0.321620390269931,0,0,0,0,0,0,0,0,0,0,0,0,0.064547427678685,0,0,0,0,0,-0.0790942874794874,0.0551556679877762,0,8.67361737988404e-19,0,0,0,0,0,0,0.00982782431397429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722406107783448,0,0
X000858.SZ,0,0,0,0,0,0,0.127262571135097,0,0,0,0.307161529886677,0,0,0,0,0,0,0,0,0,0,-0.0354295523795372,0,0,0.0443156975871241,0,0,0,0,0,0,0.0379390512296761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03105494503499,0,0,-0.0356913950508187,0,0,0,0,-0.00852910244797936,0,0
X600276.SH,0,0,0,0,0,0,0.028624550805028,0,0,0,0.0729717845008997,0,0,0,0,0,0,0,0,0,0,0,0.0611813614052472,0,0,0,0.0734942291830493,0,0,0,0,0,0,0,0.0503589447365031,0,0,0.149091831871344,0,0,0,0,0,0,0,0.0020915966199378,0,0,0,0.0327532220468339,0,-0.0163457608936848,-0.00435849134925367,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0237322291896776,0,0,0,0,0.103495928813234,0,0.0685628838517103,0,0,0,0,0,0,0,0,0,0,0,0,0.0690643811647949,0,-0.0697845262285539,0,0,0,0,0,0,0.230163333236505,0,0,0.000430561106837116,0,0.0965751868746925,0,0,0,0,0,0,0,0.0399266042705823,0.000148529977332915,0,0,-0.00177842387709243,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.081972666207918,-0.0330639411549806,0,0,0,0,0.0242339584498154,0,0,0,0,0,0,0,0,0.1249698754035,0.286124735399836,0,0,0,0,0,0.0127210068171637,0,0,0.100047297003274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291416616705064,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422247229705398,-0.047389396171264,0,1.73472347597681e-18,0,0.0493499235221485,0.0286399317258877,0,0,0,0,0,0,0,0.0115270733598736,0.0775811709660421,0,0,0,0,0,0,0.0120310568502336,0,0.15303712912019,0,0,0.199747687243763,0,0,5.42101086242752e-20,0,0.0699732274264132,0,0.0277381616748134,0,0,0,0,0.00557093478554886,0,0
X002304.SZ,0,0,0,0,0,0,0,0.194948848891837,0,0,0.2891000187933,0,0,0,0.0178181345863858,0,0,0,-0.056275871848953,0,0.177326586685544,0,0.0403754156265167,0,0,0,0,0,0.153237571294577,0,0,0,0,0,0,0.0303891628023679,0,0,0,0.0661510115891745,0,0,0,0,0,0,0,0,0,0,0,0.0228537133274942,0.0156614881944705,0,0,0,0,0,0
X000568.SZ,0,0.103819202293249,0,0,0,0,0.182026273466289,0,0,0,0.392804392865767,0,0,0,0,0,0,0,-0.00611258956397382,0,0,0,0.102049139365673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384953981320001,0,0,0,0,0.149966284040957,0,0,0,0,8.67361737988404e-19,0.0175115908852592,0,0,0,0.002527978698955,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.0912639122179087,0,0,0,0,0,0,0,0.152241543750475,0.188051177287947,0,0,0,0,0.103195346897637,0.121738480700804,0.00481566103904826,0,0,0,0.0673278893148338,0,0,0,0,0,0,0.0295961645922974,0,0,0,0,0,0,0,0.0468922647571891,0,0,0,0.111857312368727,0,0,0,0,0,0,-0.0243569420296732,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.143361842235171,0,0,0.0508062518949079,0,0,0,0.0155309037230153,0.0226809872047316,0,0.0434225554474404,0,0,0,0,0.0121652446012402,0,0.280731127412831,0,0.0762543903290218,0,0,0,0,0,0,0.0161899112329619,0,0,0.233634160581003,-0.149826858510205,0,0,0,0,0,0,0,0,0.131200197727727,0,0.0369016636481393,0,0,0,0,0.0233225344772033,0,0
