,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000568.SZ,X601877.SH,X600703.SH,X600271.SH,X000100.SZ,X300124.SZ,X000625.SZ,X002236.SZ,X600487.SH,X600498.SH,X300003.SZ,X600809.SH,X002008.SZ,X002179.SZ,X000661.SZ,X300142.SZ,X000157.SZ,X002007.SZ,X000596.SZ,X600089.SH,X600066.SH,X002180.SZ,X600177.SH,X600522.SH,X600566.SH,X600372.SH,X002506.SZ,X600867.SH,X002456.SZ,X300146.SZ,X002241.SZ,X600118.SH,X600183.SH,X002294.SZ,X002508.SZ,X600776.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.354214512143019,0.0315554107989161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457297867947714,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.00350304397792255,0,0,0,0,0,0,0,-0.0102633705173854,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.107859116174977,0,0,0,0.260402447352055,0,0,0,0,0,0.00306218540680586,0,0,0,0,0.0737819377279685,0,0,0.0925745615549039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107050930304916,0,0,-0.132024188563773,0,0,0,0,0,0,0.0114952845036348,0,0.0984872542049708,-0.000563444990012203,-0.010702490326757,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688760298332134,0,0,0.683799576132853,0.0187873812235282,0,0,0,0,0,0,-0.0121904733484349,0,-0.0368081912736218,0,0,0,-0.0213242833908992,0,0,0,-0.0251397478158152,0,0,0.0983189664739496,0,0,0,0,0,0,0,-0.142301845645471,-0.00578126320172249,-0.00501364161560312,0,0,0,0,0,0
X000651.SZ,0.0906591790146959,0,0,0,0,0,0.192153382631984,0,0.14610305540598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721240247815229,0,0,0,0,0,0,0.0447480285873586,0,0,0.0628594236926475,0,0.0397687012547541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053029658668182,0,2.71050543121376e-20,0.00411927700856873,0,0,0,0.0118773457726238,0,0
X600276.SH,0,0,0.0460457580264592,0,0,0,0.104945333914097,0,0,0,0.0280837657446542,0,0,0,0,0,0,-0.0308136844315853,0,0,0,-8.67361737988404e-19,0,0,0.434403459640174,0,0,0,-8.67361737988404e-19,0.0487702065222145,0,0,0,0,0,0,0,0,0.024957133211326,0,0,0.0051302946795186,0,0,0,0,0,0,0,0,-0.103046350253624,0.0218663806316757,0.0162526353784756,0,0,0,0,0,0
X000858.SZ,0.293335063528776,0,0,0,0,0,0.22387447694495,0,0.0918832676932612,0,0,0,0,0.0628933643140621,0,0,0,0,0,0,0,0,0,0,0,0.187853870709967,0,0,0,0,0,0,0,0,0.102683120843378,0,0,0,0,0,0,-0.0649089712101784,0,0,0,0,0,0,0,0.0111004029446688,0,-0.00379703371293161,0.0217929588978612,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318261371722406,0,0,-0.0301838600254685,0.046509245700377,0,0,0,0,0,0.0890155600031752,0.111496059461233,0,0,0,-0.108586594538443,0,0,0.441265152971258,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.112007756961841,0,0,0,0,0,-0.0460850912174532,0,-0.00829782359800956,0.0340015641791935,0,0,0,0,0,0
X000725.SZ,0,0,0.0402755810438016,0,0,0,0,0,0,0.139911810165713,0,0,0,0,0,0,0,0,0,0,0.0368135806510867,0.0476431514429187,0.06118598733974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473968335157462,0.121865201319913,0,0,0.048422197813133,0,0.0335948141921442,0,0,0,0,0.00140960675936642,0,0,0.0194682016669867,0,0,0,-8.67361737988404e-19,0,0
X600690.SH,0,0,0,0,0,0.0692965182759601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012162048960423,0,0,0,0,0,0,0,0,0,0.221599075935726,0,0,0,0,0,0,0,0,0.0942809658577985,0,0,0,0,0,0,0.157388289981355,0,0,2.85332741776437e-05,0.00696359351005703,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331765514135241,0,0,0.191461041257485,0.301412930927526,0,0,0,0,0,0.10458357437664,0,0,0,0,0,0,0,0.125468197822968,0,0,0,0,0,0,0,0,0,0,0.0804154533296647,-0.0260484202964928,0,0.0335907398504016,-0.0423721666227089,0,0,0,0.129291794351298,0,0
X600031.SH,0,0,0,0,0,0,0,0.346608845547362,0,0,0,0,0,0.249602936177458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163103275660606,0.249056134441915,0,0,0,0,0,0,0,0.103039083018172,0.0405756340198146,0,0,0,0,0,0.150864461193197,0,0,0,-0.0585704239054936,0,-0.0167877800368229,-0.000447857721625028,0,0,0,0,0,0
X000338.SZ,0,0.0474091383113714,0.0243177844877834,0,0,0.0752460156973398,0,0,0,0,0,0,0.0195218901847867,0,0,0,0,0,0,0,0,0,0,0.0177930363714283,0,0.0355893946243217,0.0957988151371931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0983621394621564,0,0,0,0,0,0,0.119784360250309,0,0,0,0.0076773526389884,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,-0.234674051179355,0,0,0,0.409647768348945,0,0,0,0,0,0,0,0,0,-0.102114698759221,0,0,0,0,0,0,-0.0173357641885088,0,0,0,0,0,0,0,0,0,0,0.552663114406071,0.0522043364942777,0,0,0,0,0.055476130472923,0.18036495048768,0.120940382013443,-0.0027201214287411,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0.35253899726286,0,0.0156621136849164,0,0,0,0,0.00922438401309928,0,0,0,0,0.00855842270402201,0.124326643088995,0,0,0,0,0,0,0,-0.125925602661029,0.146787660272696,0,0.264014165790199,0,0,0,0,0,0,0.119768503627007,0,0,0,0,0,0,0,-3.46944695195361e-18,0.169828316089328,0,0,0,0,0,-0.0352092677075263,0,0
X000568.SZ,0,0,0,0,0.0442001125306961,0,0.119982504862875,0,0.0759562674275684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347215910957318,0,0,0,0,0,0,0.119972823316056,0,0,0,0,0,0,0,0,0.05687385270887,0,0.120992720111887,0,0,0,0,0.0385793468233302,0,0,-0.00907352022548006,0.0402062595848946,0,0,0,-0.00516093909775301,0,0
X601877.SH,0,0,0.00732750449211264,0,0,0,0,0,0,0.00437617205490868,0,0,0,0,0,0,0.0353405884057939,0,0.0267726891449741,0,0,0,0.12609327359175,0,0,0,0,0,0,0.131361335897704,0,0,0,0,0,0.0843683341584705,0,0,0.0720969707579909,0,0,0.0766929223166855,0.095620339484457,0,0,0,0,0,0,0,0,0.0145169845632561,-0.00558229260934962,0,0,0,0,0,0
X600703.SH,-0.13326662564417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153336919668743,0.146349921609678,0.233337405067001,0,0,0.1953775380095,0,0.0447215288528736,0,0.262577723354617,0,0.0741758706005634,0,0,0,0,0,0,0,0.343566415431653,0,-0.0302752083552752,0,0.288765443623298,0,0,0,0,0,-0.322172262252508,0,0.00992565908218748,0,0.563572119000814,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233569993010668,0,0,0,0,0,0.230508626821435,0,0,0,0,0,0,0.285371976660512,0,0,0,0,0,0,0,0,0,0.229297299956305,0,0,0,0,0,0,0,0,0,0,0,-0.0190394181682842,-0.0717264871910272,0,0,0,0,0,0
X000100.SZ,0,0,0,0,-0.0760240778726649,0,0,0.229448385125341,0,0.000327314864789644,0,0,-0.0947644324578185,0,0,0,0,0,0,0,0.215233805813921,0,-0.0563222390656709,0,0.236067017360165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277800951963365,0,0,0,0,0,0,0,0,0.128703000450012,0,-0.189318741825085,0.0156618833383122,-0.0515343094053908,0,0,0,0,0,0
X300124.SZ,0,0,0.0180975274063624,0,0,0,0,0,0,0.131462079075346,0,0,0,0,0,0,0,0.14724151276569,0,0,0,0,0,0,0.192986699612659,0,0,0,0,0,0,0,0.086917749935261,0,0,0,0,0.0495165206549705,-0.138936374228066,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.276549324471781,0,0,0.00775899023549309,0.00759330001534764,0,0,0,0.106524891869598,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664658306293541,0,0.148824509128366,0.124014639850513,0,0.0740885230987534,0.0274521625257006,0,0,0,0,0,0,0.0304283280484481,0,0,0,0,0,0,0,0,0,0.0380594780573812,0,0,0,0,0,0.0746146995721448,0,0.0240860087507884,0,0.0212438700737684,0,-0.0080772650638934,0,0,0,0,0,0,0
