,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000559.SZ,X600031.SH,X600271.SH,X000100.SZ,X600372.SH,X600066.SH,X002241.SZ,X002292.SZ,X002475.SZ,X600741.SH,X000157.SZ,X002236.SZ,X000338.SZ,X600089.SH,X002049.SZ,X300124.SZ,X002465.SZ,X002074.SZ,X002506.SZ,X000568.SZ,X600177.SH,X300003.SZ,X002129.SZ,X600839.SH,X000547.SZ,X002276.SZ,X002294.SZ,X600582.SH,X000977.SZ,X300001.SZ,X600867.SH,X600498.SH,X002180.SZ,X000800.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.330007837234193,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-1.0842021724855e-19,0.0680875726849446,0,0.0657118273507109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465771471290616,0,0,0,0,0,0,0,0,0,-0.0629599188494377,0.0577385661026073,0,0,0,0,0,0
X600104.SH,0.0746811731119578,0,0,0,0,0,-6.93889390390723e-18,0,0,0.324940033655023,0.306927322158959,0,0.119881061111934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00659607682813984,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428663024107446,0,0,0,0,0,0,0,-0.00184430921046206,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12198314042721,0,0,0,0,0.0403808838221156,0.0544781227891414,0.15736101711416,0,0,0,0,0,0.0485334896747702,0.212603374995385,0,0,0.0586336485174802,0,0,0,0,0,0,0,0,0,0.0733964969174247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0434807071018245,0,0,0,0,0,0,0,0,0,0.152220850140477,0,0,0,0,0,0,0,0,0,0,0.0607482620281851,0,0,0.0450681763218454,0.0178184826733908,0.13807322477927,0,0,0,0,0,0,0,0.0743846992525055,0,0.0934592681607029,0,0.0323930732063456,0,0,0,0,-0.0149426275849383,0.0198600060136573,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104603825205757,0,0,0,0,0,0.0435983404717436,0,0,0,0,0,0,0,0,0.0144895427829844,0,0,0.0386110185332424,0,0,0.0243569302831661,0.0769628965045586,0.033284221535407,0,0,0,0,0,0.0325623701869364,0,0,0,0,0.292115598211451,0,-0.0527888587936734,0,0,0,0,0,0,0
X600276.SH,0,0.0241606362192202,0,0,0,0,0,0,0.00810937298127251,0.252088546590044,0,0,0,0,0,0,0,0,0,-0.129302825360509,0,0,0.0894393987418272,0,0,0,0,0,0,0,0,-0.0518832725825958,0,0,0,0,0,0,0,0.12598333396285,0,0,-0.00679968852707841,0,0.124242976075418,0,0,0.0594991979915546,0,-0.0681550187743804,0.0644679476829521,0,0,0,0,0,0
X002304.SZ,0,0.172230996172108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079935595726157,0,0,0,0.0041553110672494,0.101504588102268,0,0.231010994788428,0,0,0,0,0,0,0.0235547234131984,0.172864263976268,0,0.0546332225675626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104158855889629,0.0205810389737365,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901720001522717,0.0288221484626626,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0775555335459066,0.381152688500652,0.0419650814063349,0,0,0,0,0,0,0,0,0,0,0,0,0.0332419319968059,0.0153622450898083,-1.0842021724855e-19,0,0,0.000896800921754657,0,0,0,0,0,0,0,0,0,0.08424800304847,0,0,0.0935390463510376,0,0,0.0697210913020841,0,-0.0103367387224863,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812055496516926,0.0178377411043324,0,0,0.00538126182302622,0.210922882603145,0,0,0,0,0.0284782211063655,0,0,0,0.0321567014982914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151629705665703,0.107526752982845,0,-0.0258779773363607,0,0,0,0,0,0,0
