,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X002007.SZ,X300003.SZ,X600183.SH,X000596.SZ,X002371.SZ,X300142.SZ,X600741.SH,X300014.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X300124.SZ,X601877.SH,X002236.SZ,X000157.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X002179.SZ,X002456.SZ,X600498.SH,X600118.SH,X300136.SZ,X002414.SZ,X002223.SZ,X600584.SH,X600271.SH,X000066.SZ,X002049.SZ,X600522.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.059380500275112,0,0.109649279261861,0,0,0.0442795718641605,0,0,0,0,0,0,0,0.0682324224993966,0.482757006776284,-1.73472347597681e-18,0,0.0290882796026906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990369253725891,-0.00247634684416964,0,0,0,0,0,0
X000661.SZ,0,0.100851395237047,0,0,0,0,0,0.026447979333706,0,0,0,0.0312475969079975,0,0,0,0,0,0,0,0,0,0,0,0.00577148731711963,0,0.00124535567069835,0,0,0,0,0,0,0.256331364160819,0,0,2.16840434497101e-19,0,0,0,0,0.039510797640322,0,0,0,0,0,0,0,0,0,0,0.0294664817213246,0,0,0,0,0,0,0
X000568.SZ,0,0.318027244926503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483218354805606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306121916749186,0,0.0931229964074404,0,0,0,0.0120291263656649,-0.00789808695689531,0,0.0372150169192903,0,0,0,0,0,0,0,0,-0.0182499856966906,-0.0152761397926026,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174695822939087,0,0,0.165380852371341,0,0,0,0,0,0.0181160776956848,0,0,0.0223634745647325,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401902429352511,0,0.019051078404668,0.0626986589659304,0.084795319820854,0,0.0262224420750279,0,0,0,0,0,0,0
X600690.SH,0,0.053157105269775,0,0.249582418349371,0,0,0,0,0.0259967550173419,0,0.0940524061674179,0,0.00997383028123896,0,0.193268688669536,0,0,0,0,0,0,0,0,0,0,0.0466275442037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209444719650304,0,0,0,0,0,0,0.0556697294932718,0,0,0,0.00633401286820806,0.00706197082409284,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527737273617407,0,0,0,0.0972868279814492,0,0,0,0.12523017035892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015132922246236,0,0.0460272671485551,0,0,0,-0.0147158312510656,0,0.0225730359759301,0,0,0,0,0,0.0341444431673491,0.0168689830047535,0.00563675780992755,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988795063418776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10787653199719,0.0652068416858939,0,0,0,-0.0266638534757701,0.627290777822662,0,0,0,0,0,0,-0.00299971900564473,0.0135003984046709,0,0,0,0,0,0
X002007.SZ,0,0,0.286077418155621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120931328147458,0.043605872644579,0,-0.0235298035927708,0,0,0,0,0,0,0,0,0,0,-0.0313265721321548,0,0,0,0,0,0,0.0584866488192789,0,0,0.238481598089735,0,0,0,0,0,0,0.0538366275200192,-0.0347458588415558,-0.02393921503427,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0.101081162591226,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0852331846005187,0,0,0,0,0,0.227070480443574,0,0,0,0,0,0,0,0.0625104449501092,0,0,0.117810999464681,0,0,0,0,0.036394395346829,0,0,0.0248342898352465,0.0261272143861878,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049397766489492,0,0,0,0,0.0542791020442158,0,0,0.100353233659674,0.0382999528708891,0,0,0,0,0,0,0,0.46686442990608,0,0,0,0.0284831714295548,0.0442931735245506,0,0.0544340465778142,0,0,0.0764239636313157,0,0,0.0524940366414014,0,0,0,0.00841368060645937,0,0,0,0,0,0,0
